Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
10/01/2024,10:20:08,zkfair,0xf492632701890cd07336f264a3d8905290f8bc2e8f17bc9dc8e65961b8f675e7,https://scan.zkfair.io/tx/0xf492632701890cd07336f264a3d8905290f8bc2e8f17bc9dc8e65961b8f675e7,receive,0x305d147a03937e547ce3c2b376922a1bc905c2b5,,ZKF,token,456.42049733486425,1.3844945256436363,no,
01/01/2024,20:59:31,op,0x7b76195208bb255eb29df8fd56aadf12109aff7175570264220e3f16824d05e3,https://optimistic.etherscan.io/tx/0x7b76195208bb255eb29df8fd56aadf12109aff7175570264220e3f16824d05e3,receive,0x305d147a03937e547ce3c2b376922a1bc905c2b5,,ETH,token,0.04,94.0816,no,
01/01/2024,20:51:23,eth,0x3bc6cefec99ac9cc04be3edfc09d023e78108d913ac3b54d841e755c093442dc,https://etherscan.io/tx/0x3bc6cefec99ac9cc04be3edfc09d023e78108d913ac3b54d841e755c093442dc,receive,0x305d147a03937e547ce3c2b376922a1bc905c2b5,,ETH,token,0.06,141.1224,no,
29/11/2023,13:33:14,arb,0x00a4f636ea6c0dfe49ad6c3d7002cd45be02f3fb8ed888cb57d1c816236c9ff8,https://arbiscan.io/tx/0x00a4f636ea6c0dfe49ad6c3d7002cd45be02f3fb8ed888cb57d1c816236c9ff8,receive,0x305d147a03937e547ce3c2b376922a1bc905c2b5,,ETH,token,0.265,537.63995,no,
19/11/2023,11:51:21,arb,0x07af6ed778c68e638cad7126807de407cea9f5ff54fe9bf6a5733f79297f17db,https://arbiscan.io/tx/0x07af6ed778c68e638cad7126807de407cea9f5ff54fe9bf6a5733f79297f17db,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,-0.6699591959,-1347.381737242326,no,0.05
19/11/2023,11:48:45,arb,0xd7a1e7f7abd675bb8e30bcaf01bedf8d7ce02b085767b7224218d55fa67cc872,https://arbiscan.io/tx/0xd7a1e7f7abd675bb8e30bcaf01bedf8d7ce02b085767b7224218d55fa67cc872,receive,0x305d147a03937e547ce3c2b376922a1bc905c2b5,,ETH,token,0.67,1347.4638000000002,no,
15/11/2023,10:09:29,arb,0x93b6f936f6074f57cb3733eebd8c21083b66603b5e3c30fd7a4342c7714a34d2,https://arbiscan.io/tx/0x93b6f936f6074f57cb3733eebd8c21083b66603b5e3c30fd7a4342c7714a34d2,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,-0.989972887,-2037.81958897402,no,0.08
15/11/2023,10:07:42,arb,0x4de8a5d4ec0fbec5410e2fdf301a37db7c000a035c06f59b2c638422abe8f1d0,https://arbiscan.io/tx/0x4de8a5d4ec0fbec5410e2fdf301a37db7c000a035c06f59b2c638422abe8f1d0,receive,0x305d147a03937e547ce3c2b376922a1bc905c2b5,,ETH,token,0.52,1070.3992,no,
15/11/2023,07:54:34,arb,0x9e88a646d2fde92821b099055f1074000a2df80700527279d04682c307b0cef7,https://arbiscan.io/tx/0x9e88a646d2fde92821b099055f1074000a2df80700527279d04682c307b0cef7,receive,0x305d147a03937e547ce3c2b376922a1bc905c2b5,,ETH,token,0.47,967.4762,no,
12/11/2023,10:15:14,arb,0x8911e088fbca94fa3fc6820e1088cfc09bd29d29c91a9c87be805aeb152ccad4,https://arbiscan.io/tx/0x8911e088fbca94fa3fc6820e1088cfc09bd29d29c91a9c87be805aeb152ccad4,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,-0.974,-1991.52806,no,0.06
12/11/2023,10:11:24,arb,0x955064ae470f1f742f49e1c51bd5724eb9017850104a5417c2d39d0870822716,https://arbiscan.io/tx/0x955064ae470f1f742f49e1c51bd5724eb9017850104a5417c2d39d0870822716,receive,0x305d147a03937e547ce3c2b376922a1bc905c2b5,,ETH,token,0.98,2003.7962,no,
01/08/2023,13:56:45,op,0xf278fe76fdfaad19610139c64f5a0ca946746fe8e4ff1d303844538e21a3d080,https://optimistic.etherscan.io/tx/0xf278fe76fdfaad19610139c64f5a0ca946746fe8e4ff1d303844538e21a3d080,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,-0.1097,-205.51965900000002,no,0.12
01/08/2023,13:16:25,op,0x6865fef73f700a128eacd2da17a3031dafe15edcec24884172fd9009dbd8c660,https://optimistic.etherscan.io/tx/0x6865fef73f700a128eacd2da17a3031dafe15edcec24884172fd9009dbd8c660,receive,0x3b6280e12f19160c8b340a77d8cfb6eb5e32ea77,,ETH,token,0.11,206.0817,no,
