Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
02/01/2024,14:36:12,arb,0x7a769eac03912c676ae23c9f8548a1d8a528211c62baf7fcf37375c82d95cafc,https://arbiscan.io/tx/0x7a769eac03912c676ae23c9f8548a1d8a528211c62baf7fcf37375c82d95cafc,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,USDC,token,-2300,-2300,no,0.13
02/01/2024,14:22:29,arb,0xbec038fdf373f1e01d95efd2f75fbb02d3c2477a123b2825f2fc4819dcf27308,https://arbiscan.io/tx/0xbec038fdf373f1e01d95efd2f75fbb02d3c2477a123b2825f2fc4819dcf27308,receive,0x3b6280e12f19160c8b340a77d8cfb6eb5e32ea77,,USDC,token,2300,2300,no,
02/01/2024,14:21:23,eth,0xeddd0056c7baac8ff7806c39145ecb1b0fed06d0c7ac0b306239d2a2eda4ccd2,https://etherscan.io/tx/0xeddd0056c7baac8ff7806c39145ecb1b0fed06d0c7ac0b306239d2a2eda4ccd2,send,0x51971c86b04516062c1e708cdc048cb04fbe959f,,ETH,token,-1.256871958765,-2960.360799357555,no,1.55
02/01/2024,14:06:47,eth,0x0f8c7fd62ee6dc1f95dfc66dbaae19ab80498b363c8f1b3f723da657d9905397,https://etherscan.io/tx/0x0f8c7fd62ee6dc1f95dfc66dbaae19ab80498b363c8f1b3f723da657d9905397,receive,0x3b6280e12f19160c8b340a77d8cfb6eb5e32ea77,,ETH,token,0.59,1389.6506,no,
29/12/2023,12:49:21,arb,0xe80b9794aea8384c9df34771cd5a7bd9bbeeb0ddb529b20bc669c6f7d7cf9c54,https://arbiscan.io/tx/0xe80b9794aea8384c9df34771cd5a7bd9bbeeb0ddb529b20bc669c6f7d7cf9c54,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,USDT,token,-869.1683,-869.2508709885,no,0.11
29/12/2023,12:47:12,arb,0x5f35445039c05f3fa37808bf47b537d0af0969edfd4fb245b8eec1076ee6d7d4,https://arbiscan.io/tx/0x5f35445039c05f3fa37808bf47b537d0af0969edfd4fb245b8eec1076ee6d7d4,receive,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,0.00004025724,0.0925203966852,no,
16/12/2023,11:39:13,op,0xb81d9508ad1905574e2cdded781456ff11c104141a35a0161bea55939f326d37,https://optimistic.etherscan.io/tx/0xb81d9508ad1905574e2cdded781456ff11c104141a35a0161bea55939f326d37,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,-0.519949020139,-1158.940368438824,no,0.21
16/12/2023,11:36:49,op,0xb34c68350f3fbfad8f87fea5ff60838318a734c388528bac7b7930e0a2e180be,https://optimistic.etherscan.io/tx/0xb34c68350f3fbfad8f87fea5ff60838318a734c388528bac7b7930e0a2e180be,receive,0x3b6280e12f19160c8b340a77d8cfb6eb5e32ea77,,ETH,token,0.52,1159.0539999999999,no,
15/11/2023,09:17:47,eth,0xf16fb77b4e7d242533f1f967a885df8957e5ecdbd9822f3664bc6a5d326eb91b,https://etherscan.io/tx/0xf16fb77b4e7d242533f1f967a885df8957e5ecdbd9822f3664bc6a5d326eb91b,receive,0xb356a392fc4f3e31da079cdc14fcd1df23e62a87,,ETH,token,0.68,1399.7528000000002,no,
15/11/2023,09:12:48,arb,0x92df2ed854253923d51ae9db8ffda8cb92cf37e90d8ce282fba8d6ebf38b1874,https://arbiscan.io/tx/0x92df2ed854253923d51ae9db8ffda8cb92cf37e90d8ce282fba8d6ebf38b1874,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,-0.6899123668,-1420.157010563128,no,0.07
