Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
18/01/2024,11:26:06,avax,0x60d65d329a0241142ae4dab8893ba0154c765743a2c5ea7e45b01feff55dc908,https://snowscan.xyz/tx/0x60d65d329a0241142ae4dab8893ba0154c765743a2c5ea7e45b01feff55dc908,receive,0x0f77df2f30734d47e88886c02c686a56e88f8f23,,USDC,token,0.00234,0.00234,no,
18/01/2024,11:24:40,avax,0x66e6ad188740ad7969323d6950791da67d1752e801bd77f204a998020b8c0bd5,https://snowscan.xyz/tx/0x66e6ad188740ad7969323d6950791da67d1752e801bd77f204a998020b8c0bd5,send,0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,,USDC,token,-2340,-2340,no,1.21
18/01/2024,11:24:32,avax,0xa3bc0f39eac7cdf7d3b5eaf6f0ca64d73f7749a89222e777bc89905688b90c88,https://snowscan.xyz/tx/0xa3bc0f39eac7cdf7d3b5eaf6f0ca64d73f7749a89222e777bc89905688b90c88,receive,0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,,AVAX,token,0.096,3.2227200000000003,no,
18/01/2024,11:21:07,avax,0x4d3b5a1275a4bdd0dd87a25b5cf0cb2c04c8dd422d7d249b099ab67b04801b20,https://snowscan.xyz/tx/0x4d3b5a1275a4bdd0dd87a25b5cf0cb2c04c8dd422d7d249b099ab67b04801b20,receive,0xf376e1e42477e1853bb234f990731d6fa4c9cf63,,USDC,token,2340,2340,no,
15/12/2023,15:36:29,arb,0x17e7cea68f3604071386d23677045c8027aed462a3907d5cc6b287e511543bb1,https://arbiscan.io/tx/0x17e7cea68f3604071386d23677045c8027aed462a3907d5cc6b287e511543bb1,receive,0xf376e1e42477e1853bb234f990731d6fa4c9cf63,,ETH,token,0.07,155.19420000000002,no,
16/11/2023,16:18:46,arb,0x5516a99148e11dd036c14e79b0064c2eee853ced0525a839c51201c999e5eb8b,https://arbiscan.io/tx/0x5516a99148e11dd036c14e79b0064c2eee853ced0525a839c51201c999e5eb8b,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,-0.5499673501,-1078.909448405677,no,0.13
16/11/2023,16:09:48,arb,0x29e5c0ffacb3c75dc5a33b7d56b3894bd12eceb7b668c6c6cf158de6fbb6ba29,https://arbiscan.io/tx/0x29e5c0ffacb3c75dc5a33b7d56b3894bd12eceb7b668c6c6cf158de6fbb6ba29,receive,0xf376e1e42477e1853bb234f990731d6fa4c9cf63,,ETH,token,0.55,1078.9735,no,
14/11/2023,08:39:10,arb,0x7a0f33b7fe0b840111706df137e22643ad2c3582aa230195ab1d5b10120c567a,https://arbiscan.io/tx/0x7a0f33b7fe0b840111706df137e22643ad2c3582aa230195ab1d5b10120c567a,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,-1.0399687044,-2058.5140534893603,no,0.06
14/11/2023,08:37:21,arb,0xb840c68b3d41515129da7e617dc2cfc09d7428fa843c4cbb737553746dbac272,https://arbiscan.io/tx/0xb840c68b3d41515129da7e617dc2cfc09d7428fa843c4cbb737553746dbac272,receive,0xf376e1e42477e1853bb234f990731d6fa4c9cf63,,ETH,token,1.04,2058.576,no,
14/11/2023,07:21:11,arb,0x5d9333262130f2702bd304f59703d4be5ce0fd18000b449f6cea2d7564549131,https://arbiscan.io/tx/0x5d9333262130f2702bd304f59703d4be5ce0fd18000b449f6cea2d7564549131,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,-0.8999637132,-1781.38817390808,no,0.06
14/11/2023,07:19:36,arb,0x90ca271b2dfa41bbb6a1cbb75dc6c9c914082359d1e547bf17eeda25038a566f,https://arbiscan.io/tx/0x90ca271b2dfa41bbb6a1cbb75dc6c9c914082359d1e547bf17eeda25038a566f,receive,0xf376e1e42477e1853bb234f990731d6fa4c9cf63,,ETH,token,0.9,1781.46,no,
11/11/2023,14:24:09,arb,0x0e98dbaf25c70d79644d1a7b811a0c7c0048eec543671262754e064a966fe760,https://arbiscan.io/tx/0x0e98dbaf25c70d79644d1a7b811a0c7c0048eec543671262754e064a966fe760,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,-0.9999733072,-2053.105195410752,no,0.07
11/11/2023,14:20:28,arb,0xbeda6838263f3ed944fc38601ea28e76507b0176b55ac34777ef95e42f0e69d9,https://arbiscan.io/tx/0xbeda6838263f3ed944fc38601ea28e76507b0176b55ac34777ef95e42f0e69d9,receive,0xf376e1e42477e1853bb234f990731d6fa4c9cf63,,ETH,token,1,2053.16,no,
28/08/2023,14:21:43,arb,0x3df42fd4e2511ff6533d90955e0bea2a1474d1a13ffa71be618bfc10215afcfc,https://arbiscan.io/tx/0x3df42fd4e2511ff6533d90955e0bea2a1474d1a13ffa71be618bfc10215afcfc,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,-0.074,-122.33753999999999,no,0.04
23/08/2023,16:19:05,arb,0x384b3ee163140a7eb63b3ffbb46289a72ec859a3c2781c7663f12620d0e8971d,https://arbiscan.io/tx/0x384b3ee163140a7eb63b3ffbb46289a72ec859a3c2781c7663f12620d0e8971d,receive,0x6f6bbc9dc3633d309360140934cebd49a30f09c2,,ETH,token,0.08,134.39360000000002,no,
