Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
01/01/2024,20:48:23,eth,0xf82562585b918b15049d68fc289fb6e2fb7c269e9a6b2ceec86cc7b24fc64b0c,https://etherscan.io/tx/0xf82562585b918b15049d68fc289fb6e2fb7c269e9a6b2ceec86cc7b24fc64b0c,receive,0x475b709e5c4afd2b75d1f709375a49357123736f,,ETH,token,0.06,141.1224,no,
01/01/2024,20:47:39,op,0xe23c6264d5ead90e66484d72744e242d3663135283a03e8aad3d4ec2757829c6,https://optimistic.etherscan.io/tx/0xe23c6264d5ead90e66484d72744e242d3663135283a03e8aad3d4ec2757829c6,receive,0x475b709e5c4afd2b75d1f709375a49357123736f,,ETH,token,0.04,94.0816,no,
19/11/2023,11:57:18,arb,0x59e0ffe16c765ca80c2f4b60cf8de8c6f1e47bcfd0a1aa5c0c40256bc54aa4d2,https://arbiscan.io/tx/0x59e0ffe16c765ca80c2f4b60cf8de8c6f1e47bcfd0a1aa5c0c40256bc54aa4d2,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,-0.9399588842,-1890.388910369988,no,0.05
19/11/2023,11:48:06,arb,0xa3427657fcf3b98c83a208919536df24c7c134fce9ab19c1596b2d6b7e17751e,https://arbiscan.io/tx/0xa3427657fcf3b98c83a208919536df24c7c134fce9ab19c1596b2d6b7e17751e,receive,0x475b709e5c4afd2b75d1f709375a49357123736f,,ETH,token,0.94,1890.4716,no,
15/11/2023,10:21:16,arb,0xe1089e82a636a23126243a0d5af175de8ffd5eab1844ebbd4968b6fa920e7f04,https://arbiscan.io/tx/0xe1089e82a636a23126243a0d5af175de8ffd5eab1844ebbd4968b6fa920e7f04,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,-0.9099622325,-1873.12085711195,no,0.08
15/11/2023,10:18:43,arb,0x3488d8bdb826442bad4418c1a4d0ec4e58dbca2770bf6d6257a33b72e4afd82d,https://arbiscan.io/tx/0x3488d8bdb826442bad4418c1a4d0ec4e58dbca2770bf6d6257a33b72e4afd82d,receive,0x475b709e5c4afd2b75d1f709375a49357123736f,,ETH,token,0.58,1193.9068,no,
15/11/2023,07:54:05,arb,0x0e018cee839fb5a5c3b419f7a87bc3171925fd4dc72fdc84866354390d7fa6f9,https://arbiscan.io/tx/0x0e018cee839fb5a5c3b419f7a87bc3171925fd4dc72fdc84866354390d7fa6f9,receive,0x475b709e5c4afd2b75d1f709375a49357123736f,,ETH,token,0.33,679.2918000000001,no,
12/11/2023,11:24:10,arb,0x4b47a3d7d0b73b984a05db306308e168d3eca15306a52d1dac2ccdd473e0d1c7,https://arbiscan.io/tx/0x4b47a3d7d0b73b984a05db306308e168d3eca15306a52d1dac2ccdd473e0d1c7,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,-0.964,-1971.08116,no,0.08
12/11/2023,11:22:50,arb,0xb678ae420846871057c4978874b022bef7bc1f88e59ce53fe81d9800837a336a,https://arbiscan.io/tx/0xb678ae420846871057c4978874b022bef7bc1f88e59ce53fe81d9800837a336a,receive,0x475b709e5c4afd2b75d1f709375a49357123736f,,ETH,token,0.97,1983.3493,no,
11/11/2023,21:29:14,arb,0x701e94459c0a1599042db9424210ff4634c143671d0c86b54bf0f0a689744052,https://arbiscan.io/tx/0x701e94459c0a1599042db9424210ff4634c143671d0c86b54bf0f0a689744052,receive,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,USDT,token,199,199.03383,no,
30/10/2023,11:55:23,eth,0x08bf534cc62428a6fc3585506b856c2f53f04311f1cd97b452ce5a9ebef20003,https://etherscan.io/tx/0x08bf534cc62428a6fc3585506b856c2f53f04311f1cd97b452ce5a9ebef20003,receive,0xfc465631ac105754b34ce9e6f40fe414b1c46ae6,,ETH,token,0.038,68.74314,no,
