Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
16/01/2024,17:02:28,arb,0xe62e0e93ce592278d87d3c8e40091dcdadeca243f97266b835aa7de3b33a17f3,https://arbiscan.io/tx/0xe62e0e93ce592278d87d3c8e40091dcdadeca243f97266b835aa7de3b33a17f3,receive,0xf89d7b9c864f589bbf53a82105107622b35eaa40,,USDT,token,100,99.9675,no,
16/01/2024,16:14:26,arb,0x8c2606d36f02ac73315ac297f367ef5a96000ac261acfdfb9eb41a5ab34ba601,https://arbiscan.io/tx/0x8c2606d36f02ac73315ac297f367ef5a96000ac261acfdfb9eb41a5ab34ba601,receive,0xf89d7b9c864f589bbf53a82105107622b35eaa40,,USDT,token,200,199.935,no,
11/01/2024,21:18:17,arb,0x53ad4a0802a204936a9d49aef1a5e225d7405f0a373531bacde3fdfdc8f7b87e,https://arbiscan.io/tx/0x53ad4a0802a204936a9d49aef1a5e225d7405f0a373531bacde3fdfdc8f7b87e,send,0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,,USDT,token,-750,-750.04875,no,0.11
11/01/2024,21:15:26,arb,0x4a9368448b7f21487faa70a89138171cf959f52104d6893694f570373fb84497,https://arbiscan.io/tx/0x4a9368448b7f21487faa70a89138171cf959f52104d6893694f570373fb84497,receive,0xf89d7b9c864f589bbf53a82105107622b35eaa40,,USDT,token,750,750.04875,no,
01/01/2024,21:22:49,arb,0x3355c770f7cc7c9a17771c4b8b05bd26ed933e2fd434a10f99c740d9078c91c8,https://arbiscan.io/tx/0x3355c770f7cc7c9a17771c4b8b05bd26ed933e2fd434a10f99c740d9078c91c8,receive,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,ETH,token,0.11868,279.1401072,no,
29/12/2023,04:05:12,arb,0x626b1d7796fc0e32fe2d2c121118f05050acd687426aff518308740f2501d424,https://arbiscan.io/tx/0x626b1d7796fc0e32fe2d2c121118f05050acd687426aff518308740f2501d424,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,USDT,token,-1075.851556,-1075.95376189782,no,0.1
29/12/2023,04:02:59,arb,0xcb1dad06965c7f4d82fda3efb0c0914fe78f5aed628fa2fa2943160deebd0f8a,https://arbiscan.io/tx/0xcb1dad06965c7f4d82fda3efb0c0914fe78f5aed628fa2fa2943160deebd0f8a,receive,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,0.0000240474,0.055266456102,no,
19/12/2023,18:18:59,eth,0x6fd595559465aba881ff702945ecb5b32a563b24a83d4cbff892569666384400,https://etherscan.io/tx/0x6fd595559465aba881ff702945ecb5b32a563b24a83d4cbff892569666384400,receive,0x3b6280e12f19160c8b340a77d8cfb6eb5e32ea77,,ETH,token,0.365,794.897,no,
04/11/2023,18:45:11,eth,0xe3e0b488b5f052e4ce707ed9e421e4404dae57789d667054d4e29bb0128d8738,https://etherscan.io/tx/0xe3e0b488b5f052e4ce707ed9e421e4404dae57789d667054d4e29bb0128d8738,send,0x51971c86b04516062c1e708cdc048cb04fbe959f,,ETH,token,-1.7025096735660001,-3159.0918247853915,no,0.95
04/11/2023,18:31:35,eth,0x6b5f308b921d04ad51014f35caf1076e5c35906668da73fb69193115e2e38945,https://etherscan.io/tx/0x6b5f308b921d04ad51014f35caf1076e5c35906668da73fb69193115e2e38945,receive,0x3b6280e12f19160c8b340a77d8cfb6eb5e32ea77,,ETH,token,1.34,2486.437,no,
02/11/2023,09:36:11,eth,0x7a4571e9e4ce6b11b658aac3208726e2f70c2f1d574eb713bf426fbd472fdada,https://etherscan.io/tx/0x7a4571e9e4ce6b11b658aac3208726e2f70c2f1d574eb713bf426fbd472fdada,send,0x0639556f03714a74a5feeaf5736a4a64ff70d206,,LDO,token,-189.6792087573,-333.1999488918165,no,9.42
