Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
07/05/2024,22:35:27,arb,0x07ba658f383a317e11b8a7805219d7beb660b861e8576efe4928120d651172a5,https://arbiscan.io/tx/0x07ba658f383a317e11b8a7805219d7beb660b861e8576efe4928120d651172a5,send,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,USDT,token,-2217.600809,-2217.611897004045,no,0
07/05/2024,20:14:22,arb,0x44b8390ca7e324820d04850d7e3bc035d4e82fb946580989f175b60226a310de,https://arbiscan.io/tx/0x44b8390ca7e324820d04850d7e3bc035d4e82fb946580989f175b60226a310de,receive,0x03e6fa590cadcf15a38e86158e9b3d06ff3399ba,,USDT,token,577.600809,577.603697004045,no,
07/05/2024,20:12:09,arb,0xa84f9381e8156a89f355755d849466d04e5965f9e35011b0a3f3731a65490f85,https://arbiscan.io/tx/0xa84f9381e8156a89f355755d849466d04e5965f9e35011b0a3f3731a65490f85,receive,0x3b6280e12f19160c8b340a77d8cfb6eb5e32ea77,,USDT,token,1640,1640.0082,no,
05/05/2024,09:09:04,linea,0x9e3c9691edd174e2b53f00e886c711c49c0f52a6df6abae7909f101078c41307,https://lineascan.build/tx/0x9e3c9691edd174e2b53f00e886c711c49c0f52a6df6abae7909f101078c41307,send,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,ETH,token,-0.069997479999706,-219.53519644747792,no,0
04/05/2024,16:19:28,linea,0xba383ab002f182bd252ea07b33435aec370d1d25f97203f0e2329af77adae9d5,https://lineascan.build/tx/0xba383ab002f182bd252ea07b33435aec370d1d25f97203f0e2329af77adae9d5,receive,0x3b6280e12f19160c8b340a77d8cfb6eb5e32ea77,,ETH,token,0.07,218.22150000000002,no,
30/04/2024,07:43:35,matic,0x6391fb2a92c47714e02c6a61093a9e39c76641e7cd19a75f2e2fc22176529d23,https://polygonscan.com/tx/0x6391fb2a92c47714e02c6a61093a9e39c76641e7cd19a75f2e2fc22176529d23,send,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,ABYS,token,-4000,-206.93970802823222,no,0
29/04/2024,15:25:28,matic,0xee6f5a97b3f11183d291debd886a880e80b911c60843ab5dba775bf3b5d9e402,https://polygonscan.com/tx/0xee6f5a97b3f11183d291debd886a880e80b911c60843ab5dba775bf3b5d9e402,receive,0x3b6280e12f19160c8b340a77d8cfb6eb5e32ea77,,ABYS,token,4000,204.31195976984395,no,
26/04/2024,15:50:48,mobm,0x46ec5f81ea7fcad35e92dd309d03b23234b681b9da3ec85873e12d97c350fe28,https://moonscan.io/tx/0x46ec5f81ea7fcad35e92dd309d03b23234b681b9da3ec85873e12d97c350fe28,send,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,WELL,token,-75821.38508148248,-2473.5108055183555,no,0
25/04/2024,15:50:36,mobm,0x8758ce18f6756ca0340a503e59e0bc71bcc06d484393695d50f44d0a5fdec090,https://moonscan.io/tx/0x8758ce18f6756ca0340a503e59e0bc71bcc06d484393695d50f44d0a5fdec090,receive,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,GLMR,token,0.0074464,0.00242082464,no,
25/04/2024,12:42:12,mobm,0xfe48e3377342003d481a5c82d0fd8727f891dae2524fa3ea8ae09d8ffb4fad03,https://moonscan.io/tx/0xfe48e3377342003d481a5c82d0fd8727f891dae2524fa3ea8ae09d8ffb4fad03,receive,0x3b6280e12f19160c8b340a77d8cfb6eb5e32ea77,,WELL,token,75821.38508148248,2725.7713279520576,no,
21/04/2024,22:37:57,arb,0x438319e7da832244e7785fc17294e8462c10ecdbc670f5174df7d41971179804,https://arbiscan.io/tx/0x438319e7da832244e7785fc17294e8462c10ecdbc670f5174df7d41971179804,send,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,ETH,token,-0.64289935508,-2023.7250189143747,no,0
21/04/2024,11:24:30,arb,0xbd68cb9dd6e44d0f1e439ff5a177be7918ac09acde8196e0aa0a90adf802df6b,https://arbiscan.io/tx/0xbd68cb9dd6e44d0f1e439ff5a177be7918ac09acde8196e0aa0a90adf802df6b,receive,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,0.6429,2023.727049,no,
08/04/2024,22:46:39,arb,0xb6e6025f8d1cbadc4614edac5ae6af6497039a5f5112b3328a7e1160d2caca42,https://arbiscan.io/tx/0xb6e6025f8d1cbadc4614edac5ae6af6497039a5f5112b3328a7e1160d2caca42,send,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,ETH,token,-0.06294610801,-232.56132011482612,no,0
08/04/2024,12:49:02,arb,0x5e783efd69bc4caa68cc6bb8f317cbe10fbfec4613a48a409812ca320208d5e5,https://arbiscan.io/tx/0x5e783efd69bc4caa68cc6bb8f317cbe10fbfec4613a48a409812ca320208d5e5,receive,0x9b64203878f24eb0cdf55c8c6fa7d08ba0cf77e5,,ETH,token,0.06296,232.6126456,no,
02/04/2024,22:33:08,arb,0x5e530e1320eb3b93fb4c56e598e9965bfa3399040c63ba36234816476fa39233,https://arbiscan.io/tx/0x5e530e1320eb3b93fb4c56e598e9965bfa3399040c63ba36234816476fa39233,send,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,USDT,token,-1000,-1000.235,no,0.02
