Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
03/01/2024,13:39:28,arb,0x14561340ce9cd58a7f38ea9ffce70601849b4a18fd80fe147732a5c26a7ed2ca,https://arbiscan.io/tx/0x14561340ce9cd58a7f38ea9ffce70601849b4a18fd80fe147732a5c26a7ed2ca,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,-0.582794359542,-1287.7599006747894,no,0.25
03/01/2024,13:21:12,arb,0x841d9f2e74014d18a4a2332e5f3153728632f7f9ffdb815d2b2ad8bc2c74409d,https://arbiscan.io/tx/0x841d9f2e74014d18a4a2332e5f3153728632f7f9ffdb815d2b2ad8bc2c74409d,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,USDC,token,-3220.907348,-3220.907348,no,0.79
03/01/2024,13:04:26,arb,0x83be7b98da2bf850565e702c3ea27ae4317e54299f13168e12b60e776ca9391d,https://arbiscan.io/tx/0x83be7b98da2bf850565e702c3ea27ae4317e54299f13168e12b60e776ca9391d,receive,0xd29af936ab83793e10fe6c9ef5ce6e81104dd91a,,ETH,token,0.59,1303.6817,no,
03/01/2024,12:57:27,arb,0xaa76f7842175bf969caa5690fda12b308e0bc886e12fcfe90c1928532af63eed,https://arbiscan.io/tx/0xaa76f7842175bf969caa5690fda12b308e0bc886e12fcfe90c1928532af63eed,receive,0xd29af936ab83793e10fe6c9ef5ce6e81104dd91a,,USDC,token,3220.907348,3220.907348,no,
02/01/2024,16:36:42,bsc,0x93028a9d20bc75e4dfd5b4a5a46bdb79dbf0acbc300c6b3d850bd47fd2a228fe,https://bscscan.com/tx/0x93028a9d20bc75e4dfd5b4a5a46bdb79dbf0acbc300c6b3d850bd47fd2a228fe,send,0x97b9d2102a9a65a26e1ee82d59e42d1b73b68689,,USDC,token,-2299.71,-2299.71,no,0.07
02/01/2024,16:36:33,bsc,0xba19cd4f2e89671de31f4c9cf1c5655bed82ea028146c47f7b3e20598eb3fd69,https://bscscan.com/tx/0xba19cd4f2e89671de31f4c9cf1c5655bed82ea028146c47f7b3e20598eb3fd69,receive,0x97b9d2102a9a65a26e1ee82d59e42d1b73b68689,,BNB,token,0.00144,0.44928,no,
02/01/2024,16:33:17,bsc,0x119a9196d88126fd4900a2845e5a77a3d302b5e3fb099facf1b7f9382a708d02,https://bscscan.com/tx/0x119a9196d88126fd4900a2845e5a77a3d302b5e3fb099facf1b7f9382a708d02,receive,0xd29af936ab83793e10fe6c9ef5ce6e81104dd91a,,USDC,token,2299.71,2299.71,no,
15/11/2023,08:57:12,arb,0x44818b98aab4f0a78102aad2b8aeeb4ec72956eecf9779999fe8dd7f7b9a66eb,https://arbiscan.io/tx/0x44818b98aab4f0a78102aad2b8aeeb4ec72956eecf9779999fe8dd7f7b9a66eb,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,-0.6599862857,-1358.555369662022,no,0.08
15/11/2023,08:53:31,arb,0x6c0fb5b5d1026b0796279c57e524811ca7e6e5e6ddf983498d2200d157f77e75,https://arbiscan.io/tx/0x6c0fb5b5d1026b0796279c57e524811ca7e6e5e6ddf983498d2200d157f77e75,receive,0xd29af936ab83793e10fe6c9ef5ce6e81104dd91a,,ETH,token,0.54,1111.5684,no,
15/11/2023,08:25:38,arb,0x74bd692ff81ede0e1df84a51df5fd3262801e14af062017389f6c106e8a97f44,https://arbiscan.io/tx/0x74bd692ff81ede0e1df84a51df5fd3262801e14af062017389f6c106e8a97f44,receive,0xd29af936ab83793e10fe6c9ef5ce6e81104dd91a,,ETH,token,0.12,247.0152,no,
21/10/2023,16:00:10,arb,0x61dc8f8bef60037510a87825e83bcff215d25a989b236137360a0301a316d757,https://arbiscan.io/tx/0x61dc8f8bef60037510a87825e83bcff215d25a989b236137360a0301a316d757,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,-1.8699862167,-3046.076647969131,no,0.02
21/10/2023,15:51:05,arb,0xf1d5d4744602a04a3f14ce405fffc1ed3305953cbf44903f36006d0f31b9f73c,https://arbiscan.io/tx/0xf1d5d4744602a04a3f14ce405fffc1ed3305953cbf44903f36006d0f31b9f73c,receive,0xd29af936ab83793e10fe6c9ef5ce6e81104dd91a,,ETH,token,1.87,3046.0991000000004,no,
21/10/2023,14:45:10,arb,0x55d39abe5c01c52ef5ff60434044008da2ca6682feecefba8ac9872aee8d686a,https://arbiscan.io/tx/0x55d39abe5c01c52ef5ff60434044008da2ca6682feecefba8ac9872aee8d686a,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,-1.8899860683,-3078.6550062359192,no,0.02
21/10/2023,14:31:44,arb,0xd4e2dcc00b1759a3cb01871a03617f916f43005bb2e91472f2d0378c687d461a,https://arbiscan.io/tx/0xd4e2dcc00b1759a3cb01871a03617f916f43005bb2e91472f2d0378c687d461a,receive,0xd29af936ab83793e10fe6c9ef5ce6e81104dd91a,,ETH,token,1.89,3078.6777,no,
28/09/2023,12:42:10,arb,0x1e3d910132c346c8f3679fd032579b03942af9e0008494d6eff337da36dd2039,https://arbiscan.io/tx/0x1e3d910132c346c8f3679fd032579b03942af9e0008494d6eff337da36dd2039,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,-4.7769827711,-7895.922592178902,no,0.02
28/09/2023,12:30:56,arb,0x80b90d128367c43b5721e002e5a4d25f51f6e008732bd062ac379c9ca9213eba,https://arbiscan.io/tx/0x80b90d128367c43b5721e002e5a4d25f51f6e008732bd062ac379c9ca9213eba,receive,0xd29af936ab83793e10fe6c9ef5ce6e81104dd91a,,ETH,token,4.777,7895.951070000001,no,
28/09/2023,10:54:16,arb,0xed3499e871d996491adc1e7a79c94a8e0ce17fb3da32d80ab94909e3b3c8e22d,https://arbiscan.io/tx/0xed3499e871d996491adc1e7a79c94a8e0ce17fb3da32d80ab94909e3b3c8e22d,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,-4.809986914,-7950.47547001974,no,0.03
28/09/2023,10:43:06,arb,0xcffc72fede685b238dc7a0e186dba11dfe06771436f8b1094e40bb8932e6ea10,https://arbiscan.io/tx/0xcffc72fede685b238dc7a0e186dba11dfe06771436f8b1094e40bb8932e6ea10,receive,0x3b6280e12f19160c8b340a77d8cfb6eb5e32ea77,,ETH,token,4.81,7950.4971,no,
24/09/2023,09:24:07,arb,0xba463547928e4abd21545aacc508a5b54985f5b52b2313d3c0e08b3f9a7b7436,https://arbiscan.io/tx/0xba463547928e4abd21545aacc508a5b54985f5b52b2313d3c0e08b3f9a7b7436,send,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,ETH,token,-0.879,-1389.66384,no,0.02
24/09/2023,09:13:43,arb,0x46a8f48d0bba95396c5a261bd08d0a0420e8f437d5e64ff9dbed37a5471b038a,https://arbiscan.io/tx/0x46a8f48d0bba95396c5a261bd08d0a0420e8f437d5e64ff9dbed37a5471b038a,receive,0xd29af936ab83793e10fe6c9ef5ce6e81104dd91a,,ETH,token,0.885,1399.1496,no,
