Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
11/05/2024,04:40:15,arb,0x668f64f54c67c8a2bffc34fbe488eb7b1fdef2d54704c5008cb70f413b3c2949,https://arbiscan.io/tx/0x668f64f54c67c8a2bffc34fbe488eb7b1fdef2d54704c5008cb70f413b3c2949,send,0x169dde50fe1b02ddf59eeb199ba4182d0893f42d,,ETH,token,-1.79066e-7,-0.00052152256236,no,0
11/05/2024,04:35:35,op,0x6763ad0cd9279992710c71fcfe31ae0d5b2b5ae45c150ca17af5f011bf95bdee,https://optimistic.etherscan.io/tx/0x6763ad0cd9279992710c71fcfe31ae0d5b2b5ae45c150ca17af5f011bf95bdee,send,0x169dde50fe1b02ddf59eeb199ba4182d0893f42d,,ETH,token,-0.000004605700293836,-0.013413917877785597,no,0.01
11/05/2024,03:24:53,arb,0xbd6f8214b64fc698b09c879e354a7ac0dd708ec206ec1b37f7221be78dfaf3e0,https://arbiscan.io/tx/0xbd6f8214b64fc698b09c879e354a7ac0dd708ec206ec1b37f7221be78dfaf3e0,send,0x169dde50fe1b02ddf59eeb199ba4182d0893f42d,,S*USDC,token,-12.979111,-13.001946897323439,no,0
05/04/2024,05:34:26,era,0x502af02adad6eca8f38791355abc86f851315ce8724812db1e3c12378c6e9a2b,https://era.zksync.network/tx/0x502af02adad6eca8f38791355abc86f851315ce8724812db1e3c12378c6e9a2b,send,0xd29f0c038f313eda01a4699010254856242bca65,,ETH,token,-0.0000545252,-0.18090643482,no,0.01
05/04/2024,05:33:52,arb,0xea9f8dc99e01f671f1da7e1cddc18b8aa2dbe5473409226ec9bb1cd3fc08c858,https://arbiscan.io/tx/0xea9f8dc99e01f671f1da7e1cddc18b8aa2dbe5473409226ec9bb1cd3fc08c858,send,0x7e1efda3a1c016aef016ab39dda0814c38593b99,,ETH,token,-0.0000022288125,-0.007394865553125,no,0
19/03/2024,12:24:41,arb,0x1ffcb06b15f165420a34fea68e986f01fe025a2cff3bdacdfde24007be66138f,https://arbiscan.io/tx/0x1ffcb06b15f165420a34fea68e986f01fe025a2cff3bdacdfde24007be66138f,approve,0x9774558534036ff2e236331546691b4eb70594b1,Stargate,,,,,no,0.01
19/03/2024,12:24:36,arb,0x494b4ff9cc034841dc3cd2c1429896612d5c8b6c53a8e8a2adf8c35e3dc31b1d,https://arbiscan.io/tx/0x494b4ff9cc034841dc3cd2c1429896612d5c8b6c53a8e8a2adf8c35e3dc31b1d,withdraw,0xea8dfee1898a7e0a59f7527f076106d7e44c2176,Stargate,S*USDC,token,12.979111,13.001332565917023,no,0.01
,,,,,,,,STG,token,0.21713361912159662,0.14832397522196267,,
10/03/2024,04:21:35,era,0x1ca6a0866293392fda763534285340b1483489980f1899e24b6a8d91fd4f3af7,https://era.zksync.network/tx/0x1ca6a0866293392fda763534285340b1483489980f1899e24b6a8d91fd4f3af7,send,0x169dde50fe1b02ddf59eeb199ba4182d0893f42d,,ETH,token,-0.000115437225,-0.44772096841799996,no,0.18
16/12/2023,16:47:37,linea,0x91a61ad03e1fff3f3662174a365fca226d0ecf9be90ba72ddf7f493d3a371d72,https://lineascan.build/tx/0x91a61ad03e1fff3f3662174a365fca226d0ecf9be90ba72ddf7f493d3a371d72,send,0xa71264afc65c1922aba2d8aaeb12beda5496810e,,ETH,token,-0.010215483200550162,-22.769801279866282,no,0.22
