Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
07/05/2024,17:34:29,linea,0xe9a9e1feb320440c2b13583e57c76b6e7e7f3e71d8f4f2e89053d811658dfdf0,https://lineascan.build/tx/0xe9a9e1feb320440c2b13583e57c76b6e7e7f3e71d8f4f2e89053d811658dfdf0,swapWithPermit,0x80e38291e06339d10aab483c65695d004dbd5c69,SyncSwap,ETH,token,0.012554226365010504,37.73423818531207,no,0.04
,,,,,,,,USDC,token,-38.762641,-38.762641,,
07/05/2024,17:33:53,linea,0x39bab91546edf6e3c2a7900e4bb133d208798549adda87ef7c5df93a84749333,https://lineascan.build/tx/0x39bab91546edf6e3c2a7900e4bb133d208798549adda87ef7c5df93a84749333,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,ETH,token,0.0009093166040419,2.7331329167687386,no,
07/05/2024,17:33:29,linea,0xf47cb41350552fd5b6c77c64f2d8c5c841ced9a74783c588b8d9cf7fb6c611b3,https://lineascan.build/tx/0xf47cb41350552fd5b6c77c64f2d8c5c841ced9a74783c588b8d9cf7fb6c611b3,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,USDC,token,22.694625,22.694625,no,
07/05/2024,17:14:44,linea,0xeedbe9281017854b455f427684d939e3b49280d3410906815845d5a5150c1102,https://lineascan.build/tx/0xeedbe9281017854b455f427684d939e3b49280d3410906815845d5a5150c1102,send,0xf5301f6de11de09e879eaebe5ff2121f0c9c1173,,ETH,token,-0.01,-30.057,no,0
26/04/2024,20:40:30,linea,0xf0dc29bf0333fb92bfa3885050a89ed0da48ef5e18ccef05712006282f1c6803,https://lineascan.build/tx/0xf0dc29bf0333fb92bfa3885050a89ed0da48ef5e18ccef05712006282f1c6803,swapWithPermit,0x80e38291e06339d10aab483c65695d004dbd5c69,SyncSwap,ETH,token,0.002624935438910178,8.218331617620708,no,0.04
,,,,,,,,WEF,token,-1757,-8.339195148729734,,
26/04/2024,20:39:54,linea,0x620f2cd924b1f497c944ddbef8986271d4c2edb4ff9672f8e359b3bad3d5d22b,https://lineascan.build/tx/0x620f2cd924b1f497c944ddbef8986271d4c2edb4ff9672f8e359b3bad3d5d22b,claim,0x1a89e06b7677a4a321886a8330eec05a061c75ae,,WEF,token,2757,13.085464442258326,no,0.04
,,,,,,,,ETH,token,-0.002757,-8.631808589999999,,
25/04/2024,13:25:01,base,0xa830a944f505b6d85795aba75b2ebbf86cd3ee0b4ff29196384904b73552213c,https://www.basescan.org/tx/0xa830a944f505b6d85795aba75b2ebbf86cd3ee0b4ff29196384904b73552213c,airdropERC20,0x09350f89e2d7b6e96ba730783c2d76137b045fef,,BENTO,token,8880888,0.699956328983184,no,
25/04/2024,01:32:07,base,0xb649caefe56043fb982db4f581b2bd3a877379478aaaf460d93633f589841355,https://www.basescan.org/tx/0xb649caefe56043fb982db4f581b2bd3a877379478aaaf460d93633f589841355,receive,0x88888c037df4527933fa8ab203a89e1e6e58db70,,SNICK,token,2400000,0.28760627460049726,no,
22/04/2024,09:05:47,zora,0x62eb2c9bdb05fb54f63e878214f9af9d18084d420300a5b40a5521e18daa22a0,https://explorer.zora.energy/tx/0x62eb2c9bdb05fb54f63e878214f9af9d18084d420300a5b40a5521e18daa22a0,purchase,0xc0c0a215bcc25e617eca4674833a3df1bc66a6a6,,GROU,token,1,0,no,0.01
,,,,,,,,ETH,token,-0.000420000000000001,-1.296653400000003,,
