Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
07/05/2024,17:35:53,linea,0x8337322797f1dab00941e0ea320a7bf42b96c0505af671746362699dbd2253bc,https://lineascan.build/tx/0x8337322797f1dab00941e0ea320a7bf42b96c0505af671746362699dbd2253bc,swap,0x80e38291e06339d10aab483c65695d004dbd5c69,SyncSwap,ETH,token,0.007610761315462608,22.875665285885958,no,0.03
,,,,,,,,USDC,token,-23.511951,-23.511951,,
07/05/2024,17:35:38,linea,0x2ede7907cabec30b3f8c746904923ecc8b070e34f070fe90956eaa42e29b645f,https://lineascan.build/tx/0x2ede7907cabec30b3f8c746904923ecc8b070e34f070fe90956eaa42e29b645f,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,USDC,token,23.511951,23.511951,no,
,,,,,,,,ETH,token,0.00091144961912134,2.7395441201930115,,
07/05/2024,17:04:44,linea,0x3bdd8853d5fbb4216913181aab3911530f006b9b8a3823cb67fe57ec3335dc0e,https://lineascan.build/tx/0x3bdd8853d5fbb4216913181aab3911530f006b9b8a3823cb67fe57ec3335dc0e,send,0x7c1c3a0f7721744ff508629699823bdfbdf1978d,,ETH,token,-0.01,-30.057,no,0
26/04/2024,20:42:12,linea,0xdbd22cce4a80ccbace9643fc60c7d5e086ad49707855b43f99783e0497bf47b2,https://lineascan.build/tx/0xdbd22cce4a80ccbace9643fc60c7d5e086ad49707855b43f99783e0497bf47b2,swapWithPermit,0x80e38291e06339d10aab483c65695d004dbd5c69,SyncSwap,ETH,token,0.002601845185291032,8.146039035272132,no,0.04
,,,,,,,,WEF,token,-1756,-8.334448879436206,,
26/04/2024,20:41:27,linea,0x215d1343b893b7018ba732875f6b0d927edffbcadfd4611c722fd5a98aa47675,https://lineascan.build/tx/0x215d1343b893b7018ba732875f6b0d927edffbcadfd4611c722fd5a98aa47675,claim,0x1a89e06b7677a4a321886a8330eec05a061c75ae,,WEF,token,2756,13.080718172964797,no,0.04
,,,,,,,,ETH,token,-0.002756,-8.62867772,,
25/04/2024,01:35:51,base,0x1195311ae02e66a43fbd01314eb91cd7507b9dd4d3ead86fc982d49472bbf0e9,https://www.basescan.org/tx/0x1195311ae02e66a43fbd01314eb91cd7507b9dd4d3ead86fc982d49472bbf0e9,receive,0x88888c037df4527933fa8ab203a89e1e6e58db70,,SNICK,token,2400000,0.28760627460049726,no,
23/04/2024,09:48:17,zora,0x0424c7dd9b630ebc228b2cbf4002a848675b57d139cdda09201ef34e8f682642,https://explorer.zora.energy/tx/0x0424c7dd9b630ebc228b2cbf4002a848675b57d139cdda09201ef34e8f682642,execute,0x2986d9721a49838ab4297b695858af7f17f38014,Uniswap V3,ENJOY,token,16986.17963476306,2.684250049080674,no,0.01
,,,,,,,,ETH,token,-0.002,-6.2483,,
23/04/2024,09:45:11,linea,0x5e656abbdc38ce44ca5cf4eb83583442bbda3dcff2f7117acdb74e43e775bc14,https://lineascan.build/tx/0x5e656abbdc38ce44ca5cf4eb83583442bbda3dcff2f7117acdb74e43e775bc14,purchase,0xc0c0a215bcc25e617eca4674833a3df1bc66a6a6,,GROU,token,1,0,no,0.07
23/04/2024,09:43:07,zora,0x2b645c15d258bb16a582d3cd9c209ee5e9cd5b92446aca6c0605df665c2233cc,https://explorer.zora.energy/tx/0x2b645c15d258bb16a582d3cd9c209ee5e9cd5b92446aca6c0605df665c2233cc,receive,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,,ETH,token,0.03000000000000014,93.72450000000045,no,
23/04/2024,09:42:44,linea,0x2a86f022dc9d3f965f6e680c8314ff1265a33bd4020fbd5f7ac309a15dc28a7d,https://lineascan.build/tx/0x2a86f022dc9d3f965f6e680c8314ff1265a33bd4020fbd5f7ac309a15dc28a7d,send,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,,ETH,token,-0.030700000000009033,-98.83742200002908,no,0
