Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
07/05/2024,13:54:14,linea,0x1bd829145d583170dea3bd653983580499ab525341787dacfddeddec0c3237af,https://lineascan.build/tx/0x1bd829145d583170dea3bd653983580499ab525341787dacfddeddec0c3237af,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,ETH,token,0.0008,2.40456,no,
07/05/2024,13:53:38,linea,0xae355ef1b25b20691e930da31dd6e907b481f0e64d2bae71a5fd754e19178855,https://lineascan.build/tx/0xae355ef1b25b20691e930da31dd6e907b481f0e64d2bae71a5fd754e19178855,swapWithPermit,0x80e38291e06339d10aab483c65695d004dbd5c69,SyncSwap,ETH,token,0.007258840842518685,21.81789792035841,no,0.05
,,,,,,,,USDC,token,-22.376801,-22.376801,,
07/05/2024,13:53:14,linea,0x727d5ff1590ca5d8607c4dd592897a6df8be04ce790c2420e3ce3bf427da0ac0,https://lineascan.build/tx/0x727d5ff1590ca5d8607c4dd592897a6df8be04ce790c2420e3ce3bf427da0ac0,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,USDC,token,22.353814,22.353814,no,
07/05/2024,13:42:32,linea,0x54789bd1a749c05d64f74d0a5bbf71b8665bafd9478af6b4986a63319dc78634,https://lineascan.build/tx/0x54789bd1a749c05d64f74d0a5bbf71b8665bafd9478af6b4986a63319dc78634,send,0xc632cfebe68b8fd4f5832e8d8f44b667e524346d,,ETH,token,-0.01,-30.057,no,0
07/05/2024,13:40:59,eth,0x4202c5359afe954ec27597521753c9f5bc6fa6dbe37fadef8353da98a74d5949,https://etherscan.io/tx/0x4202c5359afe954ec27597521753c9f5bc6fa6dbe37fadef8353da98a74d5949,send,0xc632cfebe68b8fd4f5832e8d8f44b667e524346d,,ETH,token,-0.01,-30.057,no,0.39
21/04/2024,17:44:59,scrl,0xb0955ac7d979d134d395209c3d56335c0d7fad1f295a5bf665a01b5618c22848,https://scrollscan.com/tx/0xb0955ac7d979d134d395209c3d56335c0d7fad1f295a5bf665a01b5618c22848,relayMessage,0x781e90f1c8fc4611c9b7497c3b47f99ef6969cbc,Scroll Bridge,ETH,token,0.032,98.75872,no,
21/04/2024,17:30:47,eth,0x8c99ef0596c0c599f463ad022ac8df4093ad87926dd09ca572d6f00f47710e8b,https://etherscan.io/tx/0x8c99ef0596c0c599f463ad022ac8df4093ad87926dd09ca572d6f00f47710e8b,sendMessage,0x6774bcbd5cecef1336b5300fb5186a12ddd8b367,Scroll Bridge,ETH,token,-0.03216128,-101.2375987968,no,4.13
21/04/2024,17:25:23,eth,0x58eb8b5abf3b4fc0ac8ab0bcbfc9c05b9c7b9c02ba67560e200e463327426454,https://etherscan.io/tx/0x58eb8b5abf3b4fc0ac8ab0bcbfc9c05b9c7b9c02ba67560e200e463327426454,receive,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,ETH,token,0.034638,109.03384278,no,
09/04/2024,20:24:35,zora,0x36763d1adb9ee21c144e6bf286b900901b00ce17c9fb0bb4b1805fab474d231a,https://explorer.zora.energy/tx/0x36763d1adb9ee21c144e6bf286b900901b00ce17c9fb0bb4b1805fab474d231a,mintWithRewards,0xba521fe6fa390216345a74376c305f0376753b82,,,token,1,0,no,0.01
,,,,,,,,ETH,token,-0.000777,-2.39798517,,
08/04/2024,22:52:39,zora,0x558f14ca4339445af7612553198539a3fd199ff9d48b772ca899c20947a3d10e,https://explorer.zora.energy/tx/0x558f14ca4339445af7612553198539a3fd199ff9d48b772ca899c20947a3d10e,mintWithRewards,0xba521fe6fa390216345a74376c305f0376753b82,,,token,1,0,no,0.01
,,,,,,,,ETH,token,-0.000777,-2.39798517,,
08/04/2024,20:11:37,zora,0xf5c79f9675d62544de0b4d3715eb0be74e98672fa7cc4cd99ecfa9e75e6b72be,https://explorer.zora.energy/tx/0xf5c79f9675d62544de0b4d3715eb0be74e98672fa7cc4cd99ecfa9e75e6b72be,transfers,0x2598d7bc9d3b4b6124f3282e49eee68db270f516,,ETH,token,0.007000000000000064,21.6034700000002,no,
08/04/2024,20:11:14,linea,0x8ed3a5ec307d7170e2f058d4ead00840bec44627f7aa30df5f5e28a9c2b275a7,https://lineascan.build/tx/0x8ed3a5ec307d7170e2f058d4ead00840bec44627f7aa30df5f5e28a9c2b275a7,send,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,,ETH,token,-0.00770000000000903,-28.448497000033363,no,0.01
03/04/2024,20:33:29,linea,0xebabc832a4e12f6ab30f0050be112855860f454599a6509b6a850d7f2ddbebfe,https://lineascan.build/tx/0xebabc832a4e12f6ab30f0050be112855860f454599a6509b6a850d7f2ddbebfe,send,0xd6230048fb7ffc035bc5a12bd59554bd29fd7e57,,BiLP,token,-1,0,no,0.05
03/04/2024,20:32:03,linea,0xbd028544f4df859f278146964440380f289ffd4dd6836b87ec7333a5421b678b,https://lineascan.build/tx/0xbd028544f4df859f278146964440380f289ffd4dd6836b87ec7333a5421b678b,claim,0xa091303966ef5f94cf68f85d892c729fd6c3f30b,,BiLP,token,1,0,no,0.15
,,,,,,,,BiLP,token,1,0,,
03/04/2024,11:18:33,linea,0x8cb8800320d0998ecde8336a2a285d3bc959d459e54f3dbaf88d59c80bd09651,https://lineascan.build/tx/0x8cb8800320d0998ecde8336a2a285d3bc959d459e54f3dbaf88d59c80bd09651,claimLineaTravelbag,0xd41ac492fedc671eb965707d1dedad4eb7b6efc5,,,token,1,0,no,0.09
03/04/2024,11:15:54,linea,0xefa1accd307bfb6aa694b24eab193cb5d8e7542e565c8b1e89a189947ab1f947,https://lineascan.build/tx/0xefa1accd307bfb6aa694b24eab193cb5d8e7542e565c8b1e89a189947ab1f947,burn,0x34be5b8c30ee4fde069dc878989686abe9884470,,SIDUS,token,-1,0,no,0.01
03/04/2024,11:15:21,linea,0xcdecfedce70c5b9341ad7b7b7b0573fbb14e877a1d01e98a1c2e49fd4fec2bb5,https://lineascan.build/tx/0xcdecfedce70c5b9341ad7b7b7b0573fbb14e877a1d01e98a1c2e49fd4fec2bb5,mint,0xc0b4ab5cb0fdd6f5dfddb2f7c10c4c6013f97bf2,,GOAT,token,1,0,no,0.85
03/04/2024,11:15:21,linea,0x5b43aa6be7303692b50148d727f8ffc389a3807fa3521c28905c93a6a715e83c,https://lineascan.build/tx/0x5b43aa6be7303692b50148d727f8ffc389a3807fa3521c28905c93a6a715e83c,stake,0xb18b7847072117ae863f71f9473d555d601eb537,,,,,,no,0.05
03/04/2024,08:04:10,linea,0x0e377d41459ff119dede56c9b7621bf3fabdf4541873f4c3e81561f3e4aa7b21,https://lineascan.build/tx/0x0e377d41459ff119dede56c9b7621bf3fabdf4541873f4c3e81561f3e4aa7b21,swapToken,0x6c5f2ce8ab5d6341ba9563c82ca7fa6fa0c35161,,TROB.L,token,1,0,no,0.05
,,,,,,,,USDC,token,-0.01,-0.01,,
03/04/2024,08:04:01,linea,0x44dfc9003de650906f04704dcd42f44e7028cc55f4e7589ea1bfc3292ee21d80,https://lineascan.build/tx/0x44dfc9003de650906f04704dcd42f44e7028cc55f4e7589ea1bfc3292ee21d80,approve,0x6c5f2ce8ab5d6341ba9563c82ca7fa6fa0c35161,,,,,,no,0.02
03/04/2024,08:02:01,linea,0x2ac438d4e6460f910b123ad16cde66909b1dcf3448fc1a5d1b5179b566d395f3,https://lineascan.build/tx/0x2ac438d4e6460f910b123ad16cde66909b1dcf3448fc1a5d1b5179b566d395f3,setApprovalForAll,0x5ecde77c11e52872adeb3ef3565ffa0b2bcc1c68,,,,,,no,0.02
03/04/2024,07:56:34,linea,0xfcf89484ec4a517ae5e621522fad54418fc8ac862dafaa2d3d98b01c9b809820,https://lineascan.build/tx/0xfcf89484ec4a517ae5e621522fad54418fc8ac862dafaa2d3d98b01c9b809820,userMint,0xedeac716ab7536cb19ad19a7945400191a281c2b,,BTWO,token,1,0,no,0.07
03/04/2024,07:55:25,linea,0x0095b9a06dc0cf5bbe166b70f8d467143e4a4ee0f15a4aed35f22b54a2db4b66,https://lineascan.build/tx/0x0095b9a06dc0cf5bbe166b70f8d467143e4a4ee0f15a4aed35f22b54a2db4b66,purchase,0x5ecde77c11e52872adeb3ef3565ffa0b2bcc1c68,,ALCP,token,1,0,no,0.07
,,,,,,,,ETH,token,-0.0001,-0.331102,,
03/04/2024,07:55:16,linea,0x16d8a32e6b824dcfae879934cc541d76af39a2a59440b06863e06ecb8b026fed,https://lineascan.build/tx/0x16d8a32e6b824dcfae879934cc541d76af39a2a59440b06863e06ecb8b026fed,userMint,0xedeac716ab7536cb19ad19a7945400191a281c2b,,BONE,token,1,0,no,0.06
03/04/2024,07:49:49,linea,0x29aac7a22c0e6498f91bcbeef4f90772203ea8181d24ff59d36d379dca1b9b98,https://lineascan.build/tx/0x29aac7a22c0e6498f91bcbeef4f90772203ea8181d24ff59d36d379dca1b9b98,fillBatchSignedERC721Order,0x0cab6977a9c70e04458b740476b498b214019641,Element,PARK,token,1,0,no,0.04
,,,,,,,,ETH,token,-0.000009996,-0.033096955920000004,,
03/04/2024,07:48:25,linea,0xa46a33a3254a12c0965b01d7172e23c338456c114b48daba7ca0192c52baf393,https://lineascan.build/tx/0xa46a33a3254a12c0965b01d7172e23c338456c114b48daba7ca0192c52baf393,claim,0x184e5677890c5add563de785ff371f6c188d3db6,,WARRIOR,token,1,0,no,0.04
03/04/2024,07:46:01,linea,0x554dc12a244f7a22916a53a6984bbc40526e85a24407c9166012e7f36148d394,https://lineascan.build/tx/0x554dc12a244f7a22916a53a6984bbc40526e85a24407c9166012e7f36148d394,safeMint,0xbd0ef89f141680b9b2417e4384fdf73cfc696f9f,,,,,,no,0.02
03/04/2024,07:45:22,linea,0x677dd8e74da9b87835cb053eb5b7081ce4efe4967d44cf0dcf819d594e2584c2,https://lineascan.build/tx/0x677dd8e74da9b87835cb053eb5b7081ce4efe4967d44cf0dcf819d594e2584c2,mint,0xb99e5534d42500eb1d5820fba3bb8416ccb76396,,AINFTs,token,1,0,no,0.07
,,,,,,,,ETH,token,-0.0001,-0.331102,,
03/04/2024,07:44:28,linea,0x74b55c9718ac9a61ae9cf66af671fc438bf299049403d7a2d3d584472c2197f8,https://lineascan.build/tx/0x74b55c9718ac9a61ae9cf66af671fc438bf299049403d7a2d3d584472c2197f8,attest,0xea7d7e414c17ce831ba7237b08d832f5e5327303,,,,,,no,0.14
03/04/2024,07:44:10,linea,0x4ccd1a8cad2679dfd62a27613c35874863faacd52a5ab6a820590d3a9ce69cb2,https://lineascan.build/tx/0x4ccd1a8cad2679dfd62a27613c35874863faacd52a5ab6a820590d3a9ce69cb2,mint,0x1ac10484ea57958538fb7db4acf0fc30c54a9a1a,,OKRA1,token,1,0,no,0.07
03/04/2024,07:42:13,linea,0xe90b3eebfd7ff121ad8f601670c219fafcccf5a1d5873dc405819e32bfa5b6db,https://lineascan.build/tx/0xe90b3eebfd7ff121ad8f601670c219fafcccf5a1d5873dc405819e32bfa5b6db,mint,0xcd1ea9e70d0260c0f47d217ed6d5be9cd4ed34fb,,ACG Worlds Genesis Voyage Box NFT,token,1,0,no,0.04
,,,,,,,,ETH,token,-0.0001,-0.331102,,
03/04/2024,07:41:55,linea,0xbe23411a27074a26900882e0176a39d30e82ed8ed8159b105b02a86882709950,https://lineascan.build/tx/0xbe23411a27074a26900882e0176a39d30e82ed8ed8159b105b02a86882709950,mintNormalEgg,0x48a91ff1c06d6c7630f2d11c962db8500983f3e1,,DRAGONOGEGG,token,1,0,no,0.07
03/04/2024,07:41:28,linea,0x443d2fbc17265e2173596a4fe248a5ad8eb05b95a2097dcd8615f268667c4d21,https://lineascan.build/tx/0x443d2fbc17265e2173596a4fe248a5ad8eb05b95a2097dcd8615f268667c4d21,claim,0xea81a18fb97401a9f4b79963090c65a3a30ecdce,,COMIC,token,1,0,no,0.05
,,,,,,,,ETH,token,-0.0001,-0.331102,,
03/04/2024,07:40:43,linea,0x21ddc717174f5d9eb1db9d17c4b742fa9983b417eb880601d3a2c407e7980351,https://lineascan.build/tx/0x21ddc717174f5d9eb1db9d17c4b742fa9983b417eb880601d3a2c407e7980351,purchase,0x915d2358192f5429fa6ee6a6e5d1b37026d580ba,,M3-LINEA,token,1,0,no,0.09
,,,,,,,,ETH,token,-0.000060435327753905,-0.20010257889973454,,
03/04/2024,07:40:13,linea,0x1285b43082733e930210f0234ce0ac73fc91c82f7c9d4b1ac8ef30012abf8b3d,https://lineascan.build/tx/0x1285b43082733e930210f0234ce0ac73fc91c82f7c9d4b1ac8ef30012abf8b3d,checkin,0x971a871fd8811abbb1f5e3fb1d84a873d381cee4,,AP,token,10,0,no,0.04
,,,,,,,,ETH,token,-0.00005,-0.165551,,
03/04/2024,07:37:58,linea,0x666b8daaea4a2dbc18e38fc503cd2d86da35f1880163616ba518780dd97e1493,https://lineascan.build/tx/0x666b8daaea4a2dbc18e38fc503cd2d86da35f1880163616ba518780dd97e1493,mintCube,0x1195cf65f83b3a5768f3c496d3a05ad6412c64b7,Layer3,CUBE,token,1,0,no,0.07
,,,,,,,,ETH,token,-0.000075,-0.24832649999999998,,
03/04/2024,07:36:37,linea,0x4035d85c309ca987ace76322e2910f3c20a14c304fbdce6d56680ba9ddca7dec,https://lineascan.build/tx/0x4035d85c309ca987ace76322e2910f3c20a14c304fbdce6d56680ba9ddca7dec,swapExactETHForTokens,0x4858c605862a91a34d83c19a9704f837f64fa405,Satori,USDC,token,0.032987,0.032987,no,0.04
,,,,,,,,ETH,token,-0.00001,-0.0331102,,
03/04/2024,07:34:43,linea,0x6dbd3b6a6d6bc010c8da8b5bac354db70dcc5c88a9549efb05f4af3a592e5221,https://lineascan.build/tx/0x6dbd3b6a6d6bc010c8da8b5bac354db70dcc5c88a9549efb05f4af3a592e5221,claim,0x9df3c2c75a92069b99c73bd386961631f143727c,,,token,1,0,no,0.04
28/03/2024,07:53:41,base,0xee89e44f22fafccfa86d381561a2c4447b65d99164a0eb4867841dc508cbd22d,https://www.basescan.org/tx/0xee89e44f22fafccfa86d381561a2c4447b65d99164a0eb4867841dc508cbd22d,airdropERC20,0x09350f89e2d7b6e96ba730783c2d76137b045fef,,toby,token,295774647,3.595285081095733,no,
24/03/2024,10:54:49,linea,0xfbfe430f0edeec8a8090800f5f7c12a89d9a136e4dc1fb9d91123ad41dc2221b,https://lineascan.build/tx/0xfbfe430f0edeec8a8090800f5f7c12a89d9a136e4dc1fb9d91123ad41dc2221b,send,0x4520d3b4b52a9b2813ad2687b57e1f38a00ca2b8,,ETH,token,-0.27,-932.4828,no,0.04
24/03/2024,10:50:41,linea,0x6b2d8c85927364d8535cfabbe6dfb9df7c8227500ec8e6ffe07e01fe1a32d12d,https://lineascan.build/tx/0x6b2d8c85927364d8535cfabbe6dfb9df7c8227500ec8e6ffe07e01fe1a32d12d,claim,0x8754216b27b7b9b8da7442c5b5387ed54f371a48,,Harmonic Complexity,token,1,0,no,0.3
24/03/2024,10:46:05,linea,0xb216b562bb59ebba494c724dbe29d60646c604fd88f9109f1ca559684c87c4f3,https://lineascan.build/tx/0xb216b562bb59ebba494c724dbe29d60646c604fd88f9109f1ca559684c87c4f3,validateTransactionProofV1,0xa658742d33ebd2ce2f0bdff73515aa797fd161d9,LayerZero Labs,ETH,token,0.289391261,999.45323464004,no,
24/03/2024,10:45:05,op,0x334103528c3e9531e0e85f41b0484ce61668a1052a796654aa5e0f2541147d7f,https://optimistic.etherscan.io/tx/0x334103528c3e9531e0e85f41b0484ce61668a1052a796654aa5e0f2541147d7f,stargateBridge,0x69460570c93f9de5e2edbc3052bf10125f0ca22d,Rango,ETH,token,-0.2902781439901971,-1002.5162092103042,no,0.01
24/03/2024,10:39:59,op,0x0fbcf11acf3851785d94e2a8273d949c94232ada3882cf6ec45dc0ad9deb6e1f,https://optimistic.etherscan.io/tx/0x0fbcf11acf3851785d94e2a8273d949c94232ada3882cf6ec45dc0ad9deb6e1f,receive,0x80c67432656d59144ceff962e8faf8926599bcf8,,ETH,token,0.2900000000000001,1001.5556000000003,no,
24/03/2024,10:39:41,linea,0x2843476a97bf567b9e1f09a293d370d5a2df0540b6f8f562ce7805c9bb62fe3d,https://lineascan.build/tx/0x2843476a97bf567b9e1f09a293d370d5a2df0540b6f8f562ce7805c9bb62fe3d,send,0x80c67432656d59144ceff962e8faf8926599bcf8,,ETH,token,-0.290700000000009,-1003.9731480000311,no,0.04
24/03/2024,09:48:29,linea,0x8f053422bb7f03d374c2ebbc221eff186217846cf5167e87915e9dc207fe9743,https://lineascan.build/tx/0x8f053422bb7f03d374c2ebbc221eff186217846cf5167e87915e9dc207fe9743,attest0xScoreSimple,0xbdec68492d69a7ff1fb4c2abf5c28ade535dc88a,0xScore,ETH,token,-0.0007,-2.417548,no,0.7
24/03/2024,09:47:41,linea,0xcc122124553ee0d40f1a6fe2c48b6371e32658fa255898b86f3c7faff203b805,https://lineascan.build/tx/0xcc122124553ee0d40f1a6fe2c48b6371e32658fa255898b86f3c7faff203b805,attest,0xb86b3e16b6b960fd822849fd4b4861d73805879b,,ETH,token,-0.0004,-1.381456,no,0.75
24/03/2024,09:46:49,linea,0x06588feca817be6fba1dbbdcc35e9eccb3462b2d93787761e0fe1cf11472c43d,https://lineascan.build/tx/0x06588feca817be6fba1dbbdcc35e9eccb3462b2d93787761e0fe1cf11472c43d,attest,0xb86b3e16b6b960fd822849fd4b4861d73805879b,,ETH,token,-0.0008,-2.762912,no,0.75
