Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
07/05/2024,17:32:08,linea,0x2ca9a158bb67fc76bc4e651062f9c701670f481f4bb18b66a05db6b5aa6f313a,https://lineascan.build/tx/0x2ca9a158bb67fc76bc4e651062f9c701670f481f4bb18b66a05db6b5aa6f313a,swap,0x80e38291e06339d10aab483c65695d004dbd5c69,SyncSwap,ETH,token,0.007404579933614711,22.255945906465737,no,0.04
,,,,,,,,USDC,token,-22.894124,-22.894124,,
07/05/2024,17:31:35,linea,0x0e5f2cc99aa4e92c00821830cb60e1effcf59bc954090ab829a883223d0c90ae,https://lineascan.build/tx/0x0e5f2cc99aa4e92c00821830cb60e1effcf59bc954090ab829a883223d0c90ae,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,ETH,token,0.001908132352289696,5.735273411277139,no,
07/05/2024,17:31:08,linea,0x898c5f2ad07cce2d20d8eab43f1a9fc6f0c2ad52ef60168b43c019ca3040dc75,https://lineascan.build/tx/0x898c5f2ad07cce2d20d8eab43f1a9fc6f0c2ad52ef60168b43c019ca3040dc75,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,USDC,token,19.125546,19.125546,no,
07/05/2024,17:21:17,linea,0xfaeb3757539bcf7f95023905511b466a25ac69b1d36e8061a961cbf1ef619dfe,https://lineascan.build/tx/0xfaeb3757539bcf7f95023905511b466a25ac69b1d36e8061a961cbf1ef619dfe,send,0xd456abe4b04cddad530bc0ceac9329965cc8080c,,ETH,token,-0.01,-30.057,no,0
26/04/2024,20:39:15,linea,0x782aa82111592c4e90eda9f43dab47713d077ed15657f5b8fee012ad61806c96,https://lineascan.build/tx/0x782aa82111592c4e90eda9f43dab47713d077ed15657f5b8fee012ad61806c96,swapWithPermit,0x80e38291e06339d10aab483c65695d004dbd5c69,SyncSwap,ETH,token,0.00263444279420445,8.248097911090886,no,0.04
,,,,,,,,WEF,token,-1756,-8.334448879436206,,
26/04/2024,20:38:24,linea,0x3e90ef29fcf8e1aaa267bdbbcc59c5bfc955bbefd6e54418ecbb0d576320da3a,https://lineascan.build/tx/0x3e90ef29fcf8e1aaa267bdbbcc59c5bfc955bbefd6e54418ecbb0d576320da3a,claim,0x1a89e06b7677a4a321886a8330eec05a061c75ae,,WEF,token,2756,13.080718172964797,no,0.04
,,,,,,,,ETH,token,-0.002756,-8.62867772,,
25/04/2024,01:36:19,base,0xf456c1e99809ee3bbfac54c37edca5907d71d9dd943b9de0647520427faa82b0,https://www.basescan.org/tx/0xf456c1e99809ee3bbfac54c37edca5907d71d9dd943b9de0647520427faa82b0,receive,0x88888c037df4527933fa8ab203a89e1e6e58db70,,SNICK,token,2400000,0.28760627460049726,no,
17/04/2024,16:02:39,base,0x417099c5bca8a2dd4e32c292d0d7986c0ee1448568df59c3cdedcb100b895b0f,https://www.basescan.org/tx/0x417099c5bca8a2dd4e32c292d0d7986c0ee1448568df59c3cdedcb100b895b0f,airdropERC20,0x09350f89e2d7b6e96ba730783c2d76137b045fef,,BENTO,token,8880888,1.1406491819219007,no,
