Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
07/05/2024,16:52:11,linea,0x75b26dd89aa5c99318f3e9bf352f447ca9e2b432e161033794284eca57158081,https://lineascan.build/tx/0x75b26dd89aa5c99318f3e9bf352f447ca9e2b432e161033794284eca57158081,swapWithPermit,0x80e38291e06339d10aab483c65695d004dbd5c69,SyncSwap,ETH,token,0.006865330152587849,20.635122839633297,no,0.31
,,,,,,,,USDC,token,-21.110232,-21.110232,,
07/05/2024,16:51:56,linea,0x43750317b742c8c235ea81fc3c55f0cd3be6c26353bc66779815ec919b00d1f8,https://lineascan.build/tx/0x43750317b742c8c235ea81fc3c55f0cd3be6c26353bc66779815ec919b00d1f8,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,ETH,token,0.000114065346389956,0.34284621164429074,no,
07/05/2024,16:51:32,linea,0x687afedc6bdebf7399079ac7dd71b8eecda007f9592288d3fe10499780824ec9,https://lineascan.build/tx/0x687afedc6bdebf7399079ac7dd71b8eecda007f9592288d3fe10499780824ec9,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,USDC,token,18.809482,18.809482,no,
07/05/2024,16:03:29,linea,0x35b92f8a269f42ae95f854218526e8e8e51c4f4ee936e3d9b1d8f55fbb06e12b,https://lineascan.build/tx/0x35b92f8a269f42ae95f854218526e8e8e51c4f4ee936e3d9b1d8f55fbb06e12b,send,0x96da63fe4b33528b27132f492fb30a869752eab3,,ETH,token,-0.008,-24.0456,no,0.03
21/04/2024,15:10:58,arb,0x08695db324812a0039aec04de9266bc6fdef548efa5ce476b8da731ec6a61758,https://arbiscan.io/tx/0x08695db324812a0039aec04de9266bc6fdef548efa5ce476b8da731ec6a61758,send,0x2ae4258942beae6c51a3bbdfd530b8709e9d94ac,,ETH,token,-0.29,-912.8648999999999,no,0
21/04/2024,14:50:36,arb,0x5f4a8cadb1435ebe58d68f5470f5c50d4f440aac44ceb9dede416f7c1773b5bf,https://arbiscan.io/tx/0x5f4a8cadb1435ebe58d68f5470f5c50d4f440aac44ceb9dede416f7c1773b5bf,receiveRequestV2Signed,0x5523985926aa12ba58dc5ad00ddca99678d7227e,,ETH,token,0.2892801551097829,910.5989650561256,no,
21/04/2024,14:49:39,scrl,0x417665e2e259a11170da877f88235cc6a1f3198d54c3ed7b79809bf1fd28c1df,https://scrollscan.com/tx/0x417665e2e259a11170da877f88235cc6a1f3198d54c3ed7b79809bf1fd28c1df,startBridgeTokensViaSymbiosis,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,ETH,token,-0.29,-895.2270999999998,no,1.55
21/04/2024,13:29:18,scrl,0x54159fc19d1dc0d057e484c261afb59c9c63e7eac19badf812a5fb079c61c07b,https://scrollscan.com/tx/0x54159fc19d1dc0d057e484c261afb59c9c63e7eac19badf812a5fb079c61c07b,relayMessage,0x781e90f1c8fc4611c9b7497c3b47f99ef6969cbc,Scroll Bridge,ETH,token,0.32,987.8367999999999,no,
21/04/2024,13:13:35,eth,0x214317ad847de80f82f6a71a55619a236504b469238a9a6eeb55c15be7299de0,https://etherscan.io/tx/0x214317ad847de80f82f6a71a55619a236504b469238a9a6eeb55c15be7299de0,sendMessage,0x6774bcbd5cecef1336b5300fb5186a12ddd8b367,Scroll Bridge,ETH,token,-0.32016128,-1007.8068787968,no,3.26
21/04/2024,13:12:35,eth,0x3125b1fd010dc1761ffbfcfebfb0b638364a897b04e39ec5149a0c720b43257d,https://etherscan.io/tx/0x3125b1fd010dc1761ffbfcfebfb0b638364a897b04e39ec5149a0c720b43257d,receive,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,ETH,token,0.319638,1006.1596927799999,no,
18/04/2024,07:06:33,arb,0x348a7223d96ed323fc232f556859d2e2ed0513ab20adecbc5282d19fa82bfc9e,https://arbiscan.io/tx/0x348a7223d96ed323fc232f556859d2e2ed0513ab20adecbc5282d19fa82bfc9e,send,0x0146dca5ed7fac1dd53a2791089e109645732e1c,,USDC,token,-5.406055,-5.406055,no,0.01
18/04/2024,07:05:08,arb,0x0cc095bc847817d9a907ab383828eb5e74eb1c732225b3aa6d648370d3e936e4,https://arbiscan.io/tx/0x0cc095bc847817d9a907ab383828eb5e74eb1c732225b3aa6d648370d3e936e4,send,0x0146dca5ed7fac1dd53a2791089e109645732e1c,,USDC,token,-5.406055,-5.406055,no,0.01
09/04/2024,20:21:17,zora,0x4d2fbb29326a07b81a080449b7e9f2c280e987a6ca29be570ecd08b6c213b6af,https://explorer.zora.energy/tx/0x4d2fbb29326a07b81a080449b7e9f2c280e987a6ca29be570ecd08b6c213b6af,mintWithRewards,0xba521fe6fa390216345a74376c305f0376753b82,,,token,1,0,no,0.01
,,,,,,,,ETH,token,-0.000777,-2.39798517,,
08/04/2024,20:08:47,zora,0x72b26d5292f7b00129ba30577f0c4f3fc7f9afe0c8d19b0caf1a0ad81a8b790e,https://explorer.zora.energy/tx/0x72b26d5292f7b00129ba30577f0c4f3fc7f9afe0c8d19b0caf1a0ad81a8b790e,transfers,0x2598d7bc9d3b4b6124f3282e49eee68db270f516,,ETH,token,0.010000000000000068,30.86210000000021,no,
08/04/2024,20:08:17,linea,0xa47d5403570e2f4e69501edd6fbfa8e69bd6faeb968b95c680abbc9aa1f43749,https://lineascan.build/tx/0xa47d5403570e2f4e69501edd6fbfa8e69bd6faeb968b95c680abbc9aa1f43749,send,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,,ETH,token,-0.01070000000000903,-39.53232700003336,no,0.04
05/04/2024,18:24:39,arb,0xca5c87c50b4d6f79f396e0f85651e37ccc95ad366d0d7b80ec5b2c1ecc95bf44,https://arbiscan.io/tx/0xca5c87c50b4d6f79f396e0f85651e37ccc95ad366d0d7b80ec5b2c1ecc95bf44,execute,0x5e325eda8064b456f4781070c0738d849c824258,Uniswap V3,USDC,token,13.263503,13.263503,no,0.01
,,,,,,,,ETH,token,-0.004,-13.2714,,
03/04/2024,22:20:45,arb,0x3e425301cb22237e2c74607a87c1f8a229ec96025887259fe6c2d4991ab517b8,https://arbiscan.io/tx/0x3e425301cb22237e2c74607a87c1f8a229ec96025887259fe6c2d4991ab517b8,send,0x495188bb2287f1aced72fb724186aab38cae37ee,,NUON,token,-10.784175452474972,-10.984414208910383,no,0.03
03/04/2024,22:17:02,arb,0xdde7b9f3ee47f6acb5a80c0eedf5903c01fff6d992f53bc2307e578849877ac7,https://arbiscan.io/tx/0xdde7b9f3ee47f6acb5a80c0eedf5903c01fff6d992f53bc2307e578849877ac7,send,0x464d105ea50ed79bf0e84507e5ff40f6bb4167f0,,ETH,token,-0.002980052690611703,-9.867014059669161,no,0.02
