Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
07/05/2024,12:57:17,linea,0x0bff7a294e07109f931f0c2e1b4e174ad28aebe2cf8cce060eb5efeab6fd0625,https://lineascan.build/tx/0x0bff7a294e07109f931f0c2e1b4e174ad28aebe2cf8cce060eb5efeab6fd0625,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,ETH,token,0.007321649922109142,22.00668317088345,no,
07/05/2024,12:09:38,linea,0x52494b2da44fbe90b86786a529c72105840f8507d941d4ec1e1a0d812c8ebbfb,https://lineascan.build/tx/0x52494b2da44fbe90b86786a529c72105840f8507d941d4ec1e1a0d812c8ebbfb,send,0xc45134264007694f5bba58b00451f9e42d0e7e3e,,ETH,token,-0.009,-27.051299999999998,no,0
01/05/2024,15:43:11,bsc,0xc7e13aba8ebd8aa21e0de7ee551e95ff614d7b4256e38c40dcf59ee59cb818a2,https://bscscan.com/tx/0xc7e13aba8ebd8aa21e0de7ee551e95ff614d7b4256e38c40dcf59ee59cb818a2,executeJob,0xe1dd53589c001982d06247e1259dcc366b8ddb1b,,HIGH,token,1,0,no,
01/05/2024,15:21:50,matic,0xa62253bb7605c36d72a2d50208a89dbfafaabe64a132769f39a54e727f1a3dc3,https://polygonscan.com/tx/0xa62253bb7605c36d72a2d50208a89dbfafaabe64a132769f39a54e727f1a3dc3,bridgeOutRequest,0x8d5b1b160d33ce8b6cafe2674a81916d33c6ff0b,Holograph,HIGH,token,-1,0,no,0.03
,,,,,,,,MATIC,token,-3.555643625338443,-2.460078711499162,,
01/05/2024,15:20:50,matic,0x3fcdc81c8dff516b911281acbf3efe8bebb8074a0b6f40a5ac25da87447f8e7f,https://polygonscan.com/tx/0x3fcdc81c8dff516b911281acbf3efe8bebb8074a0b6f40a5ac25da87447f8e7f,purchase,0x57a37117fb8cb9220eb2f0ee4b026b39f5efef21,Holograph,HIGH,token,1,0,no,0.03
,,,,,,,,MATIC,token,-1.5567565858105425,-1.0770887465905983,,
26/04/2024,20:23:42,linea,0xe3824bfa025a9ad63649be49a0ccaf54ad7a02cb0d5b790c4017acb35163344f,https://lineascan.build/tx/0xe3824bfa025a9ad63649be49a0ccaf54ad7a02cb0d5b790c4017acb35163344f,swapWithPermit,0x80e38291e06339d10aab483c65695d004dbd5c69,SyncSwap,ETH,token,0.002849783359746045,8.922301227528099,no,0.04
,,,,,,,,WEF,token,-1900,-9.017911657704323,,
26/04/2024,20:22:12,linea,0x501b3bd54e7889d1bc94d60e8deb48140e17126c3e92e200fe058abd72731bfe,https://lineascan.build/tx/0x501b3bd54e7889d1bc94d60e8deb48140e17126c3e92e200fe058abd72731bfe,claim,0x1a89e06b7677a4a321886a8330eec05a061c75ae,,WEF,token,2957,14.034718300964045,no,0.04
