Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
07/05/2024,15:00:20,linea,0xf6c06b112a0da169876f1696c4fc4628991e4f5eba369c2370236327c98ee25e,https://lineascan.build/tx/0xf6c06b112a0da169876f1696c4fc4628991e4f5eba369c2370236327c98ee25e,swapWithPermit,0x80e38291e06339d10aab483c65695d004dbd5c69,SyncSwap,ETH,token,0.006858104407933637,20.61340441892613,no,0.05
,,,,,,,,USDC,token,-21.189613,-21.189613,,
07/05/2024,14:59:20,linea,0x1205adee1fd61aeac2d90d1b1f274e43f78b6e66941314c692165ce224602837,https://lineascan.build/tx/0x1205adee1fd61aeac2d90d1b1f274e43f78b6e66941314c692165ce224602837,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,ETH,token,0.0009,2.7051299999999996,no,
07/05/2024,14:59:05,linea,0xba4d1ae97c3493d27d7f3b41169d885ac1e5d80c3620372d4eb1c0a4537e640c,https://lineascan.build/tx/0xba4d1ae97c3493d27d7f3b41169d885ac1e5d80c3620372d4eb1c0a4537e640c,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,USDC,token,20.874094,20.874094,no,
07/05/2024,14:09:44,linea,0x7545b2b5618d5bc7a915cdcdcb5dc84e0f21b29735912fd46ea56def93ddddfb,https://lineascan.build/tx/0x7545b2b5618d5bc7a915cdcdcb5dc84e0f21b29735912fd46ea56def93ddddfb,send,0x8bec0573604e57337490b1ea7486c77437aadf41,,ETH,token,-0.01,-30.057,no,0
09/04/2024,20:24:57,zora,0xe51fdb703b82ba1bf1d10e9d552f4f29e337590f3aa5df9afc5b7a6b3b01f261,https://explorer.zora.energy/tx/0xe51fdb703b82ba1bf1d10e9d552f4f29e337590f3aa5df9afc5b7a6b3b01f261,mintWithRewards,0xba521fe6fa390216345a74376c305f0376753b82,,,token,1,0,no,0.01
,,,,,,,,ETH,token,-0.000777,-2.39843583,,
08/04/2024,22:40:45,zora,0x3ffc753dfe21a493c1b08773d9b0497e89bcff43a5519698de99110127043055,https://explorer.zora.energy/tx/0x3ffc753dfe21a493c1b08773d9b0497e89bcff43a5519698de99110127043055,mintWithRewards,0xba521fe6fa390216345a74376c305f0376753b82,,,token,1,0,no,0.01
,,,,,,,,ETH,token,-0.000777,-2.39843583,,
08/04/2024,20:11:57,zora,0x0ddbdec91f8f547d6ed5a2fa719f3cf7176e3f2d21e7346c8f4f5504545a01ff,https://explorer.zora.energy/tx/0x0ddbdec91f8f547d6ed5a2fa719f3cf7176e3f2d21e7346c8f4f5504545a01ff,transfers,0x2598d7bc9d3b4b6124f3282e49eee68db270f516,,ETH,token,0.007000000000000064,21.6075300000002,no,
