Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
07/05/2024,15:01:53,linea,0xd0fba3a672a2feab662db9bf42d819a3200862bbca66937c5d55a8c074904a92,https://lineascan.build/tx/0xd0fba3a672a2feab662db9bf42d819a3200862bbca66937c5d55a8c074904a92,swapWithPermit,0x80e38291e06339d10aab483c65695d004dbd5c69,SyncSwap,ETH,token,0.007359269517271503,22.119756388062957,no,0.33
,,,,,,,,USDC,token,-22.743579,-22.743579,,
07/05/2024,15:01:32,linea,0xfcc321a4ebf6f3fc8c281343439298921a84c61674512460876f491a4c534f1c,https://lineascan.build/tx/0xfcc321a4ebf6f3fc8c281343439298921a84c61674512460876f491a4c534f1c,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,ETH,token,0.0009,2.7051299999999996,no,
07/05/2024,15:01:11,linea,0xebed7235837bed71e46c4d9d898ba83444282fd338b6746451fc08a0b7362297,https://lineascan.build/tx/0xebed7235837bed71e46c4d9d898ba83444282fd338b6746451fc08a0b7362297,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,USDC,token,22.721138,22.721138,no,
07/05/2024,14:09:56,linea,0x5e0727177c98b5e719688245178664ec76ad8ada04beedd16f73acf6ef39ba40,https://lineascan.build/tx/0x5e0727177c98b5e719688245178664ec76ad8ada04beedd16f73acf6ef39ba40,send,0x82a6852458b46d4d2d66f6817be1d04a0719f88f,,ETH,token,-0.01,-30.057,no,0.03
09/04/2024,20:25:27,zora,0x3bab88d2fbe0ff79d8b1a9ab23af86b6e249f5993e0e40d177a2b020cfee8e50,https://explorer.zora.energy/tx/0x3bab88d2fbe0ff79d8b1a9ab23af86b6e249f5993e0e40d177a2b020cfee8e50,mintWithRewards,0xba521fe6fa390216345a74376c305f0376753b82,,,token,1,0,no,0.01
,,,,,,,,ETH,token,-0.000777,-2.39843583,,
08/04/2024,20:12:17,zora,0xa71c78147b9eabfac4fefa77f8643dff1d5cb26553d1bd695c92639d1d68cbef,https://explorer.zora.energy/tx/0xa71c78147b9eabfac4fefa77f8643dff1d5cb26553d1bd695c92639d1d68cbef,transfers,0x2598d7bc9d3b4b6124f3282e49eee68db270f516,,ETH,token,0.007000000000000063,21.607530000000192,no,
08/04/2024,20:12:02,linea,0xf18a1018fd2b66afabc47b0f40c81f7ebb4dda501499c0a1f1caae54f2a011a3,https://lineascan.build/tx/0xf18a1018fd2b66afabc47b0f40c81f7ebb4dda501499c0a1f1caae54f2a011a3,send,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,,ETH,token,-0.00770000000000903,-28.448497000033363,no,0.03
03/04/2024,11:21:52,linea,0xe978b589ad361d0ade9e57e584f5cc306ea97d0b7098809af9eef45ce086bb73,https://lineascan.build/tx/0xe978b589ad361d0ade9e57e584f5cc306ea97d0b7098809af9eef45ce086bb73,userMint,0xedeac716ab7536cb19ad19a7945400191a281c2b,,BTWO,token,1,0,no,0.27
03/04/2024,11:21:21,linea,0xbf8b5a0a457f9aeebe21b1c9e27c4804621123d5877a22ea4769a7adac866b51,https://lineascan.build/tx/0xbf8b5a0a457f9aeebe21b1c9e27c4804621123d5877a22ea4769a7adac866b51,userMint,0xedeac716ab7536cb19ad19a7945400191a281c2b,,BONE,token,1,0,no,0.27
03/04/2024,11:11:24,linea,0xc4b1ab6fe4189a2ff23c144f423c6fa863a2add57c8bf80f915ad9b87b34cabe,https://lineascan.build/tx/0xc4b1ab6fe4189a2ff23c144f423c6fa863a2add57c8bf80f915ad9b87b34cabe,setApprovalForAll,0xe3b5500039f401e48627e8025b37d4871cf34f36,,,,,,no,0.06
03/04/2024,11:10:23,linea,0x9c7f08cb998fbc70c90f4347a6f85d1eda5d67caebeb12cfe4107b47b513bad6,https://lineascan.build/tx/0x9c7f08cb998fbc70c90f4347a6f85d1eda5d67caebeb12cfe4107b47b513bad6,claimLineaTravelbag,0xd41ac492fedc671eb965707d1dedad4eb7b6efc5,,,token,1,0,no,0.24
03/04/2024,11:09:59,linea,0x6efc2ee40a579de124ac4950e6525007a4cb57fe0881fbad0b6af81dcbc5da65,https://lineascan.build/tx/0x6efc2ee40a579de124ac4950e6525007a4cb57fe0881fbad0b6af81dcbc5da65,burn,0x34be5b8c30ee4fde069dc878989686abe9884470,,SIDUS,token,-1,0,no,0.04
03/04/2024,11:09:09,linea,0x7d782d566235cb700e23a26ae9264ade390757808ab8351fb3ca28aa3a2cba8e,https://lineascan.build/tx/0x7d782d566235cb700e23a26ae9264ade390757808ab8351fb3ca28aa3a2cba8e,swapToken,0x6c5f2ce8ab5d6341ba9563c82ca7fa6fa0c35161,,TROB.L,token,1,0,no,0.17
,,,,,,,,USDC,token,-0.01,-0.01,,
03/04/2024,11:08:03,linea,0x58d8da5a35276f671efdfdbd2cc0df05f1046d204fc8c344d29191c7eabe94fa,https://lineascan.build/tx/0x58d8da5a35276f671efdfdbd2cc0df05f1046d204fc8c344d29191c7eabe94fa,mint,0xc0b4ab5cb0fdd6f5dfddb2f7c10c4c6013f97bf2,,GOAT,token,1,0,no,0.14
