Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
16/05/2024,23:13:15,base,0x82b0bd4cc55a4066c1b6f4927a9cbfd734aec0065419c7e88d9587743bf1d7e4,https://www.basescan.org/tx/0x82b0bd4cc55a4066c1b6f4927a9cbfd734aec0065419c7e88d9587743bf1d7e4,airdropERC20,0x09350f89e2d7b6e96ba730783c2d76137b045fef,,BOOMER,token,0.42,0.014516384296800654,no,
09/05/2024,07:33:45,base,0x4688c7b8ff3eb7d2126dd33cde1f5065eee9b728fe1318a5e904e3f99f620ac7,https://www.basescan.org/tx/0x4688c7b8ff3eb7d2126dd33cde1f5065eee9b728fe1318a5e904e3f99f620ac7,airdropERC20,0x09350f89e2d7b6e96ba730783c2d76137b045fef,,Boe,token,0.69,0.0013420230293246247,no,
07/05/2024,18:12:48,linea,0xcbcbb6c93f5cb5ae843befd26a952636c79eb56d4af233e8642558de58d58f02,https://lineascan.build/tx/0xcbcbb6c93f5cb5ae843befd26a952636c79eb56d4af233e8642558de58d58f02,swap,0x80e38291e06339d10aab483c65695d004dbd5c69,SyncSwap,ETH,token,0.006303779098052022,18.947268835014963,no,0.07
,,,,,,,,USDC,token,-19.467759,-19.467759,,
07/05/2024,18:12:33,linea,0x8dfdefe1026702d025f5e6373fdab676dffb5a2575dfa7907c91b3f3db0dd717,https://lineascan.build/tx/0x8dfdefe1026702d025f5e6373fdab676dffb5a2575dfa7907c91b3f3db0dd717,approve,0x80e38291e06339d10aab483c65695d004dbd5c69,SyncSwap,,,,,no,0.01
07/05/2024,18:11:24,linea,0x831ddcc8a9b8560e00791960f88b23f6aadf2dafe3c505f97d98ce56e2a8c08d,https://lineascan.build/tx/0x831ddcc8a9b8560e00791960f88b23f6aadf2dafe3c505f97d98ce56e2a8c08d,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,USDC,token,17.460319,17.460319,no,
,,,,,,,,ETH,token,0.0008975772572367,2.697847962076349,,
07/05/2024,17:26:44,linea,0xdf5a2dafa02b7328a2bde1391d534d6794ade235dc9269c866c208a4212c1a81,https://lineascan.build/tx/0xdf5a2dafa02b7328a2bde1391d534d6794ade235dc9269c866c208a4212c1a81,send,0x1ffefdea6095010fb3e8128c4815f2a061c161f5,,ETH,token,-0.01,-30.057,no,0
01/05/2024,01:50:49,base,0x4ed85c602f652ea2f14a44bc34f90049e53eed3c6fda9f937af3f7fa0c2eec5c,https://www.basescan.org/tx/0x4ed85c602f652ea2f14a44bc34f90049e53eed3c6fda9f937af3f7fa0c2eec5c,airdropERC20,0x09350f89e2d7b6e96ba730783c2d76137b045fef,,BOOMER,token,0.168,0.004598404782670652,no,
26/04/2024,20:37:33,linea,0x3663eccdb5253dcb97c3a4c79e1e709def185ecad0ffab9f52fa898c74e0d25b,https://lineascan.build/tx/0x3663eccdb5253dcb97c3a4c79e1e709def185ecad0ffab9f52fa898c74e0d25b,swapWithPermit,0x80e38291e06339d10aab483c65695d004dbd5c69,SyncSwap,ETH,token,0.002732259941918659,8.554350684354871,no,0.04
