Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
07/05/2024,15:38:32,linea,0x95331b827bc03d43cd29d7ee7e5d666f6fe5259c2168dc28a9a300425853d0d2,https://lineascan.build/tx/0x95331b827bc03d43cd29d7ee7e5d666f6fe5259c2168dc28a9a300425853d0d2,swapWithPermit,0x80e38291e06339d10aab483c65695d004dbd5c69,SyncSwap,ETH,token,0.007987912933257325,24.009269903491543,no,0.25
,,,,,,,,USDC,token,-24.662104,-24.662104,,
07/05/2024,15:38:20,linea,0x6ada714ab1daf5d29eb6ea43cdabb2edd9bc839367f0f1ff0e695ba952d490c9,https://lineascan.build/tx/0x6ada714ab1daf5d29eb6ea43cdabb2edd9bc839367f0f1ff0e695ba952d490c9,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,ETH,token,0.000914065346389956,2.7474062116442908,no,
07/05/2024,15:38:05,linea,0x805f98e63e3eea7281f9f6e8cd2d19a334f779f10127e72137fcde5644df273f,https://lineascan.build/tx/0x805f98e63e3eea7281f9f6e8cd2d19a334f779f10127e72137fcde5644df273f,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,USDC,token,22.340196,22.340196,no,
07/05/2024,15:21:38,linea,0x4b9c44dfee7273dd85756592a7d2f9e04a1fce029052df3448245252f2e7e544,https://lineascan.build/tx/0x4b9c44dfee7273dd85756592a7d2f9e04a1fce029052df3448245252f2e7e544,send,0xd588c675de6c2d543e421994985018d3957f863b,,ETH,token,-0.01,-30.057,no,0.03
21/04/2024,16:33:47,arb,0x3d8814e8a8d78ce8c2634642960b0ce8dd7e1fe036d647466c31f523668155b0,https://arbiscan.io/tx/0x3d8814e8a8d78ce8c2634642960b0ce8dd7e1fe036d647466c31f523668155b0,send,0xf42ea265f07cdedc514911fc8b3e0c6b17353ba3,,ETH,token,-0.22,-692.5182,no,0
21/04/2024,16:20:01,arb,0xc5de2ca86625c2ca5077b1e94ed09197ae1c5c2d5383aad121a232bb047930a9,https://arbiscan.io/tx/0xc5de2ca86625c2ca5077b1e94ed09197ae1c5c2d5383aad121a232bb047930a9,relay,0x1619de6b6b20ed217a58d00f37b9d47c7663feca,cBridge,ETH,token,0.2198741800981923,692.1221428548906,no,
21/04/2024,16:18:22,scrl,0xf2e6e534aea97ba7628562af2ecdb0c6fe944e71f9a8df5745f16db5321f4adc,https://scrollscan.com/tx/0xf2e6e534aea97ba7628562af2ecdb0c6fe944e71f9a8df5745f16db5321f4adc,startBridgeTokensViaCBridge,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,ETH,token,-0.22,-687.0226,no,0.68
21/04/2024,15:37:22,scrl,0x893340bc3a3230e29a4217b922a54b1aab57d9fec074a3468bb2950c77812a97,https://scrollscan.com/tx/0x893340bc3a3230e29a4217b922a54b1aab57d9fec074a3468bb2950c77812a97,relayMessage,0x781e90f1c8fc4611c9b7497c3b47f99ef6969cbc,Scroll Bridge,ETH,token,0.248,774.4618399999999,no,
21/04/2024,15:23:11,eth,0xb185beaf5cd124603df31811fe63e14d8e2130dac8876bb8eba1907f48c9ce86,https://etherscan.io/tx/0xb185beaf5cd124603df31811fe63e14d8e2130dac8876bb8eba1907f48c9ce86,sendMessage,0x6774bcbd5cecef1336b5300fb5186a12ddd8b367,Scroll Bridge,ETH,token,-0.24816127999999998,-781.1645587968,no,3.33
