Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
07/05/2024,16:31:38,linea,0x7afaafad1f4342b6cc45bc49d60a6335d6b8b1f6c93d206b5087e513da8c830a,https://lineascan.build/tx/0x7afaafad1f4342b6cc45bc49d60a6335d6b8b1f6c93d206b5087e513da8c830a,swapWithPermit,0x80e38291e06339d10aab483c65695d004dbd5c69,SyncSwap,ETH,token,0.006676951866500581,20.068914225140794,no,0.31
,,,,,,,,USDC,token,-20.520339,-20.520339,,
07/05/2024,16:30:56,linea,0x22baa63a3fd62b3bccd8a85d9fe6a8c775a009669057abc32fb7bb587ebd4e98,https://lineascan.build/tx/0x22baa63a3fd62b3bccd8a85d9fe6a8c775a009669057abc32fb7bb587ebd4e98,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,ETH,token,0.000414065346389956,1.2445562116442908,no,
07/05/2024,16:29:59,linea,0x3c0a681d364e77358dac7e9008c0b6bd634e09d3611d138adc2765fe75796916,https://lineascan.build/tx/0x3c0a681d364e77358dac7e9008c0b6bd634e09d3611d138adc2765fe75796916,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,USDC,token,20.102655,20.102655,no,
07/05/2024,15:55:29,linea,0xdc25ead6085c73c26de8b372eb516b329823e9eb7ae705e1858657fdda9efe8b,https://lineascan.build/tx/0xdc25ead6085c73c26de8b372eb516b329823e9eb7ae705e1858657fdda9efe8b,send,0x35b93aeb48a27936188aee1612f93c706420bbd8,,ETH,token,-0.0085,-25.54845,no,0.03
21/04/2024,15:13:45,op,0x5d04215827d2baaf4b66e1fbb5ce919624905872813439c5e6fd797c4594519d,https://optimistic.etherscan.io/tx/0x5d04215827d2baaf4b66e1fbb5ce919624905872813439c5e6fd797c4594519d,send,0xf48f3b98cb41f88139420aa5284204abcf7ea00e,,ETH,token,-0.26,-818.4306,no,0
21/04/2024,15:13:07,op,0x489170a7e0119e76a405df4f27814a78ae50dd31cad7eb172316c83375fbed25,https://optimistic.etherscan.io/tx/0x489170a7e0119e76a405df4f27814a78ae50dd31cad7eb172316c83375fbed25,receive,0x80c67432656d59144ceff962e8faf8926599bcf8,,ETH,token,0.25987,818.0213847,no,
21/04/2024,15:12:53,scrl,0x44295803c90384ba8758cdb4127fa6bfd957c89b3e1326aaa5be69f2bacd7a25,https://scrollscan.com/tx/0x44295803c90384ba8758cdb4127fa6bfd957c89b3e1326aaa5be69f2bacd7a25,send,0x80c67432656d59144ceff962e8faf8926599bcf8,,ETH,token,-0.26130000000000897,-806.6304870000276,no,0.19
21/04/2024,13:29:24,scrl,0x907dc0f42a4c85fb5a51131e56467b499699c62bbc47d6a7dc35a4695ccba987,https://scrollscan.com/tx/0x907dc0f42a4c85fb5a51131e56467b499699c62bbc47d6a7dc35a4695ccba987,relayMessage,0x781e90f1c8fc4611c9b7497c3b47f99ef6969cbc,Scroll Bridge,ETH,token,0.295,910.6620499999999,no,
21/04/2024,13:14:35,eth,0x825f8151fe317568ac314658d708ca80797e46bcd5c684be4dfd5a4896ebe8cd,https://etherscan.io/tx/0x825f8151fe317568ac314658d708ca80797e46bcd5c684be4dfd5a4896ebe8cd,sendMessage,0x6774bcbd5cecef1336b5300fb5186a12ddd8b367,Scroll Bridge,ETH,token,-0.29516127999999997,-929.1116287967999,no,3.35
21/04/2024,13:13:35,eth,0xfd98c9d7152261fd111a78a575e8c1971950bd112074081ea17be609b410ca25,https://etherscan.io/tx/0xfd98c9d7152261fd111a78a575e8c1971950bd112074081ea17be609b410ca25,receive,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,ETH,token,0.298638,940.05568278,no,
17/04/2024,15:03:57,base,0x8781e84a0f553322926f3ecd2b9c9f612b779efa8d7a923648b66afc21b25400,https://www.basescan.org/tx/0x8781e84a0f553322926f3ecd2b9c9f612b779efa8d7a923648b66afc21b25400,airdropERC20,0x09350f89e2d7b6e96ba730783c2d76137b045fef,,BENTO,token,8880888,1.1406491819219007,no,
09/04/2024,20:21:45,zora,0xf4bd09da204f29eb33019a7b81799ae83440e1ae41e405dc3cbce20c7ed71a89,https://explorer.zora.energy/tx/0xf4bd09da204f29eb33019a7b81799ae83440e1ae41e405dc3cbce20c7ed71a89,mintWithRewards,0xba521fe6fa390216345a74376c305f0376753b82,,,token,1,0,no,0.01
,,,,,,,,ETH,token,-0.000777,-2.39859123,,
08/04/2024,20:09:17,zora,0x75c8ace117b77151b7d2e84e0df9894647639e992882752bcd04b3084334729a,https://explorer.zora.energy/tx/0x75c8ace117b77151b7d2e84e0df9894647639e992882752bcd04b3084334729a,transfers,0x2598d7bc9d3b4b6124f3282e49eee68db270f516,,ETH,token,0.008000000000000064,24.695920000000196,no,
08/04/2024,20:08:47,linea,0x3db8167f51baa1cfdcb9f8fdca31e1be877315d2da1726e2d9e728ff40b28eb5,https://lineascan.build/tx/0x3db8167f51baa1cfdcb9f8fdca31e1be877315d2da1726e2d9e728ff40b28eb5,send,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,,ETH,token,-0.00870000000000903,-32.14310700003337,no,0.04
