Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
07/05/2024,15:08:05,linea,0xa0e18bae68f56126249706de2ca849d67b151e52f07e378d86287f8b9195943e,https://lineascan.build/tx/0xa0e18bae68f56126249706de2ca849d67b151e52f07e378d86287f8b9195943e,swapWithPermit,0x80e38291e06339d10aab483c65695d004dbd5c69,SyncSwap,ETH,token,0.005958899459512909,17.91066410545795,no,0.41
,,,,,,,,USDC,token,-18.404556,-18.404556,,
07/05/2024,15:07:53,linea,0x36c7ebedf6012aad65a91b88e860c791351ee1365b1c75ead1e7634841ad3eb8,https://lineascan.build/tx/0x36c7ebedf6012aad65a91b88e860c791351ee1365b1c75ead1e7634841ad3eb8,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,ETH,token,0.0009,2.7051299999999996,no,
07/05/2024,15:07:38,linea,0xb4412eeb350fa0d86ac1284474bb4a43d3cde5499e3465a2ba0970b6e128f101,https://lineascan.build/tx/0xb4412eeb350fa0d86ac1284474bb4a43d3cde5499e3465a2ba0970b6e128f101,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,USDC,token,16.115579,16.115579,no,
07/05/2024,14:40:26,linea,0xf324367e48fb93fa811ac6709738eb6cd20e484caf00cb008c03779e516d26ff,https://lineascan.build/tx/0xf324367e48fb93fa811ac6709738eb6cd20e484caf00cb008c03779e516d26ff,send,0x5a106b6926d2030c7b46b17ad056656cb298cb54,,ETH,token,-0.01,-30.057,no,0.03
07/05/2024,14:11:35,eth,0xb2132ee1d8a22e705d19ddd619f3d9db52c97febb0d8e0d14201915b86592e67,https://etherscan.io/tx/0xb2132ee1d8a22e705d19ddd619f3d9db52c97febb0d8e0d14201915b86592e67,send,0x5a106b6926d2030c7b46b17ad056656cb298cb54,,ETH,token,-0.009,-27.051299999999998,no,0.46
25/04/2024,11:03:45,arb,0xd3a12d77c5350eb0808e97bff262dedab100b4388883a98bb89764e42ad58660,https://arbiscan.io/tx/0xd3a12d77c5350eb0808e97bff262dedab100b4388883a98bb89764e42ad58660,create_lock,0xfbd849e6007f9bc3cc2d6eb159c045b8dc660268,Stargate,STG,token,-46.50898556150029,-25.138106695990906,no,0.01
25/04/2024,11:03:29,arb,0x2f3832e499884815c6b04e9ef8775998c280888d976cabcfed9b59623ce135bb,https://arbiscan.io/tx/0x2f3832e499884815c6b04e9ef8775998c280888d976cabcfed9b59623ce135bb,approve,0xfbd849e6007f9bc3cc2d6eb159c045b8dc660268,Stargate,,,,,no,0
25/04/2024,10:27:42,kava,0xa200a13eac1bff316c0e4dbd3422d35f014434c53024d8f425212c7e49c3cbb8,https://kavascan.com/tx/0xa200a13eac1bff316c0e4dbd3422d35f014434c53024d8f425212c7e49c3cbb8,validateTransactionProofV2,0xcb566e3b6934fa77258d68ea18e931fa75e1aaaa,,STG,token,30,14.010000000000002,no,
,,,,,,,,KAVA,token,0.0020223895926481,0.0013600570010558473,,
