Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
07/05/2024,12:44:53,linea,0x1598e88a77484a8819f16b4a824c6df6b952c02921c17a56ebf7b23b08e755eb,https://lineascan.build/tx/0x1598e88a77484a8819f16b4a824c6df6b952c02921c17a56ebf7b23b08e755eb,swapWithPermit,0x80e38291e06339d10aab483c65695d004dbd5c69,SyncSwap,ETH,token,0.009980803940505876,29.99930240397851,no,0.04
,,,,,,,,USDC,token,-30.971054,-30.971054,,
07/05/2024,12:44:05,linea,0xca41f70a6cbb61f9aa766d7b0f2c8a8614716c7cd5f98eaedb66a3eeb82417e1,https://lineascan.build/tx/0xca41f70a6cbb61f9aa766d7b0f2c8a8614716c7cd5f98eaedb66a3eeb82417e1,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,ETH,token,0.00091406690639032,2.7474109005373846,no,
07/05/2024,12:43:56,linea,0xf1f16d74a926e73eb91a07e51044a2a661592c49a26a125e2cb157e1a77882fd,https://lineascan.build/tx/0xf1f16d74a926e73eb91a07e51044a2a661592c49a26a125e2cb157e1a77882fd,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,USDC,token,23.741389,23.741389,no,
07/05/2024,12:15:23,linea,0x4fb4b983f65c6621c88995b077428ce1acb256fe197014ace0e9255f7b2de865,https://lineascan.build/tx/0x4fb4b983f65c6621c88995b077428ce1acb256fe197014ace0e9255f7b2de865,send,0x678cfa731fd8463a1c8531a2aec8c7e21c3de26a,,ETH,token,-0.01,-30.057,no,0
02/05/2024,12:12:30,matic,0xbb4610a9929b78e4a0407f1ba38a6e7c78142796528e3e5129ed64b96b2398ff,https://polygonscan.com/tx/0xbb4610a9929b78e4a0407f1ba38a6e7c78142796528e3e5129ed64b96b2398ff,executeJob,0xe1dd53589c001982d06247e1259dcc366b8ddb1b,,HIGH,token,1,0,no,
01/05/2024,15:24:28,bsc,0x56e8044ffe7327d6cab11d2f964b1357bd64e965945a939558e9caa0e394b002,https://bscscan.com/tx/0x56e8044ffe7327d6cab11d2f964b1357bd64e965945a939558e9caa0e394b002,bridgeOutRequest,0x8d5b1b160d33ce8b6cafe2674a81916d33c6ff0b,Holograph,BNB,token,-0.0008961616652853711,-0.5034636235573214,no,0.28
,,,,,,,,HIGH,token,-1,0,,
01/05/2024,15:23:13,bsc,0xc27c7a02d219acd84a3598b847694a7c09119787ce1118c2c7c0f43b00e7b2c3,https://bscscan.com/tx/0xc27c7a02d219acd84a3598b847694a7c09119787ce1118c2c7c0f43b00e7b2c3,purchase,0x57a37117fb8cb9220eb2f0ee4b026b39f5efef21,Holograph,HIGH,token,1,0,no,0.24
26/04/2024,20:25:39,linea,0x78a24ee3b0f81c0eb3095df01c7fcbc69e105cb45bcf3c1e0f14806d7c0cf244,https://lineascan.build/tx/0x78a24ee3b0f81c0eb3095df01c7fcbc69e105cb45bcf3c1e0f14806d7c0cf244,swapWithPermit,0x80e38291e06339d10aab483c65695d004dbd5c69,SyncSwap,ETH,token,0.002734297100015125,8.560728761524354,no,0.04
