Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
07/05/2024,16:56:02,linea,0x6d28c8a0ac0d37fae0ef1f86e068f182eb61c59e63e2402ce30e68a17510d95d,https://lineascan.build/tx/0x6d28c8a0ac0d37fae0ef1f86e068f182eb61c59e63e2402ce30e68a17510d95d,swapWithPermit,0x80e38291e06339d10aab483c65695d004dbd5c69,SyncSwap,ETH,token,0.007375226703058479,22.16771890138287,no,0.05
,,,,,,,,USDC,token,-22.765694,-22.765694,,
07/05/2024,16:54:20,linea,0x454a9b7527058536a738a5a09d552cca03f8d74eef506c85859775cf5d468d0b,https://lineascan.build/tx/0x454a9b7527058536a738a5a09d552cca03f8d74eef506c85859775cf5d468d0b,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,ETH,token,0.000914672906425397,2.7492323548428157,no,
07/05/2024,16:54:14,linea,0xb0f679627895d19ffd4bc80cc339ed66e504efe0d056eac47856b90678c526a4,https://lineascan.build/tx/0xb0f679627895d19ffd4bc80cc339ed66e504efe0d056eac47856b90678c526a4,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,USDC,token,22.013882,22.013882,no,
07/05/2024,16:35:20,linea,0xe6b5c17836911b3e9bd0f63ad66e6ab26a24332b90c76be124f453867eee51b8,https://lineascan.build/tx/0xe6b5c17836911b3e9bd0f63ad66e6ab26a24332b90c76be124f453867eee51b8,send,0x897620622577ffc3f948abeeb376cc069945e822,,ETH,token,-0.01,-30.057,no,0
26/04/2024,20:06:24,linea,0xc4b7cb41f173a95e2cfccc8e0f1c0ead59b4cf7e015e32b14910c51f15ecc788,https://lineascan.build/tx/0xc4b7cb41f173a95e2cfccc8e0f1c0ead59b4cf7e015e32b14910c51f15ecc788,claim,0x1a89e06b7677a4a321886a8330eec05a061c75ae,,WEF,token,2957,14.034718300964045,no,
21/04/2024,13:05:25,arb,0x1c93510df4284a435f0f2198789947e22fe3178baa70eab9d79313690315bc80,https://arbiscan.io/tx/0x1c93510df4284a435f0f2198789947e22fe3178baa70eab9d79313690315bc80,send,0x9b378c2e3d6dd90df45ba05be5de5e3ef60d6e01,,ETH,token,-0.329,-1035.62949,no,0
21/04/2024,12:59:03,arb,0x0f9f3b57d55b455af13a0e5a38b90cfcb7980ae1d10cad211c7caa3863b40835,https://arbiscan.io/tx/0x0f9f3b57d55b455af13a0e5a38b90cfcb7980ae1d10cad211c7caa3863b40835,receive,0x80c67432656d59144ceff962e8faf8926599bcf8,,ETH,token,0.32983,1038.2421723,no,
21/04/2024,12:58:52,scrl,0x91286e11f95381f9c3ad2dd06597e4e0d94a4e58bbf144ec9ec7bc855cd109e2,https://scrollscan.com/tx/0x91286e11f95381f9c3ad2dd06597e4e0d94a4e58bbf144ec9ec7bc855cd109e2,send,0x80c67432656d59144ceff962e8faf8926599bcf8,,ETH,token,-0.33130000000000903,-1022.4613730000278,no,0.18
21/04/2024,11:59:37,scrl,0x1bff1bd1e6ab24b95a3a9af1d29bd51324fd9891e504caf1b6537eb52db106ff,https://scrollscan.com/tx/0x1bff1bd1e6ab24b95a3a9af1d29bd51324fd9891e504caf1b6537eb52db106ff,relayMessage,0x781e90f1c8fc4611c9b7497c3b47f99ef6969cbc,Scroll Bridge,ETH,token,0.367,1132.63907,no,
21/04/2024,11:43:59,eth,0x97a9dc77c69b510073d1d65c28f27482ea4a9454aa3f007f13133c8af60dfab5,https://etherscan.io/tx/0x97a9dc77c69b510073d1d65c28f27482ea4a9454aa3f007f13133c8af60dfab5,sendMessage,0x6774bcbd5cecef1336b5300fb5186a12ddd8b367,Scroll Bridge,ETH,token,-0.36716128,-1155.7539487968,no,3.39
21/04/2024,11:37:23,eth,0x04edb1b3ce6d6dbc76fc7fc0163112cabfdd0d39c3f6078aa3324520cd8fe7d1,https://etherscan.io/tx/0x04edb1b3ce6d6dbc76fc7fc0163112cabfdd0d39c3f6078aa3324520cd8fe7d1,receive,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,ETH,token,0.377615,1188.66027315,no,
17/04/2024,15:08:01,base,0x737212c85d8679a2abb438a6b08762dc2b53fdaee305e17c6f6b7547f1d327f5,https://www.basescan.org/tx/0x737212c85d8679a2abb438a6b08762dc2b53fdaee305e17c6f6b7547f1d327f5,airdropERC20,0x09350f89e2d7b6e96ba730783c2d76137b045fef,,BENTO,token,8880888,1.1406491819219007,no,
16/04/2024,06:52:37,base,0x1c995437798df0f42b75bd6ec536412e282eeb28e484cd16d75ea39741049cc8,https://www.basescan.org/tx/0x1c995437798df0f42b75bd6ec536412e282eeb28e484cd16d75ea39741049cc8,airdropERC20,0x09350f89e2d7b6e96ba730783c2d76137b045fef,,BENTO,token,8880888,0.7784320166451675,no,
15/04/2024,05:51:47,base,0x68ad91e8a7c6396a61676125e816408e0c4bbc937aa10cda5f518acb2ac8afc0,https://www.basescan.org/tx/0x68ad91e8a7c6396a61676125e816408e0c4bbc937aa10cda5f518acb2ac8afc0,airdropERC20,0x09350f89e2d7b6e96ba730783c2d76137b045fef,,BENTO,token,8880888,0.490805023397026,no,
09/04/2024,20:20:51,zora,0xc52e9e157139dccb4e9cf478bea149da9ef8572a530b85eb167b8d420364aad3,https://explorer.zora.energy/tx/0xc52e9e157139dccb4e9cf478bea149da9ef8572a530b85eb167b8d420364aad3,mintWithRewards,0xba521fe6fa390216345a74376c305f0376753b82,,,token,1,0,no,0.01
,,,,,,,,ETH,token,-0.000777,-2.39798517,,
09/04/2024,20:14:59,zora,0x352b2769b0fc42073d7657e1c4bd82c037f498ef68d2488bc04342932408bc62,https://explorer.zora.energy/tx/0x352b2769b0fc42073d7657e1c4bd82c037f498ef68d2488bc04342932408bc62,mintWithRewards,0xba521fe6fa390216345a74376c305f0376753b82,,,token,1,0,no,0.01
,,,,,,,,ETH,token,-0.000777,-2.39798517,,
08/04/2024,20:08:07,zora,0xbe176918a29e35bc73164b8d4ba9da26eb43b2b8c6ffa21fcb63f8f657b8f078,https://explorer.zora.energy/tx/0xbe176918a29e35bc73164b8d4ba9da26eb43b2b8c6ffa21fcb63f8f657b8f078,transfers,0x2598d7bc9d3b4b6124f3282e49eee68db270f516,,ETH,token,0.010000000000000066,30.862100000000204,no,
08/04/2024,20:07:50,linea,0xe21109c8071f4107b120f4a1e0bc5d3f92b9edd218e43901b46f8d6c8087cb3a,https://lineascan.build/tx/0xe21109c8071f4107b120f4a1e0bc5d3f92b9edd218e43901b46f8d6c8087cb3a,send,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,,ETH,token,-0.01070000000000903,-39.53232700003336,no,0.03
04/04/2024,12:40:35,linea,0x231e0363bd16ac05d32984fc573a28d37ae71818051297e8dfc6f93f0f5632b1,https://lineascan.build/tx/0x231e0363bd16ac05d32984fc573a28d37ae71818051297e8dfc6f93f0f5632b1,mint,0xc0b4ab5cb0fdd6f5dfddb2f7c10c4c6013f97bf2,,GOAT,token,1,0,no,0.14
03/04/2024,20:59:14,linea,0x28412eff878346fb3196daa674690eda4883bba6f90dac2177d6a4023636e27d,https://lineascan.build/tx/0x28412eff878346fb3196daa674690eda4883bba6f90dac2177d6a4023636e27d,burn,0x34be5b8c30ee4fde069dc878989686abe9884470,,SIDUS,token,-1,0,no,0.04
03/04/2024,20:58:57,linea,0xe8eb153b5c4232245e253b30f69031a98d90bc1b11d168357a04958159b1f26b,https://lineascan.build/tx/0xe8eb153b5c4232245e253b30f69031a98d90bc1b11d168357a04958159b1f26b,claimLineaTravelbag,0xd41ac492fedc671eb965707d1dedad4eb7b6efc5,,,token,1,0,no,0.24
03/04/2024,20:57:14,linea,0x5f8de48f9be8c59ea5d3dca572b6d1f639e537aa6e9148941f9c908f4a6e714a,https://lineascan.build/tx/0x5f8de48f9be8c59ea5d3dca572b6d1f639e537aa6e9148941f9c908f4a6e714a,attest,0xea7d7e414c17ce831ba7237b08d832f5e5327303,,,,,,no,0.58
03/04/2024,20:56:42,linea,0x66e9706fa6bf80329fb577381b32ca3f78f27399c190434a2a8a9264d299f989,https://lineascan.build/tx/0x66e9706fa6bf80329fb577381b32ca3f78f27399c190434a2a8a9264d299f989,userMint,0xedeac716ab7536cb19ad19a7945400191a281c2b,,BTWO,token,1,0,no,0.27
03/04/2024,20:56:30,linea,0xf2e97f891f212647ac1538280f4f2c40818756969f11e1b82a00e7b1b85fac80,https://lineascan.build/tx/0xf2e97f891f212647ac1538280f4f2c40818756969f11e1b82a00e7b1b85fac80,mint,0x1ac10484ea57958538fb7db4acf0fc30c54a9a1a,,OKRA1,token,1,0,no,0.29
03/04/2024,17:33:15,era,0x1bdee70cbe4df2023a8359abfa1db8da177f47651a20e065b5bb74253d39fab0,https://era.zksync.network/tx/0x1bdee70cbe4df2023a8359abfa1db8da177f47651a20e065b5bb74253d39fab0,swapExactETHForTokens,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,USDC,token,33.301695,33.301695,no,0.2
,,,,,,,,ETH,token,-0.01,-33.1102,,
02/04/2024,18:32:57,linea,0x0215f60d82052eeb95f85ec3b85475afa13c188f2af08d3dec03fea27b77035f,https://lineascan.build/tx/0x0215f60d82052eeb95f85ec3b85475afa13c188f2af08d3dec03fea27b77035f,userMint,0xedeac716ab7536cb19ad19a7945400191a281c2b,,BONE,token,1,0,no,0.27
02/04/2024,18:26:45,linea,0x4b7ab2aee0f185ddf7fbd9b428fe5f52ec90f11d1d151e70ee02020f0492acea,https://lineascan.build/tx/0x4b7ab2aee0f185ddf7fbd9b428fe5f52ec90f11d1d151e70ee02020f0492acea,mint,0xb99e5534d42500eb1d5820fba3bb8416ccb76396,,AINFTs,token,1,0,no,0.27
,,,,,,,,ETH,token,-0.0001,-0.327822,,
02/04/2024,18:16:08,linea,0x21ebf14c6150ee0086f28f9a469a29e9972de84471b1f66a07a5cdc43cebdf3f,https://lineascan.build/tx/0x21ebf14c6150ee0086f28f9a469a29e9972de84471b1f66a07a5cdc43cebdf3f,safeMint,0xbd0ef89f141680b9b2417e4384fdf73cfc696f9f,,,,,,no,0.1
02/04/2024,18:15:32,linea,0xb729f4e7b986a5ea226a980349b910e7c8f47e9cf61c20ef7e92ec9be4c2f616,https://lineascan.build/tx/0xb729f4e7b986a5ea226a980349b910e7c8f47e9cf61c20ef7e92ec9be4c2f616,fillBatchSignedERC721Order,0x0cab6977a9c70e04458b740476b498b214019641,Element,PARK,token,1,0,no,0.14
,,,,,,,,ETH,token,-0.00001,-0.0327822,,
29/03/2024,18:00:54,linea,0xe9f0972988384bee2c92e8f17a1c8ffbb15461980764853bd950cc9f360db5fc,https://lineascan.build/tx/0xe9f0972988384bee2c92e8f17a1c8ffbb15461980764853bd950cc9f360db5fc,swapToken,0x6c5f2ce8ab5d6341ba9563c82ca7fa6fa0c35161,,TROB.L,token,100,0,no,0.05
,,,,,,,,USDC,token,-1,-1,,
29/03/2024,18:00:42,linea,0x089e99808b2960908fcbbbdb41bda5885a477785ccf656ca52823d0a0d12a6da,https://lineascan.build/tx/0x089e99808b2960908fcbbbdb41bda5885a477785ccf656ca52823d0a0d12a6da,approve,0x6c5f2ce8ab5d6341ba9563c82ca7fa6fa0c35161,,,,,,no,0.02
