Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
07/05/2024,16:34:32,linea,0x18c0bbca898096db084fd614b4af12771443817a2d5e20608b49e83b0a0784b7,https://lineascan.build/tx/0x18c0bbca898096db084fd614b4af12771443817a2d5e20608b49e83b0a0784b7,swapWithPermit,0x80e38291e06339d10aab483c65695d004dbd5c69,SyncSwap,ETH,token,0.007184972270053617,21.595871152100155,no,0.05
,,,,,,,,USDC,token,-22.050279,-22.050279,,
07/05/2024,16:33:47,linea,0xe6b809b124f543e88522c8dc1263efe36f1a26e630130ff39aacb65cbf421d88,https://lineascan.build/tx/0xe6b809b124f543e88522c8dc1263efe36f1a26e630130ff39aacb65cbf421d88,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,ETH,token,0.000414065346389956,1.2445562116442908,no,
07/05/2024,16:33:26,linea,0x2faf0c587101dd4538d8277245752e249815ed66300c3c1b6f111b67ab622d0b,https://lineascan.build/tx/0x2faf0c587101dd4538d8277245752e249815ed66300c3c1b6f111b67ab622d0b,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,USDC,token,22.030659,22.030659,no,
07/05/2024,15:28:14,linea,0x4edadc04a758a49a0bff37d1130320dd244c727cecdf24a745f5739989f4519e,https://lineascan.build/tx/0x4edadc04a758a49a0bff37d1130320dd244c727cecdf24a745f5739989f4519e,send,0xcac9734ca27265c165820ba8805522f665a45113,,ETH,token,-0.009,-27.051299999999998,no,0
29/04/2024,17:03:18,arb,0xa1a182c895cf28a01efccd4819546e1fe4193283ec2a94d90b84c6a2649d31fe,https://arbiscan.io/tx/0xa1a182c895cf28a01efccd4819546e1fe4193283ec2a94d90b84c6a2649d31fe,send,0x91ff214cb8bec89a968c63f3e783b574529bf97c,,ETH,token,-0.002,-6.43276,no,0
21/04/2024,16:32:19,op,0x1318297db653eb824a32f0b72facd44670e01d63109e97a54d30a969606f8715,https://optimistic.etherscan.io/tx/0x1318297db653eb824a32f0b72facd44670e01d63109e97a54d30a969606f8715,send,0x4f2f4ab3e68221cae13b328609375178cc1629ad,,ETH,token,-0.27,-849.9087000000001,no,0
21/04/2024,16:20:49,op,0xa59ecb49dd7713100afd10bb7b965b6d09743e9bc9462ee2f8f16462814a9309,https://optimistic.etherscan.io/tx/0xa59ecb49dd7713100afd10bb7b965b6d09743e9bc9462ee2f8f16462814a9309,relay,0x9d39fc627a6d9d9f8c831c16995b209548cc3401,cBridge,ETH,token,0.26985830117111725,849.4626590094546,no,
21/04/2024,16:19:31,scrl,0x9f912a4d6b7a1625d25648a9147ac4abd683653ddb69f517235f2bfeae9b8a1a,https://scrollscan.com/tx/0x9f912a4d6b7a1625d25648a9147ac4abd683653ddb69f517235f2bfeae9b8a1a,startBridgeTokensViaCBridge,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,ETH,token,-0.27,-833.2767000000001,no,0.67
21/04/2024,15:37:19,scrl,0xe275eedf0e921784785787a2cf38db0312a48bc58a21753d6ae7e9211b7078de,https://scrollscan.com/tx/0xe275eedf0e921784785787a2cf38db0312a48bc58a21753d6ae7e9211b7078de,relayMessage,0x781e90f1c8fc4611c9b7497c3b47f99ef6969cbc,Scroll Bridge,ETH,token,0.29,895.0009,no,
21/04/2024,15:22:47,eth,0x6947f5a1fe90efa07a9b38b014f619f45ec48980f13c4c477ae450fccf72fc8c,https://etherscan.io/tx/0x6947f5a1fe90efa07a9b38b014f619f45ec48980f13c4c477ae450fccf72fc8c,sendMessage,0x6774bcbd5cecef1336b5300fb5186a12ddd8b367,Scroll Bridge,ETH,token,-0.29016127999999997,-913.3725787967999,no,3.85
21/04/2024,15:21:11,eth,0x8b99ead76af6b64a7670a50b6e2cc67ed51c895918afef717f1f06b93f0246d1,https://etherscan.io/tx/0x8b99ead76af6b64a7670a50b6e2cc67ed51c895918afef717f1f06b93f0246d1,receive,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,ETH,token,0.289638,911.72539278,no,
09/04/2024,20:22:17,zora,0x75a45a8b36ebd6fd58284c4d9a206b85dcdbf7d4007647fae900c899ba371666,https://explorer.zora.energy/tx/0x75a45a8b36ebd6fd58284c4d9a206b85dcdbf7d4007647fae900c899ba371666,mintWithRewards,0xba521fe6fa390216345a74376c305f0376753b82,,,token,1,0,no,0.01
,,,,,,,,ETH,token,-0.000777,-2.39798517,,
08/04/2024,20:09:27,zora,0x53bfe4bcdc8545bb0b7f340427503508789f79cc33efe91062221e10410e9aa8,https://explorer.zora.energy/tx/0x53bfe4bcdc8545bb0b7f340427503508789f79cc33efe91062221e10410e9aa8,transfers,0x2598d7bc9d3b4b6124f3282e49eee68db270f516,,ETH,token,0.008000000000000064,24.689680000000198,no,
08/04/2024,20:09:11,linea,0xb3b705f79c712b4864edee17f290d2ec21fd4fdad2814021bf0e61d8b681f79f,https://lineascan.build/tx/0xb3b705f79c712b4864edee17f290d2ec21fd4fdad2814021bf0e61d8b681f79f,send,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,,ETH,token,-0.00870000000000903,-32.14310700003337,no,0.01
03/04/2024,13:19:15,linea,0x07fb13a15e44ea386cece5df61ad0409de003dae0e677821649a007af54468ff,https://lineascan.build/tx/0x07fb13a15e44ea386cece5df61ad0409de003dae0e677821649a007af54468ff,swapToken,0x6c5f2ce8ab5d6341ba9563c82ca7fa6fa0c35161,,TROB.L,token,31,0,no,0.13
,,,,,,,,USDC,token,-0.31,-0.31,,
03/04/2024,13:18:35,linea,0x541eebf0f762f16becbc8f6c2efc30c21c7b65d149508e561959bb9b594119e1,https://lineascan.build/tx/0x541eebf0f762f16becbc8f6c2efc30c21c7b65d149508e561959bb9b594119e1,approve,0x6c5f2ce8ab5d6341ba9563c82ca7fa6fa0c35161,,,,,,no,0.05
03/04/2024,13:17:37,linea,0x883fd9dae06d10258fd89a0053482a8cde898455e4ce5c4c52cff429bd8af22b,https://lineascan.build/tx/0x883fd9dae06d10258fd89a0053482a8cde898455e4ce5c4c52cff429bd8af22b,mint,0xc0b4ab5cb0fdd6f5dfddb2f7c10c4c6013f97bf2,,GOAT,token,1,0,no,0.85
03/04/2024,13:16:54,linea,0x49f7face57e35d87f79983bb37cc515cebdf29083904b0320e1fd58a24ba3f66,https://lineascan.build/tx/0x49f7face57e35d87f79983bb37cc515cebdf29083904b0320e1fd58a24ba3f66,swap,0x80e38291e06339d10aab483c65695d004dbd5c69,SyncSwap,USDC,token,0.32962,0.32962,no,0.15
,,,,,,,,ETH,token,-0.0001,-0.331102,,
03/04/2024,13:14:52,linea,0xf9652fa1bcb354ba5df8c0bc9ede2614f8d97dbe7e1694af83b667de0582301d,https://lineascan.build/tx/0xf9652fa1bcb354ba5df8c0bc9ede2614f8d97dbe7e1694af83b667de0582301d,stake,0xb18b7847072117ae863f71f9473d555d601eb537,,,,,,no,0.1
03/04/2024,13:11:43,linea,0x79705e59aa336240fcf3aba790355d6671d97df0d852abeebe53226cc22452f4,https://lineascan.build/tx/0x79705e59aa336240fcf3aba790355d6671d97df0d852abeebe53226cc22452f4,userMint,0xedeac716ab7536cb19ad19a7945400191a281c2b,,BTWO,token,1,0,no,0.17
03/04/2024,13:07:22,linea,0x958c86bca0961c356ba23d621a8dc3b738eb042f6c2fc81f33ae183af0bea925,https://lineascan.build/tx/0x958c86bca0961c356ba23d621a8dc3b738eb042f6c2fc81f33ae183af0bea925,burn,0x34be5b8c30ee4fde069dc878989686abe9884470,,SIDUS,token,-1,0,no,0.03
03/04/2024,13:06:54,linea,0xf74e907a3c5ee6ee9dcfa76f65ae3b0e34785fe4135a7f25f0be9f51006c6864,https://lineascan.build/tx/0xf74e907a3c5ee6ee9dcfa76f65ae3b0e34785fe4135a7f25f0be9f51006c6864,userMint,0xedeac716ab7536cb19ad19a7945400191a281c2b,,BONE,token,1,0,no,0.18
03/04/2024,13:06:33,linea,0x3dabc55bb8197ae66670ea154b0489e9147e0c97c8f0977671096d2bb782c186,https://lineascan.build/tx/0x3dabc55bb8197ae66670ea154b0489e9147e0c97c8f0977671096d2bb782c186,claimLineaTravelbag,0xd41ac492fedc671eb965707d1dedad4eb7b6efc5,,,token,1,0,no,0.16
02/04/2024,18:57:29,linea,0xedb5d9f99bf0a33ec0d7966bbfd581f4c025a8b6bbc8dc3cdc79697ec09373c5,https://lineascan.build/tx/0xedb5d9f99bf0a33ec0d7966bbfd581f4c025a8b6bbc8dc3cdc79697ec09373c5,attest,0xea7d7e414c17ce831ba7237b08d832f5e5327303,,,,,,no,0.5
02/04/2024,18:55:16,linea,0x718542a9903f91c5f9e8a98943c93770f0acc2054c419b7ff5a0546e0b69d7ba,https://lineascan.build/tx/0x718542a9903f91c5f9e8a98943c93770f0acc2054c419b7ff5a0546e0b69d7ba,attest,0xea7d7e414c17ce831ba7237b08d832f5e5327303,,,,,,no,0.54
02/04/2024,18:53:31,linea,0xfd8c9e2b38c29fab9d0e0785ad71c685b5b5bf743c53063e1d3ed7513b6ccf7f,https://lineascan.build/tx/0xfd8c9e2b38c29fab9d0e0785ad71c685b5b5bf743c53063e1d3ed7513b6ccf7f,claim,0xa091303966ef5f94cf68f85d892c729fd6c3f30b,,BiLP,token,1,0,no,0.25
02/04/2024,18:53:19,linea,0x51ece986690e005d3f083945047c081bb52fa87c68687c8c26fdcb011f1f6ce7,https://lineascan.build/tx/0x51ece986690e005d3f083945047c081bb52fa87c68687c8c26fdcb011f1f6ce7,mint,0x1ac10484ea57958538fb7db4acf0fc30c54a9a1a,,OKRA1,token,1,0,no,0.26
02/04/2024,18:51:45,linea,0xc54b753afb2487b674ce0a1ca6473e68e0ff17bd1abe770fd8a2b353fa7246b1,https://lineascan.build/tx/0xc54b753afb2487b674ce0a1ca6473e68e0ff17bd1abe770fd8a2b353fa7246b1,mint,0xb99e5534d42500eb1d5820fba3bb8416ccb76396,,AINFTs,token,1,0,no,0.25
,,,,,,,,ETH,token,-0.0001,-0.327822,,
02/04/2024,18:51:07,linea,0x36e9b5d242deaa2f9ba364cc9817a0c9683546739d2db76d205332c04bd0e262,https://lineascan.build/tx/0x36e9b5d242deaa2f9ba364cc9817a0c9683546739d2db76d205332c04bd0e262,safeMint,0xbd0ef89f141680b9b2417e4384fdf73cfc696f9f,,,,,,no,0.09
02/04/2024,18:49:47,linea,0xf84e96163327510df3c92f2c7d25fe91329cf73e7110cbc73bfde1517ee12e81,https://lineascan.build/tx/0xf84e96163327510df3c92f2c7d25fe91329cf73e7110cbc73bfde1517ee12e81,fillBatchSignedERC721Order,0x0cab6977a9c70e04458b740476b498b214019641,Element,PARK,token,1,0,no,0.13
,,,,,,,,ETH,token,-0.00001,-0.0327822,,
29/03/2024,18:25:33,linea,0xa6ebe7b42e65ec5c725905bf290256e2aa1897144014eb487af12b3bd0827121,https://lineascan.build/tx/0xa6ebe7b42e65ec5c725905bf290256e2aa1897144014eb487af12b3bd0827121,mint,0xcd1ea9e70d0260c0f47d217ed6d5be9cd4ed34fb,,ACG Worlds Genesis Voyage Box NFT,token,1,0,no,0.04
,,,,,,,,ETH,token,-0.0001,-0.35097300000000003,,
29/03/2024,18:25:03,linea,0xc743e08d2c8d7088aae4660b1b523b72b304dce869b6783946ff68d5abc9e273,https://lineascan.build/tx/0xc743e08d2c8d7088aae4660b1b523b72b304dce869b6783946ff68d5abc9e273,mintNormalEgg,0x48a91ff1c06d6c7630f2d11c962db8500983f3e1,,DRAGONOGEGG,token,1,0,no,0.08
29/03/2024,18:23:54,linea,0x27b9cea2f3611c74725901be8ccda987c3109ba3a1c1684be5d85d49fe3202e4,https://lineascan.build/tx/0x27b9cea2f3611c74725901be8ccda987c3109ba3a1c1684be5d85d49fe3202e4,claim,0x184e5677890c5add563de785ff371f6c188d3db6,,WARRIOR,token,1,0,no,0.05
29/03/2024,18:23:42,linea,0x087569a49341b5b548b9b6d288c326e5a226b404267060822da4a3d0327b9e24,https://lineascan.build/tx/0x087569a49341b5b548b9b6d288c326e5a226b404267060822da4a3d0327b9e24,claim,0xea81a18fb97401a9f4b79963090c65a3a30ecdce,,COMIC,token,1,0,no,0.06
,,,,,,,,ETH,token,-0.0001,-0.35097300000000003,,
29/03/2024,18:20:51,linea,0x2628ca39b31ad3bf4b66b26791487b6cdfa19c757db17d7280cc8dd2741a86cf,https://lineascan.build/tx/0x2628ca39b31ad3bf4b66b26791487b6cdfa19c757db17d7280cc8dd2741a86cf,setApprovalForAll,0x5ecde77c11e52872adeb3ef3565ffa0b2bcc1c68,,,,,,no,0.02
29/03/2024,18:20:15,linea,0x521d42135a9cfbea894069c49928e75d021ea634e7a9407f3810346d2180e6a1,https://lineascan.build/tx/0x521d42135a9cfbea894069c49928e75d021ea634e7a9407f3810346d2180e6a1,purchase,0x5ecde77c11e52872adeb3ef3565ffa0b2bcc1c68,,ALCP,token,1,0,no,0.08
,,,,,,,,ETH,token,-0.0001,-0.35097300000000003,,
29/03/2024,18:19:30,linea,0x242c3cb0f7552a4828efa0bdddc0fbc15805fd55817af0cb3806f7a1cfe6d772,https://lineascan.build/tx/0x242c3cb0f7552a4828efa0bdddc0fbc15805fd55817af0cb3806f7a1cfe6d772,purchase,0x915d2358192f5429fa6ee6a6e5d1b37026d580ba,,M3-LINEA,token,1,0,no,0.11
,,,,,,,,ETH,token,-0.000057490401402582,-0.2017757865146841,,
29/03/2024,18:18:45,linea,0x79dffb062dd61bb4d0bb75de7b0af6422095811ccce93cb633be7bf36a4ebc3f,https://lineascan.build/tx/0x79dffb062dd61bb4d0bb75de7b0af6422095811ccce93cb633be7bf36a4ebc3f,checkin,0x971a871fd8811abbb1f5e3fb1d84a873d381cee4,,AP,token,10,0,no,0.05
,,,,,,,,ETH,token,-0.00005,-0.17548650000000002,,
29/03/2024,18:18:09,linea,0x12a22d9af97eb9a4656d4bc724be67a7e9f8629260a73516d1e1f5d6a7d9591c,https://lineascan.build/tx/0x12a22d9af97eb9a4656d4bc724be67a7e9f8629260a73516d1e1f5d6a7d9591c,mintCube,0x1195cf65f83b3a5768f3c496d3a05ad6412c64b7,Layer3,CUBE,token,1,0,no,0.08
,,,,,,,,ETH,token,-0.000075,-0.26322975,,
29/03/2024,18:17:48,linea,0x6cfde8778f64560e545f4abe1ab7f02d915a6a789e474e930733c60f7cddb638,https://lineascan.build/tx/0x6cfde8778f64560e545f4abe1ab7f02d915a6a789e474e930733c60f7cddb638,swapExactETHForTokens,0x4858c605862a91a34d83c19a9704f837f64fa405,Satori,USDT,token,0.339776,0.33994758688000004,no,0.04
,,,,,,,,ETH,token,-0.0001,-0.35097300000000003,,
29/03/2024,18:15:09,linea,0x3511b1dcf116d28514b5322caf98f5a2831b26ac3469e2811177926daeb11bfd,https://lineascan.build/tx/0x3511b1dcf116d28514b5322caf98f5a2831b26ac3469e2811177926daeb11bfd,send,0x2933749e45796d50eba9a352d29eed6fe58af8bb,,USDT,token,-0.0001,-0.0001000505,no,0.02
29/03/2024,18:14:42,linea,0xfc844cc647d8b6da816de1fedad932ca553b20c22fc5dc3dd0cd509c777c954a,https://lineascan.build/tx/0xfc844cc647d8b6da816de1fedad932ca553b20c22fc5dc3dd0cd509c777c954a,approve,0x2933749e45796d50eba9a352d29eed6fe58af8bb,,,,,,no,0.02
29/03/2024,18:12:06,linea,0x440d8c00f92b4348e87186fcfaac0d7add817c20011170e000cf4f44809eaa63,https://lineascan.build/tx/0x440d8c00f92b4348e87186fcfaac0d7add817c20011170e000cf4f44809eaa63,Contract Interaction,0x70bf27bbb562a9b21fe6eaf2b7832c476691a39f,,EGSBNFT,token,1,0,no,0.04
28/03/2024,05:59:51,base,0x53563a4a77960db67deb12070164add3a0cbec0dbd62f3a7fd7870b3aefb0539,https://www.basescan.org/tx/0x53563a4a77960db67deb12070164add3a0cbec0dbd62f3a7fd7870b3aefb0539,airdropERC20,0x09350f89e2d7b6e96ba730783c2d76137b045fef,,toby,token,295774647,3.595285081095733,no,
24/03/2024,10:26:33,linea,0x496d46043bcd669e7e4ff826cba0e5374c5cc1d40e5410d970abb94720d823ef,https://lineascan.build/tx/0x496d46043bcd669e7e4ff826cba0e5374c5cc1d40e5410d970abb94720d823ef,attestRubyscore,0xb9cc0bb020cf55197c4c3d826ac87cadba51f272,,ETH,token,-0.0005,-1.72682,no,0.65
24/03/2024,10:00:37,linea,0xd74452e3d44bd39d0b5f6e0be1e1d5b88ee6e753cce63153e558e3ced1bfa353,https://lineascan.build/tx/0xd74452e3d44bd39d0b5f6e0be1e1d5b88ee6e753cce63153e558e3ced1bfa353,attest,0xb86b3e16b6b960fd822849fd4b4861d73805879b,,ETH,token,-0.0004,-1.381456,no,0.78
24/03/2024,10:00:13,linea,0x243e2f70c86088d427ecf937b9d1afbd4fb8740ecad78d705ac366a635807f8d,https://lineascan.build/tx/0x243e2f70c86088d427ecf937b9d1afbd4fb8740ecad78d705ac366a635807f8d,attest,0xb86b3e16b6b960fd822849fd4b4861d73805879b,,ETH,token,-0.0008,-2.762912,no,0.78
23/03/2024,17:28:53,linea,0x7fe71c42b9ad17f519a8ac4597efc633f3af1eed9a3ac13977f09d1465ecb964,https://lineascan.build/tx/0x7fe71c42b9ad17f519a8ac4597efc633f3af1eed9a3ac13977f09d1465ecb964,send,0x4f2f4ab3e68221cae13b328609375178cc1629ad,,ETH,token,-0.39,-1299.0939,no,0.05
23/03/2024,17:25:01,linea,0xf496f334916d636a65d836d227d210a071d458ac521db4ff073cb5086b6beb7a,https://lineascan.build/tx/0xf496f334916d636a65d836d227d210a071d458ac521db4ff073cb5086b6beb7a,claim,0x8754216b27b7b9b8da7442c5b5387ed54f371a48,,Harmonic Complexity,token,1,0,no,0.37
