Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
07/05/2024,18:16:12,linea,0x635215018bf6e150ef17c65aa43fe3dbb7219c604165421099c2bc6fa392a536,https://lineascan.build/tx/0x635215018bf6e150ef17c65aa43fe3dbb7219c604165421099c2bc6fa392a536,handleOps,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,,ETH,token,0.006593966810469961,19.81948604222956,no,
07/05/2024,16:49:26,linea,0xae4c3528425482f6a5cce0f0f4b648bde2596a33be47a6f3bd9ccd744ebe939d,https://lineascan.build/tx/0xae4c3528425482f6a5cce0f0f4b648bde2596a33be47a6f3bd9ccd744ebe939d,send,0x501878e9c81b54dda768f4c769242f995e46587a,,ETH,token,-0.009,-27.051299999999998,no,0.03
21/04/2024,13:02:57,op,0x05c2b7c95434b7f404b9acef6738d4236291ec72eab1f09254d56f9ff5204270,https://optimistic.etherscan.io/tx/0x05c2b7c95434b7f404b9acef6738d4236291ec72eab1f09254d56f9ff5204270,send,0x14c0a8c918588b959cc391c032ba72e52fca7eea,,ETH,token,-0.29,-912.8648999999999,no,0
21/04/2024,12:58:33,op,0xa2f8e2bd4247fd0facbc8d291fc52da2e5eb5c85927a410c3c608ae20d78cd33,https://optimistic.etherscan.io/tx/0xa2f8e2bd4247fd0facbc8d291fc52da2e5eb5c85927a410c3c608ae20d78cd33,relay,0x9d39fc627a6d9d9f8c831c16995b209548cc3401,cBridge,ETH,token,0.2898483496827982,912.387533615009,no,
21/04/2024,12:56:55,scrl,0x01d193e6efe9f88f3d09f5a6b71ee8971e35c394616674038b23e93e7f90a1b2,https://scrollscan.com/tx/0x01d193e6efe9f88f3d09f5a6b71ee8971e35c394616674038b23e93e7f90a1b2,startBridgeTokensViaCBridge,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,ETH,token,-0.29,-894.9776999999999,no,0.54
21/04/2024,11:53:19,scrl,0x9d24b7745cba240dc5a8e77ce97dadde0aeb4db3361c4f6f7090d151ef4e3170,https://scrollscan.com/tx/0x9d24b7745cba240dc5a8e77ce97dadde0aeb4db3361c4f6f7090d151ef4e3170,relayMessage,0x781e90f1c8fc4611c9b7497c3b47f99ef6969cbc,Scroll Bridge,ETH,token,0.32,987.5616000000001,no,
21/04/2024,11:37:35,eth,0x718660d8fb72bf3425a33018663346e34832dde45c236abb778f5da9a07b63c5,https://etherscan.io/tx/0x718660d8fb72bf3425a33018663346e34832dde45c236abb778f5da9a07b63c5,sendMessage,0x6774bcbd5cecef1336b5300fb5186a12ddd8b367,Scroll Bridge,ETH,token,-0.32016128,-1007.8068787968,no,3.6
21/04/2024,11:36:35,eth,0x73b8506f660072c523e7038f439c157bb9069ad791998c92cbf694dad5792397,https://etherscan.io/tx/0x73b8506f660072c523e7038f439c157bb9069ad791998c92cbf694dad5792397,receive,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,ETH,token,0.329638,1037.63779278,no,
16/04/2024,06:47:17,base,0xd246e886c98865a2663610467dac5817b1bbab54488011c9a8a137e92988ae77,https://www.basescan.org/tx/0xd246e886c98865a2663610467dac5817b1bbab54488011c9a8a137e92988ae77,airdropERC20,0x09350f89e2d7b6e96ba730783c2d76137b045fef,,BENTO,token,8880888,0.7784320166451675,no,
15/04/2024,05:47:13,base,0x0c98f3aa6b3188b871a7d765a3dd38e17f300b50f0ed7b7bac339b56eb45316f,https://www.basescan.org/tx/0x0c98f3aa6b3188b871a7d765a3dd38e17f300b50f0ed7b7bac339b56eb45316f,airdropERC20,0x09350f89e2d7b6e96ba730783c2d76137b045fef,,BENTO,token,8880888,0.490805023397026,no,
