Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
12/09/2022,14:50:13,eth,0x0187bffa588a97cfb7b26977a2df421ed6f07cac62443928f2e1d7d31650d417,https://etherscan.io/tx/0x0187bffa588a97cfb7b26977a2df421ed6f07cac62443928f2e1d7d31650d417,send,0xcad621da75a66c7a8f4ff86d30a2bf981bfc8fdd,,ETH,token,-0.016468238786973,-28.265591006796846,no,0.6
13/11/2021,20:43:23,bsc,0x7993b935e0307ece1dd28c4cc255a4480e4d2b380172c619ee22c714d2c6ea67,https://bscscan.com/tx/0x7993b935e0307ece1dd28c4cc255a4480e4d2b380172c619ee22c714d2c6ea67,send,0xcd5f3c15120a1021155174719ec5fcf2c75adf5b,,BNB,token,-0.000762675,-0.4953574125,no,0.07
02/11/2021,11:39:26,bsc,0x5a1bfe0ec6ab080e46825bf2775ecb67e7d0cc14ed662f875113ec1217f8881d,https://bscscan.com/tx/0x5a1bfe0ec6ab080e46825bf2775ecb67e7d0cc14ed662f875113ec1217f8881d,send,0x4cf8800ccc0a56396f77b1e7c46160f5df0e09a5,,DREAMS,token,-6666.666652631579,0,no,0.07
02/11/2021,10:53:26,bsc,0xc63f000eb40a28bff48c4f93317730e627060c930b0abb67190b90be1a71d0ab,https://bscscan.com/tx/0xc63f000eb40a28bff48c4f93317730e627060c930b0abb67190b90be1a71d0ab,receive,0xc91fbec25f454e1bfc782d215ada56b3007276d0,,BNB,token,0.001,0.5544,no,
02/11/2021,10:12:13,bsc,0x893ed09e5f550c49e555fe59467df5f28344edb57da0498252e1ad242ec5f97a,https://bscscan.com/tx/0x893ed09e5f550c49e555fe59467df5f28344edb57da0498252e1ad242ec5f97a,receive,0x48d732e704b90d77af8ec46fcf5cd75e03afa208,,DREAMS,token,6600.666652631579,0,no,
02/11/2021,10:08:26,bsc,0x853124d3a7c807dca445371366dc0cf8f9a6b03ba70ecbc8b0e10fed4f65bdf7,https://bscscan.com/tx/0x853124d3a7c807dca445371366dc0cf8f9a6b03ba70ecbc8b0e10fed4f65bdf7,receive,0x48d732e704b90d77af8ec46fcf5cd75e03afa208,,DREAMS,token,66,0,no,
12/10/2021,13:30:58,eth,0x1c0438b1814a50d0d8a597295289721dc48cc740bf1468e87cb4bdc27ef08865,https://etherscan.io/tx/0x1c0438b1814a50d0d8a597295289721dc48cc740bf1468e87cb4bdc27ef08865,send,0xe59cd29be3be4461d79c0881d238cbe87d64595a,,USDT,token,-4500,-4500,no,10.96
12/10/2021,12:14:35,eth,0xf5c09a3995152e9639c222388e77b1ffbf60dfad34b0d0b943365855192385f9,https://etherscan.io/tx/0xf5c09a3995152e9639c222388e77b1ffbf60dfad34b0d0b943365855192385f9,receive,0x2602669a92fccf44e5319ff51b0f453aab9db021,,ETH,token,0.02,69.8292,no,
12/10/2021,11:27:10,eth,0x5486ee141aba9649a186aaf9b5b64f66983de648fe0b50f62b187361de9ca70e,https://etherscan.io/tx/0x5486ee141aba9649a186aaf9b5b64f66983de648fe0b50f62b187361de9ca70e,receive,0x48d732e704b90d77af8ec46fcf5cd75e03afa208,,USDT,token,4500,4500,no,
11/10/2021,19:18:12,eth,0x8d82de94c801b1fd0fc9c039acdc968fa5d3d4948b35568c48d597fe4e2d2f0c,https://etherscan.io/tx/0x8d82de94c801b1fd0fc9c039acdc968fa5d3d4948b35568c48d597fe4e2d2f0c,send,0x4ad64983349c49defe8d7a4686202d24b25d0ce8,,ETH,token,-0.7978504161807921,-2826.081916162307,no,7.61
