Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
17/04/2024,22:32:05,arb,0xe6dd44fb2ad8031a7e678695c25623e38867f3d897f0a07ab42f2c949672111a,https://arbiscan.io/tx/0xe6dd44fb2ad8031a7e678695c25623e38867f3d897f0a07ab42f2c949672111a,send,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,ETH,token,-1.0390410821,-3100.093362964381,no,0
17/04/2024,14:52:02,arb,0xe6417ed9f4bc125dbc62f6d18234d43acd5ca0acf814f4958cf2a5024e8324d9,https://arbiscan.io/tx/0xe6417ed9f4bc125dbc62f6d18234d43acd5ca0acf814f4958cf2a5024e8324d9,receive,0xb38e8c17e38363af6ebdcb3dae12e0243582891d,,ETH,token,1.0393895,3101.132906095,no,
04/04/2024,06:11:03,op,0x11c2c74f25c6bbe72080b804e92f7e7b7389c4978ca39f28efb3e9213d3c1c1f,https://optimistic.etherscan.io/tx/0x11c2c74f25c6bbe72080b804e92f7e7b7389c4978ca39f28efb3e9213d3c1c1f,send,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,ETH,token,-0.000080043089936634,-0.26633617788605535,no,0
22/01/2024,22:13:35,eth,0xc233c6ad1c1665f768ca670883bde877292084fcc5d845e959422968725c3d29,https://etherscan.io/tx/0xc233c6ad1c1665f768ca670883bde877292084fcc5d845e959422968725c3d29,send,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,AXL,token,-51.372057,-50.65017847559183,no,1.49
22/01/2024,15:20:35,eth,0x46571d101b274770f72ce3ee1db9593bb146e24a0ea34632cd37a8d1a1dc9d10,https://etherscan.io/tx/0x46571d101b274770f72ce3ee1db9593bb146e24a0ea34632cd37a8d1a1dc9d10,receive,0x6596da8b65995d5feacff8c2936f0b7a2051b0d0,,ETH,token,0.000412812569906807,0.95485611482294,no,
15/01/2024,03:08:40,matic,0xb5f80fd53f9e8c705d6a62671e31f8daf40b970b47fba0ed75d2539783dffc99,https://polygonscan.com/tx/0xb5f80fd53f9e8c705d6a62671e31f8daf40b970b47fba0ed75d2539783dffc99,receive,0x0000000000000000000000000000000000000000,,Visit https://www.mantra.cash to earn rewards.,token,12500,0,no,
10/08/2023,12:28:11,eth,0x57cdd873058317010fd641e173f889ead528658218bca67d2c4f10eb69bb7aac,https://etherscan.io/tx/0x57cdd873058317010fd641e173f889ead528658218bca67d2c4f10eb69bb7aac,send,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,DZOO,token,-6247.4265000000005,0,no,0.92
31/05/2023,07:51:05,matic,0xf0c11f4b827636ccabde53a4afd968a53da4780ad15db61723f1b37ed2761381,https://polygonscan.com/tx/0xf0c11f4b827636ccabde53a4afd968a53da4780ad15db61723f1b37ed2761381,send,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,WISTA,token,-1592,-115.18070155021448,no,0.01
29/05/2023,17:55:02,matic,0xdb3bba40ebf6bfc3c68bcc48c0c6a3274ad8a0db16fc22a2c47c3b9fb6cca8bd,https://polygonscan.com/tx/0xdb3bba40ebf6bfc3c68bcc48c0c6a3274ad8a0db16fc22a2c47c3b9fb6cca8bd,receive,0x6596da8b65995d5feacff8c2936f0b7a2051b0d0,,MATIC,token,0.0360715,0.032761146302,no,
29/05/2023,12:50:33,matic,0x55e0cfa13ab2510d86e8acf81f4549852db5865422eb7dc3c60563746a2b97e0,https://polygonscan.com/tx/0x55e0cfa13ab2510d86e8acf81f4549852db5865422eb7dc3c60563746a2b97e0,receive,0xd2d36d06083cb9c3422df987a1066ac56e309032,,WISTA,token,1492.5,130.63621422714485,no,
