Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
28/12/2023,01:00:52,arb,0x2e942f200a1f0a43c4d381644816b0c096a5991ef7921299be99f258c5e93165,https://arbiscan.io/tx/0x2e942f200a1f0a43c4d381644816b0c096a5991ef7921299be99f258c5e93165,send,0xce7ec11a5f306c6b896526149db1a86c7d1531e2,,ETH,token,-0.0015013509,-3.5194067257439996,no,0.07
30/11/2023,18:20:23,eth,0x9d84349ac5da484fce6109b9818e6b6fc6e7951a2367fc183fc0f1b1471986e0,https://etherscan.io/tx/0x9d84349ac5da484fce6109b9818e6b6fc6e7951a2367fc183fc0f1b1471986e0,send,0xa03400e098f4421b34a3a44a1b4e571419517687,,LOOKS,token,-200,-22.60846120948705,no,3.6
30/11/2023,18:18:23,eth,0x2c823f64d55ded0bf9a5f3990c8d2d9b8992199911abd5e4578900c0e6db287d,https://etherscan.io/tx/0x2c823f64d55ded0bf9a5f3990c8d2d9b8992199911abd5e4578900c0e6db287d,receive,0x598273ea2cabd9f798564877851788c5e0d5b7b9,,ETH,token,0.0001251447942218,0.25673704824190713,no,
25/03/2023,06:11:59,arb,0x2cc8bf446230d87011d9d02f25889a8b128de51843cdc60e90957ac6de130722,https://arbiscan.io/tx/0x2cc8bf446230d87011d9d02f25889a8b128de51843cdc60e90957ac6de130722,send,0xf2dbc42875e7764edbd89732a15214a9a0deb085,,ARB,token,-6000,-7623.8103992390925,no,0.05
25/03/2023,06:07:39,arb,0xedfb1d0309e7a9459b5f02ce1c7d28a859ede50121ac96903897b9b292889197,https://arbiscan.io/tx/0xedfb1d0309e7a9459b5f02ce1c7d28a859ede50121ac96903897b9b292889197,receive,0x664c900ad79a7e9e3e1bbdd238715744ac9b575b,,ETH,token,0.00217956,3.826980426,no,
23/03/2023,15:19:20,arb,0x12a82c1a489877c4b7f9c9b447ab6cb5e7fecd5756281e0af95ee293949a7018,https://arbiscan.io/tx/0x12a82c1a489877c4b7f9c9b447ab6cb5e7fecd5756281e0af95ee293949a7018,receive,0xaf8f6c78a3268e29f63d20da1cd68e6450f0fa37,,ARB,token,6000,10629.552115566636,no,
14/02/2023,17:52:23,eth,0x871f42785c47014bc74da25acfe72bb85b4b011dedb8a602f9f309715fb042d5,https://etherscan.io/tx/0x871f42785c47014bc74da25acfe72bb85b4b011dedb8a602f9f309715fb042d5,send,0x46705dfff24256421a05d056c29e81bdc09723b8,,USDT,token,-6469.046493,-6469.046493,no,2.1
14/02/2023,17:49:59,eth,0x5eefa64a73b160890097f5982e21a1df9a85ca672c835a5577c611c8b3e1ffd0,https://etherscan.io/tx/0x5eefa64a73b160890097f5982e21a1df9a85ca672c835a5577c611c8b3e1ffd0,receive,0x07ef60deca209ea0f3f3f08c1ad21a6db5ef9d33,,ETH,token,0.0024233325839086,3.7700754340899656,no,
14/02/2023,17:47:35,eth,0xcab2300d961c0f2d02aa79d1638ac0204049119f125faa79721fc2738d945702,https://etherscan.io/tx/0xcab2300d961c0f2d02aa79d1638ac0204049119f125faa79721fc2738d945702,receive,0x3e3dd8bc0878861084b6b1023b6a0868e3dee528,,USDT,token,6469.046493,6469.046493,no,
23/12/2022,11:30:59,eth,0x82e9aa0bc24a3523716e8e2fdba3d875f5773f929149f9e5f8e46143d594b044,https://etherscan.io/tx/0x82e9aa0bc24a3523716e8e2fdba3d875f5773f929149f9e5f8e46143d594b044,send,0xfdb16996831753d5331ff813c29a93c76834a0ad,,USDT,token,-192.605384,-192.605384,no,0.8
23/12/2022,11:28:35,eth,0x3809770cd33442064be97025f076375cef6292fcf73f2415b6bba3f605629124,https://etherscan.io/tx/0x3809770cd33442064be97025f076375cef6292fcf73f2415b6bba3f605629124,receive,0xf0458aaaf6d49192d3b4711960635d5fa2114e71,,ETH,token,0.0005009225047309,0.6111204465466507,no,
23/12/2022,11:25:59,eth,0x21121c47a741dce169e98521b33b16094a276d226d69843c75dc13ad54210828,https://etherscan.io/tx/0x21121c47a741dce169e98521b33b16094a276d226d69843c75dc13ad54210828,receive,0x48d732e704b90d77af8ec46fcf5cd75e03afa208,,USDT,token,192.605384,192.605384,no,
20/12/2022,13:06:11,eth,0x37b0bcc3f19035c27ac8606b586997d4dce6d21e6efe66444a374913276f30b1,https://etherscan.io/tx/0x37b0bcc3f19035c27ac8606b586997d4dce6d21e6efe66444a374913276f30b1,send,0xfdb16996831753d5331ff813c29a93c76834a0ad,,USDT,token,-5496.7,-5496.7,no,0.92
20/12/2022,13:03:59,eth,0x33a92763ea1a618336377111d3f0b31bb3e4d650c23dc2331523c181f880ba85,https://etherscan.io/tx/0x33a92763ea1a618336377111d3f0b31bb3e4d650c23dc2331523c181f880ba85,receive,0xf0458aaaf6d49192d3b4711960635d5fa2114e71,,ETH,token,0.0007443267623167,0.9059052158804092,no,
20/12/2022,13:01:35,eth,0x9b5a547f5cab17d59694bc4a8b412deaaca2ea595418f52b5b97dbac472e82c9,https://etherscan.io/tx/0x9b5a547f5cab17d59694bc4a8b412deaaca2ea595418f52b5b97dbac472e82c9,receive,0x3578cc69b5e23ecd376e7c3229f6ccd00ee4a994,,USDT,token,5496.7,5496.7,no,
27/10/2022,17:05:23,eth,0xc3ee6c1b3f16e9b3d8c885ba0bac8e2d120516c44bd9f8ed710f93317875b23d,https://etherscan.io/tx/0xc3ee6c1b3f16e9b3d8c885ba0bac8e2d120516c44bd9f8ed710f93317875b23d,send,0xab5c66752a9e8167967685f1450532fb96d5d24f,,USDT,token,-9996.441302,-9996.441302,no,1.16
