Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
13/03/2023,12:30:47,eth,0x56f680fe4cb861884362ad03d0faed37d763fd5b0b3ac2ad08a1e7da50fc0920,https://etherscan.io/tx/0x56f680fe4cb861884362ad03d0faed37d763fd5b0b3ac2ad08a1e7da50fc0920,send,0x28c6c06298d514db089934071355e5743bf21d60,,USDT,token,-44953.44869,-45303.636055295094,no,1.47
13/03/2023,12:13:23,eth,0xe391752fb459da5a17618763e9518fcdba95da06b6993560f7041d4452d57ac1,https://etherscan.io/tx/0xe391752fb459da5a17618763e9518fcdba95da06b6993560f7041d4452d57ac1,receive,0x5e7d0eedf59b9c95f661b812f456e50120599a1d,,USDT,token,44953.44869,45303.636055295094,no,
12/03/2023,22:30:59,eth,0x88b7fedd0135a2271443ae689197ceb3bf64a7dd0acc17d8ae072b6e53cfca79,https://etherscan.io/tx/0x88b7fedd0135a2271443ae689197ceb3bf64a7dd0acc17d8ae072b6e53cfca79,send,0x28c6c06298d514db089934071355e5743bf21d60,,USDP,token,-50888,-49993.7520473896,no,1.49
12/03/2023,22:05:23,eth,0x54fed2b33466afb918fed7dcebdf297044c447ca00a21cbb159db82f8b836bc9,https://etherscan.io/tx/0x54fed2b33466afb918fed7dcebdf297044c447ca00a21cbb159db82f8b836bc9,receive,0x5e7d0eedf59b9c95f661b812f456e50120599a1d,,USDP,token,50888,49993.7520473896,no,
12/03/2023,00:00:23,eth,0x3d886dae3da28c98898b8fdf481ca2510f9efefd0e64eacb3d05c585e723ab63,https://etherscan.io/tx/0x3d886dae3da28c98898b8fdf481ca2510f9efefd0e64eacb3d05c585e723ab63,send,0x28c6c06298d514db089934071355e5743bf21d60,,USDP,token,-50000,-50077.44860617679,no,1.55
11/03/2023,23:45:59,eth,0x6dab7018013290c585f4458d0934819deb782ce2eb5ca0ab35e5e05c92c603eb,https://etherscan.io/tx/0x6dab7018013290c585f4458d0934819deb782ce2eb5ca0ab35e5e05c92c603eb,receive,0x5e7d0eedf59b9c95f661b812f456e50120599a1d,,USDP,token,50000,50077.44860617679,no,
23/11/2022,11:30:45,bsc,0xa0107680d39efc77801f4a40d5c611d12563462d1eb862b954a5f3265acab64c,https://bscscan.com/tx/0xa0107680d39efc77801f4a40d5c611d12563462d1eb862b954a5f3265acab64c,send,0x8894e0a0c962cb723c1976a4421c95949be2d4e3,,BNB,token,-49.269443110000005,-14721.709601268001,no,0.03
23/11/2022,11:07:28,bsc,0x758fa63216463a4fedee800adb5f1bbe134bce330b2488573812eaf69830bff6,https://bscscan.com/tx/0x758fa63216463a4fedee800adb5f1bbe134bce330b2488573812eaf69830bff6,receive,0xcd079907ce7665976b2a62686c94cfc0992100ad,,BNB,token,0.12,35.856,no,
23/11/2022,11:07:16,bsc,0x01a2363ea68b49845f4d241c5a5e1403dd35dbfcdac4e9a9c5b45d9de2698fc0,https://bscscan.com/tx/0x01a2363ea68b49845f4d241c5a5e1403dd35dbfcdac4e9a9c5b45d9de2698fc0,receive,0x04beb99320afffc4c46ffd781f7b6d67400eea83,,BNB,token,0.13,38.844,no,
23/11/2022,11:06:58,bsc,0x83fe53f040341738e7f2b9ee4b6674c22b36fa24bc6cfe46707412b16c91a2aa,https://bscscan.com/tx/0x83fe53f040341738e7f2b9ee4b6674c22b36fa24bc6cfe46707412b16c91a2aa,receive,0x3f5aedf6ad874ef487cf9d29e689a41319d9c5bd,,BNB,token,0.17,50.79600000000001,no,
