Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
03/12/2021,20:37:37,eth,0xd65bddc381afc6ff4533c9dec3478037b38d89cbeb5f45f33250fa32a75b199b,https://etherscan.io/tx/0xd65bddc381afc6ff4533c9dec3478037b38d89cbeb5f45f33250fa32a75b199b,send,0x28c6c06298d514db089934071355e5743bf21d60,,POLS,token,-1250.437511,-4651.928022713567,no,22.36
03/12/2021,20:09:20,eth,0x0cbf000e94f3b4086966518b8a19eb8c3b2753f9e9922718c32e5f23160011ce,https://etherscan.io/tx/0x0cbf000e94f3b4086966518b8a19eb8c3b2753f9e9922718c32e5f23160011ce,receive,0xbc55ccd69b5b019542cded6f285ab077fd4c1766,,POLS,token,1250.437511973753,4651.9280263361625,no,
22/11/2021,15:34:38,eth,0xfd7e2fa767de98e8478f4c7c9c273cb2969eff6a8deb5b788b3a0c5aa0a81a4b,https://etherscan.io/tx/0xfd7e2fa767de98e8478f4c7c9c273cb2969eff6a8deb5b788b3a0c5aa0a81a4b,send,0x28c6c06298d514db089934071355e5743bf21d60,,ETH,token,-1.374527,-5616.27608619,no,11.15
22/11/2021,15:08:34,eth,0x93220f934533044d48bdc8cbbbf6d206f6c3dbde4a523e25e72dff0c91192a9c,https://etherscan.io/tx/0x93220f934533044d48bdc8cbbbf6d206f6c3dbde4a523e25e72dff0c91192a9c,receive,0x48d732e704b90d77af8ec46fcf5cd75e03afa208,,ETH,token,1.4,5720.357999999999,no,
30/10/2021,13:34:39,eth,0xf53e4a1d4c2fe8b3cc0572ce1415c818d17facb1b44209af07ba7e46a64213c7,https://etherscan.io/tx/0xf53e4a1d4c2fe8b3cc0572ce1415c818d17facb1b44209af07ba7e46a64213c7,send,0x28c6c06298d514db089934071355e5743bf21d60,,USDC,token,-40000,-40000,no,29.67
30/10/2021,12:34:44,eth,0x0865eedf44479cd4c5d1b230b6236f9c772663b57e5037110a5af29eb7f767a2,https://etherscan.io/tx/0x0865eedf44479cd4c5d1b230b6236f9c772663b57e5037110a5af29eb7f767a2,receive,0x6176294685c66de20b312d57463dcf63338d65be,,USDC,token,40000,40000,no,
05/10/2021,13:31:27,eth,0x7c0e677b8176fc0e8f762a098f9402df4fdf1fb51bb0ce5ae6d9c053260a62ea,https://etherscan.io/tx/0x7c0e677b8176fc0e8f762a098f9402df4fdf1fb51bb0ce5ae6d9c053260a62ea,send,0x28c6c06298d514db089934071355e5743bf21d60,,USDT,token,-10000,-10000,no,12.78
05/10/2021,13:19:11,eth,0x428b521affa6f2bf9b27571729ff148c743af71f209842a3e4a5a687f62a387d,https://etherscan.io/tx/0x428b521affa6f2bf9b27571729ff148c743af71f209842a3e4a5a687f62a387d,receive,0x48d732e704b90d77af8ec46fcf5cd75e03afa208,,USDT,token,10000,10000,no,
28/09/2021,20:07:48,eth,0xe96d53ce70f9bd9689b872e9089771f9575146ed253c1a33883d0d94b1f14131,https://etherscan.io/tx/0xe96d53ce70f9bd9689b872e9089771f9575146ed253c1a33883d0d94b1f14131,receive,0x48d732e704b90d77af8ec46fcf5cd75e03afa208,,DENT,token,251977.883,1084.4593289055092,no,
20/09/2021,09:03:38,eth,0x768be5e755f953889a8c0f5ed7f9c8992cc6cf4057d4631007f80b47a6c5e8f9,https://etherscan.io/tx/0x768be5e755f953889a8c0f5ed7f9c8992cc6cf4057d4631007f80b47a6c5e8f9,send,0x28c6c06298d514db089934071355e5743bf21d60,,USDT,token,-9943.023098,-9943.023098,no,7.38
20/09/2021,08:31:14,eth,0xb70c2d39ee1e377749271c109597a2a0a2fb0da375010b10bfbbe486f69c8575,https://etherscan.io/tx/0xb70c2d39ee1e377749271c109597a2a0a2fb0da375010b10bfbbe486f69c8575,send,0x28c6c06298d514db089934071355e5743bf21d60,,USDC,token,-33912.282902,-33912.282902,no,7.42
20/09/2021,07:42:08,eth,0x7358d7603ecb957ff10590ca3345298534ab05a9008023a181fa53ced3007eac,https://etherscan.io/tx/0x7358d7603ecb957ff10590ca3345298534ab05a9008023a181fa53ced3007eac,receive,0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,,ETH,token,0.05,148.864,no,
07/09/2021,17:15:00,eth,0x1976e420547e67fdf12d3c51fc4b191d57dc209ae1435b7c776f951b6978abdb,https://etherscan.io/tx/0x1976e420547e67fdf12d3c51fc4b191d57dc209ae1435b7c776f951b6978abdb,receive,0x48d732e704b90d77af8ec46fcf5cd75e03afa208,,USDC,token,15000,15000,no,
07/09/2021,11:47:25,eth,0x1ecc301affce57a42e68ce08fff17ef6381577981d5d0f72984b1d7075cc3260,https://etherscan.io/tx/0x1ecc301affce57a42e68ce08fff17ef6381577981d5d0f72984b1d7075cc3260,receive,0x95cb0d7f12415b2e4e7afd5722c2353c2b22bd0f,,USDC,token,9262.282902,9262.282902,no,
04/09/2021,22:27:33,eth,0x116b38e4ab76341b21f8377016164f39f4caa8b2bded8c23cc9c672704525bb1,https://etherscan.io/tx/0x116b38e4ab76341b21f8377016164f39f4caa8b2bded8c23cc9c672704525bb1,receive,0x48d732e704b90d77af8ec46fcf5cd75e03afa208,,USDT,token,9943.023098,9943.023098,no,
31/08/2021,16:42:58,eth,0x4860c50075aec4862a8a225d388bd2cdcfaec5c491517c7ab9236505b2459648,https://etherscan.io/tx/0x4860c50075aec4862a8a225d388bd2cdcfaec5c491517c7ab9236505b2459648,receive,0x48d732e704b90d77af8ec46fcf5cd75e03afa208,,USDC,token,650,650,no,
27/08/2021,07:26:59,eth,0x62250915478fe6e4328d3253f24a3a6c0d418119c9d6fa4c4e49bccd0dcb7b62,https://etherscan.io/tx/0x62250915478fe6e4328d3253f24a3a6c0d418119c9d6fa4c4e49bccd0dcb7b62,receive,0x48d732e704b90d77af8ec46fcf5cd75e03afa208,,USDC,token,9000,9000,no,
