Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
06/02/2024,16:33:09,dym,0x965aa1c6b972a89935d933c12ddb36118a016203725fa6a91f7a4c6d07596f56,https://dym.fyi/tx/0x965aa1c6b972a89935d933c12ddb36118a016203725fa6a91f7a4c6d07596f56,send,0xf4e10d711869936010a5dc795fbb05d684fe9056,,DYM,token,-245.999895,-670.349713875,no,
06/02/2024,16:30:27,dym,0xe0694b3fc830f2391722d883725d9579971b9b1d2349289cdb105ba2d4c1b704,https://dym.fyi/tx/0xe0694b3fc830f2391722d883725d9579971b9b1d2349289cdb105ba2d4c1b704,receive,0x48d732e704b90d77af8ec46fcf5cd75e03afa208,,DYM,token,236,643.1,no,
06/02/2024,16:28:24,dym,0x6c9bdd6e0c3b7860afdccd94ae16a45b9264754d4192fc56765f628ea0f8b911,https://dym.fyi/tx/0x6c9bdd6e0c3b7860afdccd94ae16a45b9264754d4192fc56765f628ea0f8b911,receive,0x48d732e704b90d77af8ec46fcf5cd75e03afa208,,DYM,token,10,27.25,no,
05/07/2023,15:33:47,eth,0xb64fae57e0b677055efd270687dcf096c6463bffe974ffa18dde4b70ac797e75,https://etherscan.io/tx/0xb64fae57e0b677055efd270687dcf096c6463bffe974ffa18dde4b70ac797e75,send,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,,AAA,token,-2000000,-5.68,no,3.41
05/07/2023,00:46:45,arb,0xbefeae2000af1190d44b78fceccb92b9a32d16e513d4d58e24404f65fb8cce65,https://arbiscan.io/tx/0xbefeae2000af1190d44b78fceccb92b9a32d16e513d4d58e24404f65fb8cce65,send,0x9b64203878f24eb0cdf55c8c6fa7d08ba0cf77e5,,USDT,token,-13923.0452,-13925.760193814,no,0.18
05/07/2023,00:42:58,arb,0x5edcd03f52ffbb27726143d46e2b3607c9b4daa38dcbabb3ee8adcd2b077388f,https://arbiscan.io/tx/0x5edcd03f52ffbb27726143d46e2b3607c9b4daa38dcbabb3ee8adcd2b077388f,receive,0xf89d7b9c864f589bbf53a82105107622b35eaa40,,USDT,token,13923.0452,13925.760193814,no,
05/07/2023,00:28:49,arb,0x1cc3140797e22e083dde5c291bf7fb6151a62e50b69ef19eeab5cbd92ae42696,https://arbiscan.io/tx/0x1cc3140797e22e083dde5c291bf7fb6151a62e50b69ef19eeab5cbd92ae42696,send,0x9b64203878f24eb0cdf55c8c6fa7d08ba0cf77e5,,USDT,token,-7999.9,-8001.459980499999,no,0.18
05/07/2023,00:28:32,arb,0x1712734409171bd5380d382ea99b1f9427a185bd7731b1acb1ee31405a145efa,https://arbiscan.io/tx/0x1712734409171bd5380d382ea99b1f9427a185bd7731b1acb1ee31405a145efa,receive,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,,USDT,token,7999.9,8001.459980499999,no,
29/05/2023,22:09:39,arb,0x2c4b07f3a6375952e92f26413fb626dc2384b5fa15adcfb8603651bb03c5f20d,https://arbiscan.io/tx/0x2c4b07f3a6375952e92f26413fb626dc2384b5fa15adcfb8603651bb03c5f20d,send,0x9b64203878f24eb0cdf55c8c6fa7d08ba0cf77e5,,USDT,token,-1005,-1005.306525,no,0.11
29/05/2023,22:08:46,arb,0x6d7ccdaf278e53750d33e79f4242aed8ca251afd69529b6574211dc56f1b85b1,https://arbiscan.io/tx/0x6d7ccdaf278e53750d33e79f4242aed8ca251afd69529b6574211dc56f1b85b1,receive,0xf89d7b9c864f589bbf53a82105107622b35eaa40,,USDT,token,1005,1005.306525,no,
20/05/2023,16:24:41,arb,0x271a090ffb5f0cb23366965b3c9ef2f77e319af8461eefe5250df42e838d0b6e,https://arbiscan.io/tx/0x271a090ffb5f0cb23366965b3c9ef2f77e319af8461eefe5250df42e838d0b6e,send,0x9b64203878f24eb0cdf55c8c6fa7d08ba0cf77e5,,USDT,token,-2000.575089,-2001.325304658375,no,0.12
20/05/2023,16:22:40,arb,0x40eaba412da70649e3d6db68522e605f80a204a0fda6041321ae18e1a9cc4e06,https://arbiscan.io/tx/0x40eaba412da70649e3d6db68522e605f80a204a0fda6041321ae18e1a9cc4e06,receive,0x48d732e704b90d77af8ec46fcf5cd75e03afa208,,USDT,token,2000.575089,2001.325304658375,no,
17/03/2023,17:51:16,arb,0x87f4d097e41a6d84f261c5d9a4181ce826e7ab7224d9f2a5dc29790447dc66ec,https://arbiscan.io/tx/0x87f4d097e41a6d84f261c5d9a4181ce826e7ab7224d9f2a5dc29790447dc66ec,send,0x9b64203878f24eb0cdf55c8c6fa7d08ba0cf77e5,,USDC,token,-19968.012825,-19926.0799980675,no,0.09
17/03/2023,17:48:25,arb,0xfd073759568bd68eebca1f1bce3c54e9e738de779e7a0fffcc3ba97a67e7a238,https://arbiscan.io/tx/0xfd073759568bd68eebca1f1bce3c54e9e738de779e7a0fffcc3ba97a67e7a238,receive,0x3e3dd8bc0878861084b6b1023b6a0868e3dee528,,USDC,token,19968.012825,19926.0799980675,no,
13/03/2023,11:57:11,eth,0x4e9887567d709f475491014b8ebe7970afc89e9174297fa3393585336c64d5f0,https://etherscan.io/tx/0x4e9887567d709f475491014b8ebe7970afc89e9174297fa3393585336c64d5f0,send,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,,USDT,token,-6000,-6046.74,no,1.29
13/03/2023,11:54:47,eth,0x5a2a1b3430d0c6018981ab1ec28d79f46c400e3f190b1ae2e2d421d537bb0813,https://etherscan.io/tx/0x5a2a1b3430d0c6018981ab1ec28d79f46c400e3f190b1ae2e2d421d537bb0813,receive,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,,ETH,token,0.007,11.06378,no,
13/03/2023,11:53:11,eth,0xb9bcb57f7055e767d7942c8609aecafc199d95c2590a9099a3685c7501b7867c,https://etherscan.io/tx/0xb9bcb57f7055e767d7942c8609aecafc199d95c2590a9099a3685c7501b7867c,receive,0x5e7d0eedf59b9c95f661b812f456e50120599a1d,,USDT,token,6000,6046.74,no,
08/03/2023,01:13:01,arb,0x5c04411176456b15c90b14a3d3af930df7530c47290a7f1d6c98c7f44ac7a7d0,https://arbiscan.io/tx/0x5c04411176456b15c90b14a3d3af930df7530c47290a7f1d6c98c7f44ac7a7d0,send,0x9b64203878f24eb0cdf55c8c6fa7d08ba0cf77e5,,USDT,token,-6601.01498,-6601.01498,no,0.08
08/03/2023,01:12:36,arb,0x55d33cdd6142ac0f14c99cd898a5b0535016ee5c9538ffe7110c26f9abd75ac9,https://arbiscan.io/tx/0x55d33cdd6142ac0f14c99cd898a5b0535016ee5c9538ffe7110c26f9abd75ac9,receive,0x9b64203878f24eb0cdf55c8c6fa7d08ba0cf77e5,,ETH,token,0.01,15.608,no,
08/03/2023,01:10:45,arb,0xe409416629483956cd48c0286bd36a0ad27659791e3424e309aa095d4bbaa014,https://arbiscan.io/tx/0xe409416629483956cd48c0286bd36a0ad27659791e3424e309aa095d4bbaa014,receive,0x0d0707963952f2fba59dd06f2b425ace40b492fe,,USDT,token,6601.01498,6601.01498,no,
08/04/2022,17:01:01,eth,0x71d7aa325eee3ca841bbe0a691567983513cb160cbfd8da3d5805b6b1cad929c,https://etherscan.io/tx/0x71d7aa325eee3ca841bbe0a691567983513cb160cbfd8da3d5805b6b1cad929c,send,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,,GAS,token,-2266205.2789953696,-49.74138566558336,no,5.15
18/02/2022,12:22:26,eth,0x1784e017b7b576ea1e9cd75adf9029bad63f7b84911de22cdeea75aa9c684c45,https://etherscan.io/tx/0x1784e017b7b576ea1e9cd75adf9029bad63f7b84911de22cdeea75aa9c684c45,send,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,,X2Y2,token,-1016.5533333333333,-1818.4385442980133,no,6.43
18/02/2022,12:20:16,eth,0x02b3d504683963d648102124930f76496523b57cbe9c506099d516afdf15a830,https://etherscan.io/tx/0x02b3d504683963d648102124930f76496523b57cbe9c506099d516afdf15a830,receive,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,,ETH,token,0.007,19.45636,no,
18/02/2022,11:23:41,eth,0xd4cd9ac5a4adab31c9db775a81a96b7df7145f80adfdaf25ae30f3958610add0,https://etherscan.io/tx/0xd4cd9ac5a4adab31c9db775a81a96b7df7145f80adfdaf25ae30f3958610add0,receive,0x48d732e704b90d77af8ec46fcf5cd75e03afa208,,X2Y2,token,609.12,1089.6105986596597,no,
18/02/2022,11:23:38,eth,0xb0d48ff480a2b9fa81b3d01ae549c7a512b81a8b025b948d91fa227200be6b50,https://etherscan.io/tx/0xb0d48ff480a2b9fa81b3d01ae549c7a512b81a8b025b948d91fa227200be6b50,receive,0x5d10f561e4a397d306fb724b5c92845eb82b4a0b,,X2Y2,token,407.43333333333334,728.8279456383538,no,
29/12/2021,11:55:22,eth,0xda4cadaaaca514d153399ee2776edd0a24e5c031ca707fede9256846bfee8864,https://etherscan.io/tx/0xda4cadaaaca514d153399ee2776edd0a24e5c031ca707fede9256846bfee8864,receive,0x95cb0d7f12415b2e4e7afd5722c2353c2b22bd0f,,GAS,token,550676.2789953698,47.34145324102841,no,
29/12/2021,11:15:39,eth,0xd06ea3ea2452deea0683f8096a4179073c14133cf09cd927cbcbd3f93e0c5eee,https://etherscan.io/tx/0xd06ea3ea2452deea0683f8096a4179073c14133cf09cd927cbcbd3f93e0c5eee,receive,0x45abbbcb564c06c59d70dfaeaac3a3eb0c9e3001,,GAS,token,880170,75.6679168661019,no,
29/12/2021,11:09:58,eth,0x0c7c3ca523aef781940b8a25ec2e2cff122e8c22f5e48d2668c608eca1c109db,https://etherscan.io/tx/0x0c7c3ca523aef781940b8a25ec2e2cff122e8c22f5e48d2668c608eca1c109db,receive,0x5d10f561e4a397d306fb724b5c92845eb82b4a0b,,GAS,token,835359,71.8155303695309,no,
20/11/2021,00:04:29,eth,0x8b8318e958897959311a2278299d91e1f8ab724849522f1ebb61821dd77e0ec7,https://etherscan.io/tx/0x8b8318e958897959311a2278299d91e1f8ab724849522f1ebb61821dd77e0ec7,receive,0x45abbbcb564c06c59d70dfaeaac3a3eb0c9e3001,,AAA,token,2000000,3930.700464915938,no,
