Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
01/11/2022,15:28:59,eth,0xed97697b6ae3f59b5724050d1afc9e2cc408cb9610c7bcb43cb36ce65fdba4e5,https://etherscan.io/tx/0xed97697b6ae3f59b5724050d1afc9e2cc408cb9610c7bcb43cb36ce65fdba4e5,send,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,,ETH,token,-0.11887388483846638,-187.7553574081157,no,0.64
01/11/2022,12:31:59,eth,0x251aef95b2f0a3033786e58f96b27a08fa7f6f8510ce04c74f7cd48962bb40be,https://etherscan.io/tx/0x251aef95b2f0a3033786e58f96b27a08fa7f6f8510ce04c74f7cd48962bb40be,send,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,,BUSD,token,-55000,-55005.5,no,
01/11/2022,12:28:47,eth,0xd3eb33844bc4ee3c293891d7f10fc55ba1ba47468abb4c2c0bebb1b15eea4839,https://etherscan.io/tx/0xd3eb33844bc4ee3c293891d7f10fc55ba1ba47468abb4c2c0bebb1b15eea4839,approve,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,,,,,,no,1.14
01/11/2022,12:25:47,eth,0x1204909823b562b266c211a2b0434fb784dbe0470e3848bf9cdc664307da0d32,https://etherscan.io/tx/0x1204909823b562b266c211a2b0434fb784dbe0470e3848bf9cdc664307da0d32,receive,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,,ETH,token,0.12,189.534,no,
01/11/2022,12:22:23,eth,0xb8f32fd35eb86c0fc712c5a4c89d14701dc6f6f99e996f0b3b7952134368d937,https://etherscan.io/tx/0xb8f32fd35eb86c0fc712c5a4c89d14701dc6f6f99e996f0b3b7952134368d937,receive,0x6176294685c66de20b312d57463dcf63338d65be,,BUSD,token,55000,55005.5,no,
26/10/2022,17:31:30,bsc,0x691ff44e113ccb30f28c139f3d5116b1195399f74a63cc9f85c9cc5ced3803b4,https://bscscan.com/tx/0x691ff44e113ccb30f28c139f3d5116b1195399f74a63cc9f85c9cc5ced3803b4,send,0x41772edd47d9ddf9ef848cdb34fe76143908c7ad,,BUSD,token,-91051.24881294977,-91023.93343830589,no,
26/10/2022,17:27:44,bsc,0xd84790c67a965fcc2aeaa285743dcb370717772a16d3c1aaeca3d79e9a7e1431,https://bscscan.com/tx/0xd84790c67a965fcc2aeaa285743dcb370717772a16d3c1aaeca3d79e9a7e1431,receive,0xd8a1dd5a0567f04364c706d6d71a8c7381360ce7,,BUSD,token,91051.24881294977,91023.93343830589,no,
28/09/2022,17:38:43,bsc,0xb5d427a9f24dd4d77c6bf9201bd71bdde1131df777cc1bf242ab6651eba65cbc,https://bscscan.com/tx/0xb5d427a9f24dd4d77c6bf9201bd71bdde1131df777cc1bf242ab6651eba65cbc,send,0x41772edd47d9ddf9ef848cdb34fe76143908c7ad,,BUSD,token,-60000,-60006,no,
28/09/2022,17:34:55,bsc,0xdee6990fe0991dcd92a650b7829037cde4e8f89717d3eb9bb01fea152e84785d,https://bscscan.com/tx/0xdee6990fe0991dcd92a650b7829037cde4e8f89717d3eb9bb01fea152e84785d,receive,0x48d732e704b90d77af8ec46fcf5cd75e03afa208,,BUSD,token,60000,60006,no,
23/09/2022,23:29:08,bsc,0x38368c97e0646d99228446036b161093cf06175aae1fe31a7f512a99315257b2,https://bscscan.com/tx/0x38368c97e0646d99228446036b161093cf06175aae1fe31a7f512a99315257b2,send,0x41772edd47d9ddf9ef848cdb34fe76143908c7ad,,BUSD,token,-40000,-40004,no,
