Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
31/03/2024,16:18:23,eth,0x73fd0c36f66de669efad5c1af06e258a3ceecbd89f6ce5835f516d554c404a9e,https://etherscan.io/tx/0x73fd0c36f66de669efad5c1af06e258a3ceecbd89f6ce5835f516d554c404a9e,send,0xf89d7b9c864f589bbf53a82105107622b35eaa40,,ETH,token,-0.05441477848102375,-198.34404415447082,no,1.7
30/10/2023,23:20:12,bsc,0xb449d4a13783c68afafae14a85456fc8cf74aef583cae3902b9bdec1d34d90ee,https://bscscan.com/tx/0xb449d4a13783c68afafae14a85456fc8cf74aef583cae3902b9bdec1d34d90ee,send,0xf89d7b9c864f589bbf53a82105107622b35eaa40,,USDC,token,-11999.71,-11999.71,no,0.04
30/10/2023,23:19:33,bsc,0xfa7a2e04c5207e7cd698165208e2416d70d4b8d5d07709d346912f56a20f0ad9,https://bscscan.com/tx/0xfa7a2e04c5207e7cd698165208e2416d70d4b8d5d07709d346912f56a20f0ad9,receive,0xa95b83af96d0b8a90bd507f2bd82ad8f3dbb86bc,,BNB,token,0.0036,0.8207279999999999,no,
30/10/2023,23:11:36,bsc,0x1989e7567a21d85fc11e99effa7435c1ab162e642eb63ff6601353721538dd45,https://bscscan.com/tx/0x1989e7567a21d85fc11e99effa7435c1ab162e642eb63ff6601353721538dd45,receive,0x97b9d2102a9a65a26e1ee82d59e42d1b73b68689,,USDC,token,11999.71,11999.71,no,
20/08/2023,17:28:32,arb,0x4685772f96bba46b4cca143147a94d204d0b9b32dfa0ab2c93e5ab127e3aac78,https://arbiscan.io/tx/0x4685772f96bba46b4cca143147a94d204d0b9b32dfa0ab2c93e5ab127e3aac78,send,0xf89d7b9c864f589bbf53a82105107622b35eaa40,,ETH,token,-2.9996491787000004,-5055.128781912389,no,0.06
20/08/2023,16:55:39,arb,0x099ce3579ca87f8c8dc7bebaf490941aa4a2361b912e1174541dbee619c760f2,https://arbiscan.io/tx/0x099ce3579ca87f8c8dc7bebaf490941aa4a2361b912e1174541dbee619c760f2,receive,0x0938c63109801ee4243a487ab84dffa2bba4589e,,ETH,token,3,5055.72,no,
10/08/2023,16:55:51,arb,0x6794ef285cb30c168ba811a7f3231524f3780022771b47e197f32745a58fe2d9,https://arbiscan.io/tx/0x6794ef285cb30c168ba811a7f3231524f3780022771b47e197f32745a58fe2d9,send,0xf89d7b9c864f589bbf53a82105107622b35eaa40,,SPARTA,token,-10000,-6755.572062977573,no,0.13
10/08/2023,16:53:01,arb,0xfb4ad00148c29289ee153b15db6122da81efc15551a96cef884ce74e47887397,https://arbiscan.io/tx/0xfb4ad00148c29289ee153b15db6122da81efc15551a96cef884ce74e47887397,receive,0x48d732e704b90d77af8ec46fcf5cd75e03afa208,,SPARTA,token,10000,6755.572062977573,no,
14/07/2023,22:06:35,eth,0x1357fab4cefdaaadd6d71c28a800d7dea25e3a0f677f318258a7aabd70039360,https://etherscan.io/tx/0x1357fab4cefdaaadd6d71c28a800d7dea25e3a0f677f318258a7aabd70039360,send,0xf89d7b9c864f589bbf53a82105107622b35eaa40,,USDT,token,-11792.517634,-11798.708705757852,no,2.16
14/07/2023,21:52:35,eth,0xe9878ad5963d9ddaceb42cf02616ce402949d2f0ab85949489b6ba260954dfa0,https://etherscan.io/tx/0xe9878ad5963d9ddaceb42cf02616ce402949d2f0ab85949489b6ba260954dfa0,receive,0xab97925eb84fe0260779f58b7cb08d77dcb1ee2b,,ETH,token,0.0225,43.601175,no,
14/07/2023,21:35:59,eth,0x8aefc0c5733d1500ba38859fa0f938dd835b799e194c978339fd2e9ca39e08be,https://etherscan.io/tx/0x8aefc0c5733d1500ba38859fa0f938dd835b799e194c978339fd2e9ca39e08be,receive,0xab97925eb84fe0260779f58b7cb08d77dcb1ee2b,,ETH,token,0.0225,43.601175,no,
14/07/2023,21:20:47,eth,0x065b877f46ac8d7ee7eacaf21b50d28753d86363131dfeb2218f5ff4e820ee56,https://etherscan.io/tx/0x065b877f46ac8d7ee7eacaf21b50d28753d86363131dfeb2218f5ff4e820ee56,receive,0x48d732e704b90d77af8ec46fcf5cd75e03afa208,,USDT,token,11792.517634,11798.708705757852,no,
05/07/2023,14:08:50,arb,0x83ccc9e3c43f50aa338e14e8ec403889b0045f00d25c2d80f86777b0c9afaca3,https://arbiscan.io/tx/0x83ccc9e3c43f50aa338e14e8ec403889b0045f00d25c2d80f86777b0c9afaca3,send,0xf89d7b9c864f589bbf53a82105107622b35eaa40,,USDT,token,-149.963793,-149.963043181035,no,0.1
05/07/2023,14:07:07,arb,0x55b73ace0fa9061d9e3eeac8fea2e48910ac0e137bbd52a01e118d473134185c,https://arbiscan.io/tx/0x55b73ace0fa9061d9e3eeac8fea2e48910ac0e137bbd52a01e118d473134185c,receive,0x48d732e704b90d77af8ec46fcf5cd75e03afa208,,USDT,token,149.963793,149.963043181035,no,
24/06/2023,20:43:32,bsc,0x6a127a82c4c37ebd287f681eca4481ed3281cf26a8e0179374f05c740326d551,https://bscscan.com/tx/0x6a127a82c4c37ebd287f681eca4481ed3281cf26a8e0179374f05c740326d551,send,0xf89d7b9c864f589bbf53a82105107622b35eaa40,,USDT,token,-522.4618,-522.762215535,no,0.02
24/06/2023,20:35:06,bsc,0xc36aa8e9e101cd695d4cb71c4a827b451f47cd4e84467dc978608c3b20983ecb,https://bscscan.com/tx/0xc36aa8e9e101cd695d4cb71c4a827b451f47cd4e84467dc978608c3b20983ecb,receive,0x85f1e3657528a803fff2c90e5d26293c6116da60,,USDT,token,522.4618,522.762215535,no,
