Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
28/06/2023,23:24:23,eth,0xf0beb6e262b325cb503a344c937f11decbb155c11ab102450385036868852388,https://etherscan.io/tx/0xf0beb6e262b325cb503a344c937f11decbb155c11ab102450385036868852388,send,0x4166be12d9693440a86b301638e33ec92ef60f80,,ETH,token,-0.11514988703200298,-210.4974479911124,no,0.82
28/06/2023,23:22:11,eth,0x319cffcc8eb36eb97247762067280cf4dbee5e0f02e8488cb8d5eb5453cb1899,https://etherscan.io/tx/0x319cffcc8eb36eb97247762067280cf4dbee5e0f02e8488cb8d5eb5453cb1899,Contract Interaction,0x6176294685c66de20b312d57463dcf63338d65be,,,,,,no,0.96
28/06/2023,23:21:23,eth,0x38a40703280fe5b84444c818b29be310c13a1204871b135b759e42859018c19a,https://etherscan.io/tx/0x38a40703280fe5b84444c818b29be310c13a1204871b135b759e42859018c19a,send,0x4166be12d9693440a86b301638e33ec92ef60f80,,USDC,token,-14246.413568,-14247.8382093568,no,3.17
15/06/2023,09:58:11,eth,0xcab8c0b741fe80e9a2cc20415a997384ce537ab4dc2048055211ea1dbdd05de3,https://etherscan.io/tx/0xcab8c0b741fe80e9a2cc20415a997384ce537ab4dc2048055211ea1dbdd05de3,uniswapV3Swap,0x1111111254eeb25477b68fb85ed929f73a960582,1inch,USDC,token,14246.413568,14259.235340211198,no,7.69
,,,,,,,,USDT,token,-14287.211031,-14272.852383913845,,
15/06/2023,09:57:47,eth,0x455c59fabae95ed95170efeed3425664b183c7ea5edf77c5405da5f38afc2473,https://etherscan.io/tx/0x455c59fabae95ed95170efeed3425664b183c7ea5edf77c5405da5f38afc2473,approve,0x1111111254eeb25477b68fb85ed929f73a960582,1inch,,,,,no,1.66
11/03/2023,17:01:23,eth,0xed65ea4a9202207290cd0451453fecae094b63dec8e8176835d20a584e58aa67,https://etherscan.io/tx/0xed65ea4a9202207290cd0451453fecae094b63dec8e8176835d20a584e58aa67,execute,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,Uniswap V3,USDT,token,14287.211031,14287.211031,no,9.45
,,,,,,,,ETH,token,-10,-14254.9,,
30/12/2022,12:05:11,eth,0xce773a2355bc349f4616cc92d69d964c999799df0b7d9b24af9ed2eca542497f,https://etherscan.io/tx/0xce773a2355bc349f4616cc92d69d964c999799df0b7d9b24af9ed2eca542497f,Contract Interaction,0x484983dab7d7a1bd87e767386c3b9575f3181bc9,,,,,,no,
30/12/2022,11:59:11,eth,0xb156b60afe5b87b7c2783a6a19a28d779f3b1efa432a5202b2892e72a27ba313,https://etherscan.io/tx/0xb156b60afe5b87b7c2783a6a19a28d779f3b1efa432a5202b2892e72a27ba313,Contract Interaction,0xf570f2b89ce1a549dd5492ef5b175489b817d535,,,,,,no,
