Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
14/12/2023,13:24:11,eth,0x5f5c6c59b172f174787966d61872cb4e9e8aced16a226f7b58b6a1eb1762d5b9,https://etherscan.io/tx/0x5f5c6c59b172f174787966d61872cb4e9e8aced16a226f7b58b6a1eb1762d5b9,mintTokens,0xf9dbd455aafc397c1559377683016973f21ba0b8,,,,,,no,1.94
14/12/2023,13:23:47,eth,0x612b41e852a6fac0c90777fffa00fe227a06d37427abba172e233b73c6ba83a5,https://etherscan.io/tx/0x612b41e852a6fac0c90777fffa00fe227a06d37427abba172e233b73c6ba83a5,mint,0x4873528341d33ec918c7465f244491acb75bc95f,,,,,,no,2.14
09/07/2023,00:20:05,op,0x9d0d1f8a1a239a8024e69f556e9a729ad9c504c744001e8f101a9b6ec7955e1b,https://optimistic.etherscan.io/tx/0x9d0d1f8a1a239a8024e69f556e9a729ad9c504c744001e8f101a9b6ec7955e1b,receive,0xb69c8cbcd90a39d8d3d3ccf0a3e968511c3856a0,Stargate,ETH,token,0.00619628,11.5575493072,no,
09/07/2023,00:19:25,arb,0xad8d5999d37e43389043bc3abe502c5d21253a12bbde7b44a6017934faa7a722,https://arbiscan.io/tx/0xad8d5999d37e43389043bc3abe502c5d21253a12bbde7b44a6017934faa7a722,swapETH,0xbf22f0f184bccbea268df387a49ff5238dd23e40,Stargate,ETH,token,-0.006645248275025214,-12.39498289250803,no,0.18
26/06/2023,00:38:26,era,0x3b5fb92bd42b68cc191842e2cde2c0a2c46d110f11f38a7b23db178904f46a40,https://era.zksync.network/tx/0x3b5fb92bd42b68cc191842e2cde2c0a2c46d110f11f38a7b23db178904f46a40,crossChain,0x0bf0d6260fb4f4fc77b143eaff9e4fe51dd08c83,Merkly,ETH,token,-0.000010573910829261,-0.020077741882600784,no,0.29
26/06/2023,00:38:19,era,0x014a92aee60f853c95fad5c2d6ca0e85a3fd8862cc67bd3ea9d6281a6e5317fc,https://era.zksync.network/tx/0x014a92aee60f853c95fad5c2d6ca0e85a3fd8862cc67bd3ea9d6281a6e5317fc,mint,0x0bf0d6260fb4f4fc77b143eaff9e4fe51dd08c83,Merkly,ETH,token,-0.0004,-0.75952,no,0.14
04/06/2023,16:56:21,era,0xbdc6aa9af94680980ac0f8fd73b337b3808f50b849e40773da68fcba876c8bf3,https://era.zksync.network/tx/0xbdc6aa9af94680980ac0f8fd73b337b3808f50b849e40773da68fcba876c8bf3,multicall,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,iZi,token,-1152.5755175704187,-28.245224321101848,no,0.48
04/06/2023,16:55:33,era,0x11045d98ce91c669a34c27860a844ba1f706b56f1d47025484d6c52c90cde038,https://era.zksync.network/tx/0x11045d98ce91c669a34c27860a844ba1f706b56f1d47025484d6c52c90cde038,approve,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,,,,,no,0.18
04/06/2023,16:54:55,era,0x7e957d09c48b5d9b60a1eb08952115ff5fdd038db7205fe45197cd340e7e1dba,https://era.zksync.network/tx/0x7e957d09c48b5d9b60a1eb08952115ff5fdd038db7205fe45197cd340e7e1dba,multicall,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,iZi,token,1152.575632827982,28.24522714562456,no,0.54
,,,,,,,,ETH,token,-0.01532,-28.954953200000002,,
