Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
06/12/2023,04:02:00,xdai,0xe76b0159aea7e03f2a06992d6004894e565a0d0d28cb257d99a3505b2ef4538e,https://gnosisscan.io/tx/0xe76b0159aea7e03f2a06992d6004894e565a0d0d28cb257d99a3505b2ef4538e,airdrop,0x901b624e3263525bedc66913ec4a73de3d0e1225,,USDC,token,10,0,no,
08/07/2023,22:51:21,era,0x5345f68a23bedd671809725ee02ac4512b308dc57587e09dd7c2ade6194b5158,https://era.zksync.network/tx/0x5345f68a23bedd671809725ee02ac4512b308dc57587e09dd7c2ade6194b5158,swapExactTokensForTokens,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,BUSD,token,82.76310653388944,82.74655391258267,no,0.24
,,,,,,,,USDC,token,-82.939436,-82.939436,,
08/07/2023,22:50:30,era,0x6a184bbae59d16b70fea635f89c031b6b5b887418d0b5ba77421ee5415bd4f5d,https://era.zksync.network/tx/0x6a184bbae59d16b70fea635f89c031b6b5b887418d0b5ba77421ee5415bd4f5d,approve,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,,,,,no,0.12
08/07/2023,22:48:12,era,0x0cfaabcf48824ea5b6d80556db43382eec4e7fc1f945c45a5e902ad62ea158ce,https://era.zksync.network/tx/0x0cfaabcf48824ea5b6d80556db43382eec4e7fc1f945c45a5e902ad62ea158ce,swapExactETHForTokens,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,USDC,token,82.939436,82.939436,no,0.19
,,,,,,,,ETH,token,-0.045,-83.9358,,
28/06/2023,16:57:56,era,0x88794eb0472bf8581d5317bcf6524ffed7359a9f86d36174a0fbe9ea1e558711,https://era.zksync.network/tx/0x88794eb0472bf8581d5317bcf6524ffed7359a9f86d36174a0fbe9ea1e558711,swapExactTokensForETH,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,USDC,token,-2.767154,-2.7674307154,no,0.29
28/06/2023,16:57:19,era,0xe704be41132851d8968373cdc7ccfa018f1470c49cd0f99a83a243e2ef558f52,https://era.zksync.network/tx/0xe704be41132851d8968373cdc7ccfa018f1470c49cd0f99a83a243e2ef558f52,approve,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,,,,,no,0.16
25/06/2023,21:32:27,era,0xaa58345bfb38b4b0e0a59c4d265ee7a76e5a6aef876828eced2d2ebd320022e2,https://era.zksync.network/tx/0xaa58345bfb38b4b0e0a59c4d265ee7a76e5a6aef876828eced2d2ebd320022e2,withdraw,0x5aea5775959fbc2557cc8789bc1bf90a239d9a91,,WETH,token,-0.04826317191258904,-91.64211082762407,no,0.08
25/06/2023,21:32:08,era,0x47adbbb8a7473127a4b43d504423de2a8f0827fdff1ed398a42c4f0d962ca449,https://era.zksync.network/tx/0x47adbbb8a7473127a4b43d504423de2a8f0827fdff1ed398a42c4f0d962ca449,swap,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,WETH,token,0.04826317191258904,91.64211082762407,no,0.22
