Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
10/03/2024,00:28:47,bsc,0x6a8fdb71b13b525d0f5ca9b872e04ddd05c1d146933ec1ebc7b3a00e99f204b0,https://bscscan.com/tx/0x6a8fdb71b13b525d0f5ca9b872e04ddd05c1d146933ec1ebc7b3a00e99f204b0,receive,0x74958e7e1dd4ff604dd57069e9f332bef126b585,,SHL,token,245,0.0007984671552987548,no,
28/02/2024,00:23:57,matic,0x4414133bd42afd5235e4e8083faf284a863a3e5b2ba0f8b414f43b9e80d86fab,https://polygonscan.com/tx/0x4414133bd42afd5235e4e8083faf284a863a3e5b2ba0f8b414f43b9e80d86fab,createProfileWithHandle,0x0b5e6100243f793e480de6088de6ba70aa9f3872,Lens,lens,token,1,0,no,0.02
,,,,,,,,LPP,token,1,0,,
,,,,,,,,MATIC,token,-8,-8.22912,,
28/02/2024,00:23:21,matic,0x9f4b620531e7a15712d9d23933bf96c370f4faba99dbb74defec44437a9fed4e,https://polygonscan.com/tx/0x9f4b620531e7a15712d9d23933bf96c370f4faba99dbb74defec44437a9fed4e,receive,0x75dc8e5f50c8221a82ca6af64af811caa983b65f,LayerZero Labs,MATIC,token,15.375628,15.815985985920001,no,
28/02/2024,00:22:27,op,0x0cb3f6bc746ea7c06f11b202c082eb59b03542d7b7b141708413b07b6e9338b5,https://optimistic.etherscan.io/tx/0x0cb3f6bc746ea7c06f11b202c082eb59b03542d7b7b141708413b07b6e9338b5,bridgeGas,0xd7ba4057f43a7c4d4a34634b2a3151a60bf78f0d,Merkly,ETH,token,-0.005991588928692069,-19.430063820966225,no,0.41
25/02/2024,20:30:36,nova,0x669a861caf2b5e8cb539282d342f89f533fd15c4fe52943efb4b3cc62af5a771,https://nova.arbiscan.io/tx/0x669a861caf2b5e8cb539282d342f89f533fd15c4fe52943efb4b3cc62af5a771,receive,0x0000000000000000000000000000000000000000,,MERK,token,1,0,no,
25/02/2024,20:30:08,era,0x1919103926c520ae975db60e669eb43025f9ab0f2c8c078207da3aac880be752,https://era.zksync.network/tx/0x1919103926c520ae975db60e669eb43025f9ab0f2c8c078207da3aac880be752,sendFrom,0x6dd28c2c5b91dd63b4d4e78ecac7139878371768,,ETH,token,-0.0000532052858304,-0.16560677267570303,no,0.23
,,,,,,,,MERK,token,-1,0,,
25/02/2024,20:29:14,era,0x7e33da69fbc3a4613b3dab3b9c561a24888afd24dbdf8bbd24f9d0ae5bb0f190,https://era.zksync.network/tx/0x7e33da69fbc3a4613b3dab3b9c561a24888afd24dbdf8bbd24f9d0ae5bb0f190,mint,0x6dd28c2c5b91dd63b4d4e78ecac7139878371768,,MERK,token,1,0,no,0.2
,,,,,,,,ETH,token,-0.00027,-0.840402,,
