Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
08/07/2023,23:59:43,arb,0xa2d8613004073ed88bfc948c363870bd8d7fb88aca615b5a2a5117c2c9314f97,https://arbiscan.io/tx/0xa2d8613004073ed88bfc948c363870bd8d7fb88aca615b5a2a5117c2c9314f97,receive,0x82cbecf39bee528b5476fe6d1550af59a9db6fc0,Stargate,ETH,token,0.014991,27.96181284,no,
08/07/2023,23:58:43,op,0xbcc6d3a9bc172697fe01be58f0d3185cbdb54e242d19469439ceaab7ffae6944,https://optimistic.etherscan.io/tx/0xbcc6d3a9bc172697fe01be58f0d3185cbdb54e242d19469439ceaab7ffae6944,swapETH,0xb49c4e680174e331cb0a7ff3ab58afc9738d5f8b,Stargate,ETH,token,-0.015390913205666722,-28.707746947737796,no,0.06
05/07/2023,17:56:37,op,0x828220a005a67e215ed07da8bcc96e571adc917c29033d323d794936426f7e72,https://optimistic.etherscan.io/tx/0x828220a005a67e215ed07da8bcc96e571adc917c29033d323d794936426f7e72,receive,0xb69c8cbcd90a39d8d3d3ccf0a3e968511c3856a0,Stargate,ETH,token,0.009994,19.09213784,no,
05/07/2023,17:55:52,arb,0x7c5a7e05ee29632bfe7c0b9d14e2380b0cfc5d51ad9dfe7ce4f32744b80df6f2,https://arbiscan.io/tx/0x7c5a7e05ee29632bfe7c0b9d14e2380b0cfc5d51ad9dfe7ce4f32744b80df6f2,swapETH,0xbf22f0f184bccbea268df387a49ff5238dd23e40,Stargate,ETH,token,-0.011124894650100673,-21.25255374376632,no,0.41
05/07/2023,17:54:52,era,0xe51c0fa7f0491494ac25177f9b26e600cee2e2aff4020b3c7a6f57783112c673,https://era.zksync.network/tx/0xe51c0fa7f0491494ac25177f9b26e600cee2e2aff4020b3c7a6f57783112c673,swapExactETHForTokensSupportingFeeOnTransferTokens,0x8b791913eb07c32779a16750e3868aa8495f5964,Koi,USDC,token,19.05565,19.05565,no,0.97
,,,,,,,,ETH,token,-0.01,-19.1036,,
26/06/2023,00:30:24,era,0xe575f93125ba47c5e7feac4b541d63047a3f8a4f15653268d8c3ee5a88416699,https://era.zksync.network/tx/0xe575f93125ba47c5e7feac4b541d63047a3f8a4f15653268d8c3ee5a88416699,crossChain,0x0bf0d6260fb4f4fc77b143eaff9e4fe51dd08c83,Merkly,ETH,token,-0.000073881569949302,-0.14028632501973462,no,0.38
26/06/2023,00:30:19,era,0xb39f911325e459e87f772009910d737c4b64320d1924c015550fe88e9b6889a1,https://era.zksync.network/tx/0xb39f911325e459e87f772009910d737c4b64320d1924c015550fe88e9b6889a1,mint,0x0bf0d6260fb4f4fc77b143eaff9e4fe51dd08c83,Merkly,ETH,token,-0.0004,-0.75952,no,0.2
07/06/2023,19:17:03,era,0xccfeed95599018d9dea742f75d53f55c6baf4f071d963385bbe52c92810381c8,https://era.zksync.network/tx/0xccfeed95599018d9dea742f75d53f55c6baf4f071d963385bbe52c92810381c8,receive,0xee73323912a4e3772b74ed0ca1595a152b0ef282,,ETH,token,0.008342000000000023,15.28354504000004,no,
04/06/2023,16:42:03,era,0x4bc800d26100a9698c780d3c641d143d397f0a66543b1c98c95e54dccbc70bf5,https://era.zksync.network/tx/0x4bc800d26100a9698c780d3c641d143d397f0a66543b1c98c95e54dccbc70bf5,multicall,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,iZi,token,-1053.0230329825993,-25.80557310863004,no,0.53
