Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
04/04/2024,12:24:46,era,0x87502f2a0e92fad15fb84457a9a222fd73bd712cb85fb22a1cbc9d8cd132077f,https://era.zksync.network/tx/0x87502f2a0e92fad15fb84457a9a222fd73bd712cb85fb22a1cbc9d8cd132077f,bulkSendCoinWithSameValue,0x4689d728abb340b4139f6d5182af7c579b7645ae,,LONG,token,0.888888,0.000004042019901762905,no,
10/03/2024,20:33:32,matic,0x748bdac7f98397a43f5cbb18f7a63c3f6bf916c86ed7970d4b3c801d98cad2a3,https://polygonscan.com/tx/0x748bdac7f98397a43f5cbb18f7a63c3f6bf916c86ed7970d4b3c801d98cad2a3,receive,0x060efea74761591fe7059efc2e2624ee787c9a31,,KC,token,1.96,0.000585349683839033,no,
11/01/2024,23:03:00,era,0x59bfd1f378317913b9fae23f9940e8a9ee4f03f055a3cc5c244714220052c2c1,https://era.zksync.network/tx/0x59bfd1f378317913b9fae23f9940e8a9ee4f03f055a3cc5c244714220052c2c1,swapAmount,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,USDC,token,252.650326,252.650326,no,0.22
,,,,,,,,BUSD,token,-253.02580147899042,-252.26522751668327,,
11/01/2024,23:02:54,era,0x432a3ecdb203a5ac64dcb5bf0e01ca95fe9b5c05e70a9a6b3be7bf9eb2ce0bba,https://era.zksync.network/tx/0x432a3ecdb203a5ac64dcb5bf0e01ca95fe9b5c05e70a9a6b3be7bf9eb2ce0bba,approve,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,,,,,no,0.09
11/01/2024,23:02:32,era,0x6c25238a6db1adca458a31ba0f156826d60789a868e0ee5a65ef44f3e5c5d1e4,https://era.zksync.network/tx/0x6c25238a6db1adca458a31ba0f156826d60789a868e0ee5a65ef44f3e5c5d1e4,multicall,0x936c9a1b8f88bfdbd5066ad08e5d773bc82eb15f,iZUMi Finance,USDC,token,255.314191,255.314191,no,0.37
,,,,,,,,BUSD,token,253.02582678157353,252.26525274320898,,
06/08/2023,23:08:24,ftm,0xcf2131474eba25987ec42eedf4ec35176fa7a4cefc682de4ea353c37123ec144,https://ftmscan.com/tx/0xcf2131474eba25987ec42eedf4ec35176fa7a4cefc682de4ea353c37123ec144,Contract Interaction,0x52eea5c490fb89c7a0084b32feab854eeff07c82,LayerZero Labs,USDC,token,105.89163,106.2353482666185,no,
,,,,,,,,FTM,token,6.32,1.4997360000000002,,
06/08/2023,23:08:00,arb,0xfdba9e2e5f503413499fc67607a3625152f2d01ceea9d827c93b3d121c820262,https://arbiscan.io/tx/0xfdba9e2e5f503413499fc67607a3625152f2d01ceea9d827c93b3d121c820262,swap,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,Stargate,ETH,token,-0.001594760416001592,-2.918858094199394,no,0.21
,,,,,,,,USDC,token,-106.001453,-106.1498550342,,
06/08/2023,23:07:55,arb,0x001beac5bb937fc05cb3333e545f6801607a0d11974c93e98f92c1f2ad79aa80,https://arbiscan.io/tx/0x001beac5bb937fc05cb3333e545f6801607a0d11974c93e98f92c1f2ad79aa80,approve,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,Stargate,,,,,no,0.06
06/08/2023,23:07:31,arb,0x157db925fc5d652823240cacdc2b63e396ba6efeebfd7fa50cf4373a20de9f25,https://arbiscan.io/tx/0x157db925fc5d652823240cacdc2b63e396ba6efeebfd7fa50cf4373a20de9f25,instantRedeemLocal,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,Stargate,USDC,token,106.001453,106.1498550342,no,0.08
,,,,,,,,S*USDC,token,-105.829688,-106.14997760055729,,
06/08/2023,23:07:17,arb,0x0698651b9da0f7ad76ea1bb8f2f375f847ab402b4d3a777a3afe539ded6ca205,https://arbiscan.io/tx/0x0698651b9da0f7ad76ea1bb8f2f375f847ab402b4d3a777a3afe539ded6ca205,withdraw,0xea8dfee1898a7e0a59f7527f076106d7e44c2176,Stargate,S*USDC,token,105.829688,106.14997760055729,no,0.07
,,,,,,,,STG,token,0.691355764218148,0.43645289395091685,,
06/08/2023,23:06:25,era,0x2e449fdaa982fc2a6b8f0c171bc4bfd5655de859a842963bc7d590b532a97c90,https://era.zksync.network/tx/0x2e449fdaa982fc2a6b8f0c171bc4bfd5655de859a842963bc7d590b532a97c90,swapExactETHForTokens,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,USD+,token,10.018154,10.031874878619934,no,0.33
,,,,,,,,ETH,token,-0.0056,-10.249568,,
