Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
11/05/2024,12:24:11,eth,0x625fa7a2a2d46710b4be7188c9faf52873d2f9722c1e151a6d6f122c03efab45,https://etherscan.io/tx/0x625fa7a2a2d46710b4be7188c9faf52873d2f9722c1e151a6d6f122c03efab45,depositIntoStrategy,0x858646372cc42e1a627fce94aa7a7033e7cf075a,EigenLayer,EIGEN,token,-301.568607269935,0,no,3.11
11/05/2024,12:23:59,eth,0xcbd58ee512ea97a0b6590a30aece8f168f2c26d969cefaaa91edaa5b1a345cbb,https://etherscan.io/tx/0xcbd58ee512ea97a0b6590a30aece8f168f2c26d969cefaaa91edaa5b1a345cbb,approve,0x858646372cc42e1a627fce94aa7a7033e7cf075a,EigenLayer,,,,,no,0.83
11/05/2024,12:23:11,eth,0x1b4e65995fa2118347a14afd2d051ecb1ef61d941f982c999c20a0b108923648,https://etherscan.io/tx/0x1b4e65995fa2118347a14afd2d051ecb1ef61d941f982c999c20a0b108923648,claim,0x035bdaeab85e47710c27eda7fd754ba80ad4ad02,EigenLayer,EIGEN,token,301.568607269935,0,no,1.87
10/05/2024,14:35:49,base,0x672eb5e9374e96cf53bd0c157cf8289ac033d3069f4095792590b6aa012d8904,https://www.basescan.org/tx/0x672eb5e9374e96cf53bd0c157cf8289ac033d3069f4095792590b6aa012d8904,airdropERC20,0x09350f89e2d7b6e96ba730783c2d76137b045fef,,Boe,token,0.69,0.0005297001367344764,no,
02/05/2024,20:51:09,base,0xbcc64e42afd95c29e8a09781fa5c89bc29dd0dc5ca0a9a261f5e5935161d5e12,https://www.basescan.org/tx/0xbcc64e42afd95c29e8a09781fa5c89bc29dd0dc5ca0a9a261f5e5935161d5e12,airdropERC20,0x09350f89e2d7b6e96ba730783c2d76137b045fef,,BOOMER,token,0.0168,0.0006004132463591796,no,
28/04/2024,23:54:11,eth,0x2c61d17afdcb42695a7b1225f255578798dc0bc1d4318f0968fb9a22bc95aa33,https://etherscan.io/tx/0x2c61d17afdcb42695a7b1225f255578798dc0bc1d4318f0968fb9a22bc95aa33,send,0x7842022f145c368740d1a3d166238f8d793e4042,,ETH,token,-0.75,-2447.4525,no,0.37
28/04/2024,23:45:11,eth,0xe9335a921723f848cd415707fca84e4965e5676f34e7107758409466f7b3c80d,https://etherscan.io/tx/0xe9335a921723f848cd415707fca84e4965e5676f34e7107758409466f7b3c80d,swapTokensGeneric,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,ETH,token,0.11265693312642507,367.62999016346913,no,4.7
,,,,,,,,cbETH,token,-0.10567028800119496,-367.44782081799525,,
28/04/2024,23:44:35,eth,0x06b7046f57cddf0bcc2eb926a7480cbc90d2624b8e73dbf4aec31931c9213456,https://etherscan.io/tx/0x06b7046f57cddf0bcc2eb926a7480cbc90d2624b8e73dbf4aec31931c9213456,approve,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,,,,,no,1.03
28/04/2024,23:42:35,eth,0x447315204e458ae95ec7671060e1896aadf642abcffe672538b63e338b27eb27,https://etherscan.io/tx/0x447315204e458ae95ec7671060e1896aadf642abcffe672538b63e338b27eb27,swapTokensGeneric,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,ETH,token,0.5548371011084766,1810.5832669342585,no,4.59
