Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
06/05/2024,00:08:47,eth,0x6242ad2e1ca1af3e7856ecffee27df0b251134a3ca6fc1d24e741ad802264c0d,https://etherscan.io/tx/0x6242ad2e1ca1af3e7856ecffee27df0b251134a3ca6fc1d24e741ad802264c0d,send,0xcbaa4e4be8fba8fbee084071a1157e6de6adb1b4,,ETH,token,-0.00925,-29.011052499999998,no,0.32
25/06/2023,21:57:07,era,0x092f51e0309811f78c2d4c017a456433b1b5bfc6920f15a12834f53311f86a9e,https://era.zksync.network/tx/0x092f51e0309811f78c2d4c017a456433b1b5bfc6920f15a12834f53311f86a9e,swapExactTokensForTokens,0xd999e16e68476bc749a28fc14a0c3b6d7073f50c,Velocore,BUSD,token,93.96868375578681,93.94989001903566,no,0.25
,,,,,,,,USDC,token,-93.92633699999999,-93.88876646519999,,
25/06/2023,21:56:52,era,0x9bd3c37ab6db90a250605eb57e4bc8e1a41969d45a913d4e8513dcb8ebe1795e,https://era.zksync.network/tx/0x9bd3c37ab6db90a250605eb57e4bc8e1a41969d45a913d4e8513dcb8ebe1795e,approve,0xd999e16e68476bc749a28fc14a0c3b6d7073f50c,Velocore,,,,,no,0.1
25/06/2023,21:56:29,era,0x0f040ac84ac28101e65b96c730b890baaf861f6cd6e7b500d542d88a26a74992,https://era.zksync.network/tx/0x0f040ac84ac28101e65b96c730b890baaf861f6cd6e7b500d542d88a26a74992,swapExactTokensForTokens,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,USDC,token,93.926337,93.8887664652,no,0.29
,,,,,,,,BUSD,token,-94.28627187754536,-94.26741462316986,,
25/06/2023,21:55:57,era,0x2f03af67d2106aa397d70ed93aee21d2bdcd00d97b8eb24e44f1f6bbfb773e3f,https://era.zksync.network/tx/0x2f03af67d2106aa397d70ed93aee21d2bdcd00d97b8eb24e44f1f6bbfb773e3f,approve,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,,,,,no,0.09
25/06/2023,21:55:39,era,0x02ae8c03b282dfbe6282dab0f662076018ff29b9063454de4301952794fa0cc1,https://era.zksync.network/tx/0x02ae8c03b282dfbe6282dab0f662076018ff29b9063454de4301952794fa0cc1,multicall,0x39e098a153ad69834a9dac32f0fca92066ad03f4,Maverick,BUSD,token,94.28627187754536,94.26741462316986,no,0.3
,,,,,,,,USDC,token,-94.201139,-94.1634585444,,
25/06/2023,21:55:28,era,0x383faf96d393075523a1a93a96829b425e84bd18193c27be7ff657355841b7a6,https://era.zksync.network/tx/0x383faf96d393075523a1a93a96829b425e84bd18193c27be7ff657355841b7a6,approve,0x39e098a153ad69834a9dac32f0fca92066ad03f4,Maverick,,,,,no,0.1
