Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
09/07/2023,00:23:05,arb,0x321b2b64691f0b02172360c43eee260509624cbc748912c99b518e1519144d2a,https://arbiscan.io/tx/0x321b2b64691f0b02172360c43eee260509624cbc748912c99b518e1519144d2a,receive,0x82cbecf39bee528b5476fe6d1550af59a9db6fc0,Stargate,ETH,token,0.0169898,31.690054552,no,
09/07/2023,00:22:05,op,0xb1c56f8b969ca5e262f5735df489e15248d719459e087c61f2e1b99a78ffd270,https://optimistic.etherscan.io/tx/0xb1c56f8b969ca5e262f5735df489e15248d719459e087c61f2e1b99a78ffd270,swapETH,0xb49c4e680174e331cb0a7ff3ab58afc9738d5f8b,Stargate,ETH,token,-0.01739091320566672,-32.438226947737796,no,0.07
09/07/2023,00:21:31,op,0x2734c978cd9b49249e7afa476c8911265ede445c70ee721b6fcf7e5f9a49e445,https://optimistic.etherscan.io/tx/0x2734c978cd9b49249e7afa476c8911265ede445c70ee721b6fcf7e5f9a49e445,receive,0xb69c8cbcd90a39d8d3d3ccf0a3e968511c3856a0,Stargate,ETH,token,0.0139916,26.097691984,no,
09/07/2023,00:21:07,arb,0x010ff25f4e7f1764528f0902be186ba761e2b3c8aae89d8ae3f264d4ee125b02,https://arbiscan.io/tx/0x010ff25f4e7f1764528f0902be186ba761e2b3c8aae89d8ae3f264d4ee125b02,swapETH,0xbf22f0f184bccbea268df387a49ff5238dd23e40,Stargate,ETH,token,-0.014466351324067088,-26.983217143702895,no,0.18
26/06/2023,00:39:38,era,0x808dd691ab2d9a4e7e71d4c27174640332887f0a47d8b893749bfef01259f623,https://era.zksync.network/tx/0x808dd691ab2d9a4e7e71d4c27174640332887f0a47d8b893749bfef01259f623,crossChain,0x0bf0d6260fb4f4fc77b143eaff9e4fe51dd08c83,Merkly,ETH,token,-0.000010803528473439,-0.020513739865365973,no,0.32
26/06/2023,00:39:32,era,0x0740cdf8504501b995e57a8fc5c91a888e07060a4bacc403e09198f93c8a6ef3,https://era.zksync.network/tx/0x0740cdf8504501b995e57a8fc5c91a888e07060a4bacc403e09198f93c8a6ef3,mint,0x0bf0d6260fb4f4fc77b143eaff9e4fe51dd08c83,Merkly,ETH,token,-0.0004,-0.75952,no,0.2
12/06/2023,22:10:53,era,0x87584e0cb0f007c772d777fa6325a732003ad0dc537dd8c9f482648ec96a30f9,https://era.zksync.network/tx/0x87584e0cb0f007c772d777fa6325a732003ad0dc537dd8c9f482648ec96a30f9,multicall,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,iZi,token,-689.6642430143153,-13.903631139168597,no,0.2
12/06/2023,22:10:40,era,0x8dcacb0566d62beed5ef33fb8eebb7fb53acb383a0ffc14c9a8778741c3e5868,https://era.zksync.network/tx/0x8dcacb0566d62beed5ef33fb8eebb7fb53acb383a0ffc14c9a8778741c3e5868,approve,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,,,,,no,0.07
12/06/2023,22:10:27,era,0x51d24888cd0adb59671cd96a9b031241145669cab87233993b6cc6b0050699d7,https://era.zksync.network/tx/0x51d24888cd0adb59671cd96a9b031241145669cab87233993b6cc6b0050699d7,multicall,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,iZi,token,689.6642384241476,13.903631046630816,no,0.19
,,,,,,,,ETH,token,-0.009,-15.683129999999998,,
12/06/2023,22:10:08,era,0x0a7e1a308fdc354695aef1a9e71997a8840d290926e664311e531c1e885fc2da,https://era.zksync.network/tx/0x0a7e1a308fdc354695aef1a9e71997a8840d290926e664311e531c1e885fc2da,multicall,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,iZi,token,-735.5659048868927,-14.829008642519756,no,0.42
12/06/2023,22:09:56,era,0xa55a423d8db688b8cc484d257d291c89943b37fdea4f7171cf83927248db0359,https://era.zksync.network/tx/0xa55a423d8db688b8cc484d257d291c89943b37fdea4f7171cf83927248db0359,approve,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,,,,,no,0.1
12/06/2023,22:09:42,era,0x967e383a7cb6bb48d8bf5465892cb5e734494a4c1691093b8c880354ea7f0050,https://era.zksync.network/tx/0x967e383a7cb6bb48d8bf5465892cb5e734494a4c1691093b8c880354ea7f0050,multicall,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,iZi,token,735.5659784434918,14.829010125420794,no,0.26
,,,,,,,,ETH,token,-0.0096,-16.728672,,
03/06/2023,09:47:07,arb,0x919f2bf3f0b75bf45745906edc082da6effd337c6a563a4ca8ec2fd7d7bd0667,https://arbiscan.io/tx/0x919f2bf3f0b75bf45745906edc082da6effd337c6a563a4ca8ec2fd7d7bd0667,send,0xc353be9686570ebff1f749f77ee1a2ad52038280,,ETH,token,-5.26,-9952.182999999999,no,0.05
03/06/2023,09:44:35,arb,0xd0c609af2298e5686c3933a7e334dad9cd36d29e2273cf98a91cc21cab5542e8,https://arbiscan.io/tx/0xd0c609af2298e5686c3933a7e334dad9cd36d29e2273cf98a91cc21cab5542e8,instantRedeemLocal,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,Stargate,ETH,token,5.26,9952.182999999999,no,0.1
,,,,,,,,S*SGETH,token,-5.256271629205577,-9952.182999999999,,
03/06/2023,09:44:05,arb,0x185d45d1fec0a333ad72d4f86adea1d1cc0a159294fd31940ece0d8f51bc0386,https://arbiscan.io/tx/0x185d45d1fec0a333ad72d4f86adea1d1cc0a159294fd31940ece0d8f51bc0386,withdraw,0xea8dfee1898a7e0a59f7527f076106d7e44c2176,Stargate,S*SGETH,token,5.256271629205577,9952.182999999999,no,0.09
,,,,,,,,STG,token,0.0895103906326039,0.06077157679234662,,
02/06/2023,22:11:50,arb,0x0f2cdddc67d2af7557449b41b58b4aa59c3ffb98e0012b25d7dbac28e7d7ed83,https://arbiscan.io/tx/0x0f2cdddc67d2af7557449b41b58b4aa59c3ffb98e0012b25d7dbac28e7d7ed83,deposit,0xea8dfee1898a7e0a59f7527f076106d7e44c2176,Stargate,S*SGETH,token,-5.256271629205577,-10029.136799999998,no,0.11
02/06/2023,22:11:33,arb,0x67f022b8647db1210f45dc10e7546ef1ad8bd87a2c4094b6a59fac4ff542c33a,https://arbiscan.io/tx/0x67f022b8647db1210f45dc10e7546ef1ad8bd87a2c4094b6a59fac4ff542c33a,approve,0xea8dfee1898a7e0a59f7527f076106d7e44c2176,Stargate,,,,,no,0.1
02/06/2023,22:11:10,arb,0x5e4ffbf2c523c9ac43b85e211b9623e8539370f3bc23b2708a8dc9488a75580d,https://arbiscan.io/tx/0x5e4ffbf2c523c9ac43b85e211b9623e8539370f3bc23b2708a8dc9488a75580d,addLiquidityETH,0xbf22f0f184bccbea268df387a49ff5238dd23e40,Stargate,S*SGETH,token,5.256271629205577,10029.136799999998,no,0.1
,,,,,,,,ETH,token,-5.26,-10029.1368,,
02/06/2023,22:10:51,arb,0x7cdaab0a39ae9d89bb70a872341ded01336bc93e003da7bc093506536fea5a01,https://arbiscan.io/tx/0x7cdaab0a39ae9d89bb70a872341ded01336bc93e003da7bc093506536fea5a01,swap,0xdd94018f54e565dbfc939f7c44a16e163faab331,ODOS,ETH,token,0.06908180323755757,131.71689259698627,no,0.27
,,,,,,,,USDC,token,-131.853764,-131.8273932472,,
02/06/2023,22:10:40,arb,0x9ac6c1cba3bccf6d846a24f15cd589bf275d65db81a703d70dde28b1543f0de2,https://arbiscan.io/tx/0x9ac6c1cba3bccf6d846a24f15cd589bf275d65db81a703d70dde28b1543f0de2,approve,0xdd94018f54e565dbfc939f7c44a16e163faab331,ODOS,,,,,no,0.1
02/06/2023,22:09:47,arb,0x6a4cfa1f3007d044f22d6a8a11eb12b2460e5e7c02f7159642298ce0091a99cb,https://arbiscan.io/tx/0x6a4cfa1f3007d044f22d6a8a11eb12b2460e5e7c02f7159642298ce0091a99cb,receive,0x892785f33cdee22a30aef750f285e18c18040c3e,Stargate,USDC,token,131.853764,131.8273932472,no,
02/06/2023,22:08:44,arb,0xdf0c2098175f47229871e51f6bb4bdb997d40d41069da2c7e20f2b82637b7207,https://arbiscan.io/tx/0xdf0c2098175f47229871e51f6bb4bdb997d40d41069da2c7e20f2b82637b7207,swapTokensGeneric,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,ETH,token,0.027676338941104998,52.769921932226076,no,0.32
,,,,,,,,USDT,token,-52.894054,-52.91124456754999,,
02/06/2023,22:08:31,arb,0x2f123bf1932622bbfce6687dab6b0ffbb3adabf3773bc60ab0d1ef567624d41b,https://arbiscan.io/tx/0x2f123bf1932622bbfce6687dab6b0ffbb3adabf3773bc60ab0d1ef567624d41b,approve,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,,,,,no,0.1
02/06/2023,22:07:08,arb,0x0248249ef9b6490750c28163d6738728464b24ad2c776827b10f4a5d3fce7b50,https://arbiscan.io/tx/0x0248249ef9b6490750c28163d6738728464b24ad2c776827b10f4a5d3fce7b50,receive,0xb6cfcf89a7b22988bfc96632ac2a9d6dab60d641,Stargate,USDT,token,52.894054,52.91124456754999,no,
02/06/2023,21:35:17,matic,0xde407765854b1eea9bba62968f28198b6a09f23713d625746e0708424e6fd2f7,https://polygonscan.com/tx/0xde407765854b1eea9bba62968f28198b6a09f23713d625746e0708424e6fd2f7,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,MATIC,token,-1.0937017802072224,-0.9838175623498029,no,0.1
,,,,,,,,USDT,token,-131.985749,-132.02864436842498,,
02/06/2023,21:34:49,matic,0x5f0e6ed2d8c4ae770161c6e55717fa84d08ce499c56011f124de9c95d3bd1850,https://polygonscan.com/tx/0x5f0e6ed2d8c4ae770161c6e55717fa84d08ce499c56011f124de9c95d3bd1850,approve,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,,,,,no,0.01
02/06/2023,21:34:17,matic,0x6a05f5b6d3eb220134e486cba22368bc600a14fa960f545851730582a7a8638e,https://polygonscan.com/tx/0x6a05f5b6d3eb220134e486cba22368bc600a14fa960f545851730582a7a8638e,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,MATIC,token,-1.0937017802072224,-0.9838175623498029,no,0.07
,,,,,,,,USDC,token,-52.947,-52.9364106,,
02/06/2023,21:33:37,matic,0x012ee4b419383a1c9cf22d451f56f4d577e0eb4cd1bf90425a6ed477633932e6,https://polygonscan.com/tx/0x012ee4b419383a1c9cf22d451f56f4d577e0eb4cd1bf90425a6ed477633932e6,approve,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,,,,,no,0.01
02/06/2023,21:32:53,matic,0xb5652ca324b090657be38fd6c2c5a8574f7f2f801edae2ab09af1d4746ceb551,https://polygonscan.com/tx/0xb5652ca324b090657be38fd6c2c5a8574f7f2f801edae2ab09af1d4746ceb551,execute,0x4c60051384bd2d3c01bfc845cf5f4b44bcbe9de5,Uniswap V3,MATIC,token,5.56177066619152,5.002979567359258,no,0.05
,,,,,,,,USDT,token,-5,-5.001625,,
02/06/2023,21:32:37,matic,0x3af2ac4f369a7e3707a327dfd5a672a1ca97c5942ff63e9c542f7addee9be22e,https://polygonscan.com/tx/0x3af2ac4f369a7e3707a327dfd5a672a1ca97c5942ff63e9c542f7addee9be22e,approve,0x000000000022d473030f116ddee9f6b43ac78ba3,Uniswap Permit2,,,,,no,0.01
02/06/2023,21:22:21,matic,0x6511cf06b95dd5f9417afb32f6c393ae7aef3581f971c5336d8cd66721f09ff6,https://polygonscan.com/tx/0x6511cf06b95dd5f9417afb32f6c393ae7aef3581f971c5336d8cd66721f09ff6,Contract Interaction,0x75dc8e5f50c8221a82ca6af64af811caa983b65f,LayerZero Labs,USDT,token,136.985749,137.030269368425,no,
,,,,,,,,MATIC,token,0.12769615656648925,0.11486652371625408,,
02/06/2023,21:21:59,matic,0xf772351156130356f99525d7ddcddc54a0ad9c10087f44eb78a212d283366336,https://polygonscan.com/tx/0xf772351156130356f99525d7ddcddc54a0ad9c10087f44eb78a212d283366336,Contract Interaction,0x75dc8e5f50c8221a82ca6af64af811caa983b65f,LayerZero Labs,USDC,token,52.947,52.9364106,no,
,,,,,,,,MATIC,token,0.12769615656648925,0.11486652371625408,,
02/06/2023,21:21:31,avax,0x183b1fcfdfcac8a8cb863baffb6cf1551f6bae209c65ab034e4de50373e8afac,https://snowscan.xyz/tx/0x183b1fcfdfcac8a8cb863baffb6cf1551f6bae209c65ab034e4de50373e8afac,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,AVAX,token,-0.03585067575116475,-0.5194762916343771,no,0.15
,,,,,,,,USDt,token,-137.20588,-137.250471911,,
02/06/2023,21:21:03,avax,0x0c594d22f2d8dbdbaa840594da7099ccd9e275e5a48cf0de3d19c42a987f0804,https://snowscan.xyz/tx/0x0c594d22f2d8dbdbaa840594da7099ccd9e275e5a48cf0de3d19c42a987f0804,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,AVAX,token,-0.03585067575116475,-0.5194762916343771,no,0.15
,,,,,,,,USDt,token,-53,-53.017224999999996,,
02/06/2023,21:20:54,avax,0xcc6e0f28be814f3edd3918f5f78b06066d88e21126f2a45c662c231ceb0b97c0,https://snowscan.xyz/tx/0xcc6e0f28be814f3edd3918f5f78b06066d88e21126f2a45c662c231ceb0b97c0,approve,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,,,,,no,0.02
02/06/2023,21:20:30,avax,0x2a0f4159f38b191e623ebcf0d031df1dd5869e929776f6b7d34a0ea4911826d5,https://snowscan.xyz/tx/0x2a0f4159f38b191e623ebcf0d031df1dd5869e929776f6b7d34a0ea4911826d5,receive,0x29e38769f23701a2e4a8ef0492e19da4604be62c,Stargate,USDt,token,27.940044,27.9491245143,no,
02/06/2023,21:20:09,avax,0x678abbf15de9b1f6ff0f1150215c76316ffa8323878c4e33c24b5ae957450cd0,https://snowscan.xyz/tx/0x678abbf15de9b1f6ff0f1150215c76316ffa8323878c4e33c24b5ae957450cd0,receive,0x29e38769f23701a2e4a8ef0492e19da4604be62c,Stargate,USDt,token,16.979992,16.985510497399996,no,
02/06/2023,21:19:13,bsc,0x952ebb5e884d38b48141b82787a63a658c621cb6c6e30fb8af523ec33f0463ce,https://bscscan.com/tx/0x952ebb5e884d38b48141b82787a63a658c621cb6c6e30fb8af523ec33f0463ce,swap,0x4a364f8c717caad9a442737eb7b8a55cc6cf18d8,Stargate,BNB,token,-0.001441851021172904,-0.44309523731664513,no,0.27
,,,,,,,,USDT,token,-27.973,-27.982091224999998,,
