Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
15/05/2024,14:55:02,zklink,0xca6bdec4d4943a9985dfe537506819f4a80afe7b3df2ae350f75f135cb75fded,https://explorer.zklink.io/tx/0xca6bdec4d4943a9985dfe537506819f4a80afe7b3df2ae350f75f135cb75fded,fulfillBasicOrder_efficient_6GL6yc,0xe480aefb2594f888d7b343b524542b9a7c06ecd6,AlienSwap,ETH,token,0.27249,0,no,
,,,,,,,,LYNKS,token,-1,0,,
15/05/2024,13:30:41,zklink,0xbca3f6156e44612e4fd67f473eacd537d54bf6b56fe30f71c80871b0992599d4,https://explorer.zklink.io/tx/0xbca3f6156e44612e4fd67f473eacd537d54bf6b56fe30f71c80871b0992599d4,setApprovalForAll,0xd6d05cbdb8a70d3839166926f1b14d74d9953a08,,ETH,token,-0.00001523137500000001,0,no,0.05
10/05/2024,19:34:35,eth,0x22f8a71940e72eef67bb2f00ca13180ddb2012c6526002100e1e025d3a0ed0f5,https://etherscan.io/tx/0x22f8a71940e72eef67bb2f00ca13180ddb2012c6526002100e1e025d3a0ed0f5,claim,0x035bdaeab85e47710c27eda7fd754ba80ad4ad02,EigenLayer,EIGEN,token,410.152362107335,0,no,6.93
03/05/2024,22:36:43,base,0x57faaf8968798d4b24ac408d53eab4193e3af31a56df97323a2b0a3e91e1ee9b,https://www.basescan.org/tx/0x57faaf8968798d4b24ac408d53eab4193e3af31a56df97323a2b0a3e91e1ee9b,airdropERC20,0x09350f89e2d7b6e96ba730783c2d76137b045fef,,BOOMER,token,0.0168,0.0007348108338866626,no,
02/05/2024,13:53:07,zklink,0xa7edd7537c37ed36e76ae6970013827646be0bc7f0a73bde3eae18fa510d9216,https://explorer.zklink.io/tx/0xa7edd7537c37ed36e76ae6970013827646be0bc7f0a73bde3eae18fa510d9216,loop,0x59c1da000f91a238fdb508e601fd871e409e5a9e,LayerBank,lpufETH,token,1.6146018644757296,5032.189310140715,no,0.02
,,,,,,,,ETH,token,-0.000007956740999999793,0,,
,,,,,,,,pufETH,token,-1.023,-3188.608497771646,,
02/05/2024,13:52:33,zklink,0xacacda9d6e3e5b8f5d4801c1c5005bfb470bbb03530bf2445e9e6c8a83cbe0e4,https://explorer.zklink.io/tx/0xacacda9d6e3e5b8f5d4801c1c5005bfb470bbb03530bf2445e9e6c8a83cbe0e4,approve,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,,ETH,token,-0.0000016660930000000017,0,no,0
04/04/2024,16:45:50,zklink,0x8fad662d11b048a628b2a0c616df3e3118571e1a6c8b4f64205e62050c5ad4db,https://explorer.zklink.io/tx/0x8fad662d11b048a628b2a0c616df3e3118571e1a6c8b4f64205e62050c5ad4db,Contract Interaction,0xe9c53534808388ad8d9a1b8fc5812b5c2185ebfd,,,token,1,0,no,
