Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
09/07/2023,01:31:24,arb,0xd63f70e020883017142e80ccb060add8c538cd551c8212b7cd9c32c36ed6a848,https://arbiscan.io/tx/0xd63f70e020883017142e80ccb060add8c538cd551c8212b7cd9c32c36ed6a848,receive,0x646592183ff25a0c44f09896a384004778f831ed,,ETH,token,0.02107800000000003,39.31552872000006,no,
09/07/2023,00:18:53,op,0xac1b2cac85eef83c44c25ce330b5e3e02bc32476ea7f709cca727b54a42ec305,https://optimistic.etherscan.io/tx/0xac1b2cac85eef83c44c25ce330b5e3e02bc32476ea7f709cca727b54a42ec305,receive,0xb69c8cbcd90a39d8d3d3ccf0a3e968511c3856a0,Stargate,ETH,token,0.00229862,4.2874779688,no,
09/07/2023,00:18:23,arb,0xf043184fb818d9db2c5407ac869d64897d4e6c60b10e5f95a6a5190dfa2e6d5d,https://arbiscan.io/tx/0xf043184fb818d9db2c5407ac869d64897d4e6c60b10e5f95a6a5190dfa2e6d5d,swapETH,0xbf22f0f184bccbea268df387a49ff5238dd23e40,Stargate,ETH,token,-0.002745248275025214,-5.12054689250803,no,0.18
09/07/2023,00:15:15,era,0xf03d85559804050cfffa3f259a7e3451694dbc719539856eaac8974368d525dd,https://era.zksync.network/tx/0xf03d85559804050cfffa3f259a7e3451694dbc719539856eaac8974368d525dd,send,0x80c67432656d59144ceff962e8faf8926599bcf8,,ETH,token,-0.022408000000009,-41.79629792001679,no,0.11
26/06/2023,00:36:48,era,0x7bc2e6029fb9bbbabd4271646500c159f7ddb67678f3bccf30c3fbe4c618004e,https://era.zksync.network/tx/0x7bc2e6029fb9bbbabd4271646500c159f7ddb67678f3bccf30c3fbe4c618004e,crossChain,0x0bf0d6260fb4f4fc77b143eaff9e4fe51dd08c83,Merkly,ETH,token,-0.000073881569949302,-0.14028632501973462,no,0.29
26/06/2023,00:36:43,era,0x5936fe3c8fe5a4ac5b5ef0d8988b935705886b8511778efd65f66a4ce9a17f0f,https://era.zksync.network/tx/0x5936fe3c8fe5a4ac5b5ef0d8988b935705886b8511778efd65f66a4ce9a17f0f,mint,0x0bf0d6260fb4f4fc77b143eaff9e4fe51dd08c83,Merkly,ETH,token,-0.0004,-0.75952,no,0.1
07/06/2023,19:15:16,era,0x4d82802b4d6be69e7cec2614ac54a340087fc76779743a0033791fff3507d13d,https://era.zksync.network/tx/0x4d82802b4d6be69e7cec2614ac54a340087fc76779743a0033791fff3507d13d,receive,0xee73323912a4e3772b74ed0ca1595a152b0ef282,,ETH,token,0.005812000000000024,10.648281440000043,no,
04/06/2023,17:13:46,op,0xd62463082a05abd4cb9c8de9787bcf4943713d7c0a8abf371a2ffd7ec8c2d970,https://optimistic.etherscan.io/tx/0xd62463082a05abd4cb9c8de9787bcf4943713d7c0a8abf371a2ffd7ec8c2d970,receive,0xb69c8cbcd90a39d8d3d3ccf0a3e968511c3856a0,Stargate,ETH,token,0.0009994,1.8888759939999997,no,
04/06/2023,16:53:03,era,0xa3075c01afbb8d4069bf79ae39014effdb8d0d76b612caefafeec780170a2e2a,https://era.zksync.network/tx/0xa3075c01afbb8d4069bf79ae39014effdb8d0d76b612caefafeec780170a2e2a,multicall,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,iZi,token,-1142.447945177834,-27.9970361983316,no,0.68
04/06/2023,16:52:46,era,0xf67d0d80710ccbc85cf1e8c8aa0b7769af01bbc5b9ec8662f8fdf8323503bf44,https://era.zksync.network/tx/0xf67d0d80710ccbc85cf1e8c8aa0b7769af01bbc5b9ec8662f8fdf8323503bf44,approve,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,,,,,no,0.18
04/06/2023,16:52:00,era,0x2d419fbd3690eb99f12c5467aa0b9fa27dc896d41f24e5a2abd47fafdccf0d4a,https://era.zksync.network/tx/0x2d419fbd3690eb99f12c5467aa0b9fa27dc896d41f24e5a2abd47fafdccf0d4a,swapAmount,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,iZi,token,1142.4480594226427,27.997038998035563,no,0.83
,,,,,,,,USDC,token,-28.887842,-28.8791756474,,
04/06/2023,16:51:39,era,0xb8f2866dec3e3034eb7b2c60606cb5b299e024eca6599a77a8b6df6ae7fd15b0,https://era.zksync.network/tx/0xb8f2866dec3e3034eb7b2c60606cb5b299e024eca6599a77a8b6df6ae7fd15b0,approve,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,,,,,no,0.13
04/06/2023,16:51:27,era,0x0a9ac9a06e2526c8aeb6ba7c163c4a2ed57526f995d5e25ded262162cc76e064,https://era.zksync.network/tx/0x0a9ac9a06e2526c8aeb6ba7c163c4a2ed57526f995d5e25ded262162cc76e064,multicall,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,USDC,token,28.887844,28.879177646800002,no,0.36
,,,,,,,,ETH,token,-0.01521,-28.747052099999998,,
04/06/2023,16:50:37,arb,0xd69e1c4fbdfded09d1ba0dc4626e81a19b31df9aad6a1ce2bb1c89f2b0016908,https://arbiscan.io/tx/0xd69e1c4fbdfded09d1ba0dc4626e81a19b31df9aad6a1ce2bb1c89f2b0016908,swapETH,0xbf22f0f184bccbea268df387a49ff5238dd23e40,Stargate,ETH,token,-0.001704831150537224,-3.2221479228268586,no,0.24
04/06/2023,16:50:16,era,0xd119a34d89877552e9ee3d53e83a7739e029608cbfdaaf65497f57e2419a70dd,https://era.zksync.network/tx/0xd119a34d89877552e9ee3d53e83a7739e029608cbfdaaf65497f57e2419a70dd,receive,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,,ETH,token,0.010000000000000016,18.90010000000003,no,
04/06/2023,16:50:08,arb,0x0e5a44e126738e469c82d9ee7dd36e9a7c0dbc4a39b856bb0999eee68144087a,https://arbiscan.io/tx/0x0e5a44e126738e469c82d9ee7dd36e9a7c0dbc4a39b856bb0999eee68144087a,send,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,,ETH,token,-0.011600000000009015,-21.924116000017037,no,0.06
02/06/2023,19:49:11,arb,0x648f7f054c977d0f58cade1647ca650d0a787b3154b56fa05842b0f37e5157e6,https://arbiscan.io/tx/0x648f7f054c977d0f58cade1647ca650d0a787b3154b56fa05842b0f37e5157e6,send,0xaabc8eb88c6bc48e2cc9e7decc604135934973ad,,ETH,token,-5.43,-10353.2724,no,0.08
