Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
16/05/2024,14:58:43,bsc,0xda19570a443971cf0c0ed0109b4db1b5f8a80fdde8bfc98e5e62cce57108f147,https://bscscan.com/tx/0xda19570a443971cf0c0ed0109b4db1b5f8a80fdde8bfc98e5e62cce57108f147,receive,0xbfdafef71f2dedf06f6fd29d877caf716ae52bc8,,Sorai,token,100,69.33388856487515,no,
07/04/2024,20:48:40,matic,0x8cc25bc6102910b1995b0ba67e764918101ffe8176c5fd1db7cd94f2f37f73b5,https://polygonscan.com/tx/0x8cc25bc6102910b1995b0ba67e764918101ffe8176c5fd1db7cd94f2f37f73b5,disperseTokenSimple,0xbb4b1ce29767346cf5d51b4b7557774b1ebf7db0,,WGC,token,100,0.008569956902189523,no,
15/03/2024,09:27:21,base,0x10bf01c795a7bf69373411a54abb96c3555a70ce66cdc3afb2368f09100008b2,https://www.basescan.org/tx/0x10bf01c795a7bf69373411a54abb96c3555a70ce66cdc3afb2368f09100008b2,airdropERC20,0x09350f89e2d7b6e96ba730783c2d76137b045fef,,DOG,token,41.749295480638764,0.2727640667546694,no,
05/03/2024,21:30:49,bsc,0xee47222b143d0fc480faff0915b39dd16fdd42268045a9ac17545699a40be86c,https://bscscan.com/tx/0xee47222b143d0fc480faff0915b39dd16fdd42268045a9ac17545699a40be86c,sendFrom,0x9e66eba102b77fc75cd87b5e60141b85573bc8e8,,BNB,token,-0.001066604111874746,-0.42066866172339984,no,1.45
,,,,,,,,MarathonRunner,token,-1,0,,
05/03/2024,21:30:34,bsc,0x9431505cd00dc3c7cdeed286ad082660d088fed5cc720a5744fa7f22d242e218,https://bscscan.com/tx/0x9431505cd00dc3c7cdeed286ad082660d088fed5cc720a5744fa7f22d242e218,mint,0x9e66eba102b77fc75cd87b5e60141b85573bc8e8,,MarathonRunner,token,1,0,no,0.49
,,,,,,,,BNB,token,-0.0015,-0.5916,,
28/02/2024,00:19:56,matic,0xf376b3da5e8d87023c44966d6710976a1adb583e3272b331563c325ed693d38f,https://polygonscan.com/tx/0xf376b3da5e8d87023c44966d6710976a1adb583e3272b331563c325ed693d38f,createProfileWithHandle,0x0b5e6100243f793e480de6088de6ba70aa9f3872,Lens,lens,token,1,0,no,0.03
,,,,,,,,LPP,token,1,0,,
,,,,,,,,MATIC,token,-8,-8.22912,,
28/02/2024,00:18:00,matic,0x213f8f2f328959a9b97018422c86aa0ceb53dd7ed6d7cbdf8607a0e9056dc6d7,https://polygonscan.com/tx/0x213f8f2f328959a9b97018422c86aa0ceb53dd7ed6d7cbdf8607a0e9056dc6d7,receive,0x75dc8e5f50c8221a82ca6af64af811caa983b65f,LayerZero Labs,MATIC,token,12.129982,12.47738468448,no,
28/02/2024,00:17:31,arb,0x98dbf7e1b38de80be6c8ada01933830db65ef235ebd3349b4505509254c4a798,https://arbiscan.io/tx/0x98dbf7e1b38de80be6c8ada01933830db65ef235ebd3349b4505509254c4a798,bridgeGas,0x4ae8cebccd7027820ba83188dfd73ccad0a92806,Merkly,ETH,token,-0.004745219429723199,-15.388224636455064,no,0.61
27/02/2024,20:10:17,era,0x0cdd99e60891f7a4b94ddeed756790278555f63a439793374d7018e96af18204,https://era.zksync.network/tx/0x0cdd99e60891f7a4b94ddeed756790278555f63a439793374d7018e96af18204,swapExactTokensForTokens,0x8b791913eb07c32779a16750e3868aa8495f5964,Koi,USDC,token,63.69353,63.69353,no,0.57
,,,,,,,,WBTC,token,-0.00112794,-64.13952981082996,,
27/02/2024,20:10:09,era,0xa57ca69382b16459247eaef3d08674b35dc295b6ef4d710755da9a7078db0bf7,https://era.zksync.network/tx/0xa57ca69382b16459247eaef3d08674b35dc295b6ef4d710755da9a7078db0bf7,approve,0x8b791913eb07c32779a16750e3868aa8495f5964,Koi,,,,,no,0.25
27/02/2024,20:09:21,era,0x336a5bf2a5c9bf8515e79c587f81a29885b078e2c5b8e5d231e18f67937355e7,https://era.zksync.network/tx/0x336a5bf2a5c9bf8515e79c587f81a29885b078e2c5b8e5d231e18f67937355e7,swapExactETHForTokens,0x8b791913eb07c32779a16750e3868aa8495f5964,Koi,WBTC,token,0.00112794,64.13952981082996,no,0.51
,,,,,,,,ETH,token,-0.02,-64.8578,,
,,,,,,,,USDC,token,-0.729228,-0.729228,,
23/02/2024,22:11:55,era,0xc5ead550688dce632a272554a06392c824bd2d1f25a00ab0cb3322cacd5b850f,https://era.zksync.network/tx/0xc5ead550688dce632a272554a06392c824bd2d1f25a00ab0cb3322cacd5b850f,Contract Interaction,0x9b5def958d0f3b6955cbea4d5b7809b2fb26b059,SyncSwap,USDC,token,8.217698,8.217698,no,0.11
,,,,,,,,BUSD,token,-8.19799082347792,-8.221196266172669,,
23/02/2024,22:10:58,era,0x2ee79f6a5091f23cc826404af7b67a4367f68391b58d82da005b6a885841d0db,https://era.zksync.network/tx/0x2ee79f6a5091f23cc826404af7b67a4367f68391b58d82da005b6a885841d0db,approve,0x9b5def958d0f3b6955cbea4d5b7809b2fb26b059,SyncSwap,,,,,no,0.18
23/02/2024,22:08:53,era,0x96a6b176bcf33d376c64729c0008f395b5a6eb8f48317144a542b35b4f4cc4a7,https://era.zksync.network/tx/0x96a6b176bcf33d376c64729c0008f395b5a6eb8f48317144a542b35b4f4cc4a7,burnLiquidity,0x9b5def958d0f3b6955cbea4d5b7809b2fb26b059,SyncSwap,BUSD,token,8.197965752288685,8.221171124016283,no,0.28
,,,,,,,,ETH,token,0.002771515757885214,8.099006493164909,,
,,,,,,,,BUSD/WETH cSLP,token,-0.1266919210516846,-16.30114703478299,,
23/02/2024,22:07:59,era,0x4e65d99c4ac0d86a2689c96110e56b851b59980b1f76b58debc5a0f649ad9b98,https://era.zksync.network/tx/0x4e65d99c4ac0d86a2689c96110e56b851b59980b1f76b58debc5a0f649ad9b98,approve,0x9b5def958d0f3b6955cbea4d5b7809b2fb26b059,SyncSwap,,,,,no,0.18
23/02/2024,22:03:25,arb,0xcaa7bc0b134dd3e5a60324a25014bae6e2ee9f243194b4ff9a841218a10096d0,https://arbiscan.io/tx/0xcaa7bc0b134dd3e5a60324a25014bae6e2ee9f243194b4ff9a841218a10096d0,receive,0x892785f33cdee22a30aef750f285e18c18040c3e,Stargate,USDC,token,549.472131,549.472131,no,
23/02/2024,22:02:59,base,0x37e3fce9b42f017166a73a37a99b77b1a153b1a08beef6eedaabd18303ac64ec,https://www.basescan.org/tx/0x37e3fce9b42f017166a73a37a99b77b1a153b1a08beef6eedaabd18303ac64ec,swapAndStartBridgeTokensViaStargate,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,ETH,token,-0.000575856725726373,-1.682785799619379,no,1.38
,,,,,,,,USDC,token,-550,-550,,
23/02/2024,22:02:45,base,0x504b4d8512508508e3ce2adb11d7beaa0099291f4209470a1a3529fcc32e2109,https://www.basescan.org/tx/0x504b4d8512508508e3ce2adb11d7beaa0099291f4209470a1a3529fcc32e2109,approve,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,,,,,no,0.18
15/02/2024,05:15:02,matic,0xa3faf092a9bf8a347137763c2d04d2e2ef5d509ceceb750f2ffacde4575669fd,https://polygonscan.com/tx/0xa3faf092a9bf8a347137763c2d04d2e2ef5d509ceceb750f2ffacde4575669fd,batchTransferToken,0x35a559e1e41b1137c02a6d683663a5564fb9570c,,PIG,token,421.45,0,no,
