Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
18/10/2023,12:06:04,avax,0x4596312f0840a72f0b0b00e33f567b413013fc90f8de48f93a7a9a6491742cd9,https://snowscan.xyz/tx/0x4596312f0840a72f0b0b00e33f567b413013fc90f8de48f93a7a9a6491742cd9,receive,0x060556209e507d30f2167a101bfc6d256ed2f3e1,Vector,Visit https://vectorfinance.xyz to claim rewards.,token,7500,0,no,
03/10/2023,23:23:11,arb,0x788a3264781f2509b2e56731de7692ef3f58df1220fc4f565044f9f6d28e3d48,https://arbiscan.io/tx/0x788a3264781f2509b2e56731de7692ef3f58df1220fc4f565044f9f6d28e3d48,deposit,0x9774558534036ff2e236331546691b4eb70594b1,Stargate,S*USDC,token,-108.377219,-108.55566596786599,no,0.07
03/10/2023,23:22:55,arb,0x36f9bd8a6cfa83e24b92705c8cd586c1c4b34d48db08fc7fa54ef302db12efbf,https://arbiscan.io/tx/0x36f9bd8a6cfa83e24b92705c8cd586c1c4b34d48db08fc7fa54ef302db12efbf,approve,0x9774558534036ff2e236331546691b4eb70594b1,Stargate,,,,,no,0.06
03/10/2023,23:22:32,arb,0xe3fefd07d53f4ffdb1dac71b40a16b29491c7d6986085cfb8f931616797fcbfa,https://arbiscan.io/tx/0xe3fefd07d53f4ffdb1dac71b40a16b29491c7d6986085cfb8f931616797fcbfa,withdraw,0xea8dfee1898a7e0a59f7527f076106d7e44c2176,Stargate,S*USDC,token,108.377219,108.55566596786599,no,0.08
,,,,,,,,STG,token,1.228456425703475,0.5569821434139556,,
06/08/2023,23:19:08,nova,0x114170102c3a75b8375b035225917013d6587bc47dcbb1a750ceb5f05c6d4c76,https://nova.arbiscan.io/tx/0x114170102c3a75b8375b035225917013d6587bc47dcbb1a750ceb5f05c6d4c76,receive,0x0000000000000000000000000000000000000000,,LZPOWERXLV2,token,1,0,no,
06/08/2023,23:18:35,era,0x51592499010695c86256b20cf19f7a14050c5cc868da4324de47a1101e7f2fef,https://era.zksync.network/tx/0x51592499010695c86256b20cf19f7a14050c5cc868da4324de47a1101e7f2fef,sendFrom,0x552113376fff4d1c90c0f6b444cd5109397753bf,,ETH,token,-0.00001142,-0.0209017976,no,0.34
,,,,,,,,LZPOWERXLV2,token,-1,0,,
06/08/2023,23:18:20,era,0x2a3ffa63e47cb1ff221c6fe35a30cb2b29e8eb9a59d107a0bb977c91ec93eaa1,https://era.zksync.network/tx/0x2a3ffa63e47cb1ff221c6fe35a30cb2b29e8eb9a59d107a0bb977c91ec93eaa1,mint,0x552113376fff4d1c90c0f6b444cd5109397753bf,,LZPOWERXLV2,token,1,0,no,0.17
,,,,,,,,ETH,token,-0.00023,-0.4209644,,
