Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
25/06/2023,21:47:53,era,0x4b9015472e30391107ed51b095a2b8245e566bf6f186b1d2bedd59f00f5869be,https://era.zksync.network/tx/0x4b9015472e30391107ed51b095a2b8245e566bf6f186b1d2bedd59f00f5869be,swapExactTokensForETH,0xd999e16e68476bc749a28fc14a0c3b6d7073f50c,Velocore,USDC,token,-84.868319,-84.83437167240001,no,0.28
25/06/2023,21:47:48,era,0x3bd5e31bd322556a0f9d574996ca640f129e1b6fcec66ed808e964558b2f3fb4,https://era.zksync.network/tx/0x3bd5e31bd322556a0f9d574996ca640f129e1b6fcec66ed808e964558b2f3fb4,approve,0xd999e16e68476bc749a28fc14a0c3b6d7073f50c,Velocore,,,,,no,0.1
25/06/2023,21:47:23,era,0x9789b671d6e18139ab2594837d0b78d29d79c07c9f4a5ff7f1a54c92a20ea20e,https://era.zksync.network/tx/0x9789b671d6e18139ab2594837d0b78d29d79c07c9f4a5ff7f1a54c92a20ea20e,multicall,0x39e098a153ad69834a9dac32f0fca92066ad03f4,Maverick,USDC,token,84.868319,84.83437167240001,no,0.16
,,,,,,,,BUSD,token,-84.9621573115868,-84.94516488012448,,
25/06/2023,21:47:16,era,0x09d930e50411467fbdc44a47a43c4ad7c199c5e461fceeac4dba1065f0f0f78d,https://era.zksync.network/tx/0x09d930e50411467fbdc44a47a43c4ad7c199c5e461fceeac4dba1065f0f0f78d,approve,0x39e098a153ad69834a9dac32f0fca92066ad03f4,Maverick,,,,,no,0.1
25/06/2023,21:46:51,era,0xc2ee825c0605e903589617e91e2109a7f30895d3282433bab145c95285680fe3,https://era.zksync.network/tx/0xc2ee825c0605e903589617e91e2109a7f30895d3282433bab145c95285680fe3,multicall,0x39e098a153ad69834a9dac32f0fca92066ad03f4,Maverick,BUSD,token,84.9621573115868,84.94516488012448,no,0.32
,,,,,,,,USDC,token,-84.885296,-84.8513418816,,
25/06/2023,21:46:42,era,0x5d8642fc9143270a6a97c6601ba29743aa4c915b5ef577387174f377e5f31f44,https://era.zksync.network/tx/0x5d8642fc9143270a6a97c6601ba29743aa4c915b5ef577387174f377e5f31f44,approve,0x39e098a153ad69834a9dac32f0fca92066ad03f4,Maverick,,,,,no,0.13
25/06/2023,21:46:01,era,0x93df017f54af5b925378c9fffa44b6f3a611262abfe261e63361baeb79bf45d9,https://era.zksync.network/tx/0x93df017f54af5b925378c9fffa44b6f3a611262abfe261e63361baeb79bf45d9,swap,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,USDC,token,84.885296,84.8513418816,no,0.2
,,,,,,,,USDT,token,-84.911827,-84.94653815842204,,
25/06/2023,21:45:53,era,0xca5c6e8b9f520fed787f76c28e5e7f7a491a73d25823209cb0fdf2d69614cb3e,https://era.zksync.network/tx/0xca5c6e8b9f520fed787f76c28e5e7f7a491a73d25823209cb0fdf2d69614cb3e,approve,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,,,,,no,0.1
25/06/2023,21:45:41,era,0xc9227feb6ad3ffa2913f24ec6841ca139a28a01ac9a05e32888576c4bc090e7b,https://era.zksync.network/tx/0xc9227feb6ad3ffa2913f24ec6841ca139a28a01ac9a05e32888576c4bc090e7b,swap,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,USDT,token,84.911827,84.94653815842204,no,0.22
,,,,,,,,ETH,token,-0.045,-85.446,,
14/06/2023,20:45:04,era,0xa1a09bbeb9eddaaf0aa63232cab524463de454a2de1e42f1e7cc1c3ca9eef987,https://era.zksync.network/tx/0xa1a09bbeb9eddaaf0aa63232cab524463de454a2de1e42f1e7cc1c3ca9eef987,Contract Interaction,0x51d4438881bbb95977ef4ac8f9ffd663ce999cee,,,,,,no,0.49
