Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
11/01/2024,23:01:09,arb,0x70159b82b90c85d5ba516c9d10ef808f034e4db1fc19ee584ce1c0a1fd286fcd,https://arbiscan.io/tx/0x70159b82b90c85d5ba516c9d10ef808f034e4db1fc19ee584ce1c0a1fd286fcd,send,0xe3fecb72b7691d66f2946617ec087ad3a7aa89f1,,USDC,token,-1800,-1800,no,0.12
11/01/2024,23:00:32,arb,0x73bbc8f587c9f1295981888e5c8f93aa3558b6dfcf6446d56bc61fb7ecf81ae2,https://arbiscan.io/tx/0x73bbc8f587c9f1295981888e5c8f93aa3558b6dfcf6446d56bc61fb7ecf81ae2,simpleSwap,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,ParaSwap,USDC,token,1805.196956,1805.196956,no,0.38
,,,,,,,,USDC,token,-1805.372614,-1805.372614,,
11/01/2024,23:00:26,arb,0x162552cf9e9519313469a0f780200afd9611eefc16cb6b253bd1098790bd25fd,https://arbiscan.io/tx/0x162552cf9e9519313469a0f780200afd9611eefc16cb6b253bd1098790bd25fd,approve,0x216b4b4ba9f3e719726886d34a177484278bfcae,ParaSwap,,,,,no,0.12
11/01/2024,23:00:11,arb,0x9c384ef1a4c48d4bd77d8a2f1a9bff9ddf0d5d3118c097e26b1bfac5c3f6ec81,https://arbiscan.io/tx/0x9c384ef1a4c48d4bd77d8a2f1a9bff9ddf0d5d3118c097e26b1bfac5c3f6ec81,swap,0x1111111254eeb25477b68fb85ed929f73a960582,1inch,USDC,token,49.653053,49.653053,no,0.33
,,,,,,,,ARB,token,-22.269831361525032,-50.309776028821204,,
11/01/2024,23:00:07,arb,0x19fade7772e99ef637a327b79c65c46aec53f5d4d068dc55b05f2a0afad43318,https://arbiscan.io/tx/0x19fade7772e99ef637a327b79c65c46aec53f5d4d068dc55b05f2a0afad43318,approve,0x1111111254eeb25477b68fb85ed929f73a960582,1inch,,,,,no,0.12
11/01/2024,22:59:49,arb,0xc06a17386708add4ac4646f939c785c57fc4b51d59b8d70c2b0b43f2246deb9f,https://arbiscan.io/tx/0xc06a17386708add4ac4646f939c785c57fc4b51d59b8d70c2b0b43f2246deb9f,instantRedeemLocal,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,Stargate,USDC,token,1470.451672,1470.451672,no,0.15
,,,,,,,,S*USDC,token,-1468,-1470.4541015518012,,
11/01/2024,22:59:45,arb,0xa9e144d6084aab4252eb1f890a738c16c6615dfaf4cb31009792cb23a9ee5aeb,https://arbiscan.io/tx/0xa9e144d6084aab4252eb1f890a738c16c6615dfaf4cb31009792cb23a9ee5aeb,receive,0x892785f33cdee22a30aef750f285e18c18040c3e,Stargate,USDC,token,277.245643,277.245643,no,
11/01/2024,22:59:35,arb,0x7cf07d1ae8855584d68bf6880d2e87aa8fbd20e7777af099971672dbade66f69,https://arbiscan.io/tx/0x7cf07d1ae8855584d68bf6880d2e87aa8fbd20e7777af099971672dbade66f69,withdraw,0x9774558534036ff2e236331546691b4eb70594b1,Stargate,S*USDC,token,1468,1470.4541015518012,no,0.15
,,,,,,,,ARB,token,22.269831361525032,50.309776028821204,,
11/01/2024,22:59:08,avax,0x3a25e70ab82071e5a8f2f4475463b545b53a518321043a359b2456c585a0720f,https://snowscan.xyz/tx/0x3a25e70ab82071e5a8f2f4475463b545b53a518321043a359b2456c585a0720f,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,AVAX,token,-0.028357865772783517,-1.1144641248703921,no,0.4
,,,,,,,,USDt,token,-277.523165,-277.541204005725,,
11/01/2024,22:58:44,avax,0xf80cbf1294be63b523437db886b81d64a8d3f8d2daf2a9801144b744d5205fcb,https://snowscan.xyz/tx/0xf80cbf1294be63b523437db886b81d64a8d3f8d2daf2a9801144b744d5205fcb,approve,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,,,,,no,0.06
11/01/2024,22:57:46,avax,0x39fa79352e2d5bdd05e1e0a376b4cbe91ea2781f301f91515cbf6c036c7dbd65,https://snowscan.xyz/tx/0x39fa79352e2d5bdd05e1e0a376b4cbe91ea2781f301f91515cbf6c036c7dbd65,simpleSwap,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,ParaSwap,AVAX,token,0.07613987677065504,2.9922971570867425,no,0.29
,,,,,,,,USDt,token,-3,-3.0001949999999997,,
11/01/2024,22:57:19,avax,0xe98fab12ae1c4a7167483aaae9c85948beaad647d2a9f13bdd8c40808ea2955a,https://snowscan.xyz/tx/0xe98fab12ae1c4a7167483aaae9c85948beaad647d2a9f13bdd8c40808ea2955a,approve,0x216b4b4ba9f3e719726886d34a177484278bfcae,ParaSwap,,,,,no,0.06
