Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
11/05/2024,12:26:59,eth,0xc0b3d05876654c688d3b1bcac4445b626f2695e05a5e5a1227491f871ae96d71,https://etherscan.io/tx/0xc0b3d05876654c688d3b1bcac4445b626f2695e05a5e5a1227491f871ae96d71,depositIntoStrategy,0x858646372cc42e1a627fce94aa7a7033e7cf075a,EigenLayer,EIGEN,token,-161.1236247901624,0,no,3.46
11/05/2024,12:26:11,eth,0x8f0f9c589a4c9a7835732b52cce0aca3bb27700bdc4717865cb6a2865af22f08,https://etherscan.io/tx/0x8f0f9c589a4c9a7835732b52cce0aca3bb27700bdc4717865cb6a2865af22f08,approve,0x858646372cc42e1a627fce94aa7a7033e7cf075a,EigenLayer,,,,,no,0.86
11/05/2024,12:25:11,eth,0x6f3868c09454ad85583d9f075b0eb951a64bd64ba8fd8111e2d561fededab1f4,https://etherscan.io/tx/0x6f3868c09454ad85583d9f075b0eb951a64bd64ba8fd8111e2d561fededab1f4,claim,0x035bdaeab85e47710c27eda7fd754ba80ad4ad02,EigenLayer,EIGEN,token,161.1236247901624,0,no,1.85
10/05/2024,14:35:49,base,0x672eb5e9374e96cf53bd0c157cf8289ac033d3069f4095792590b6aa012d8904,https://www.basescan.org/tx/0x672eb5e9374e96cf53bd0c157cf8289ac033d3069f4095792590b6aa012d8904,airdropERC20,0x09350f89e2d7b6e96ba730783c2d76137b045fef,,Boe,token,0.69,0.0005297001367344764,no,
02/05/2024,20:51:09,base,0xbcc64e42afd95c29e8a09781fa5c89bc29dd0dc5ca0a9a261f5e5935161d5e12,https://www.basescan.org/tx/0xbcc64e42afd95c29e8a09781fa5c89bc29dd0dc5ca0a9a261f5e5935161d5e12,airdropERC20,0x09350f89e2d7b6e96ba730783c2d76137b045fef,,BOOMER,token,0.0168,0.0006004132463591796,no,
28/04/2024,23:54:47,eth,0xc4ae1013c5755d084bc0898bd36d29b26b135c03330a2c2d10ebd31600d2710a,https://etherscan.io/tx/0xc4ae1013c5755d084bc0898bd36d29b26b135c03330a2c2d10ebd31600d2710a,send,0x7842022f145c368740d1a3d166238f8d793e4042,,ETH,token,-1.2,-3915.924,no,0.36
28/04/2024,23:52:23,eth,0x83b22c47519f8c8026ad605684e157f81817899246ca460631f5b4b4c49fcb38,https://etherscan.io/tx/0x83b22c47519f8c8026ad605684e157f81817899246ca460631f5b4b4c49fcb38,swapTokensGeneric,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,ETH,token,0.16062862349850218,524.1745682039572,no,4.49
,,,,,,,,cbETH,token,-0.15066822863010723,-523.919384756615,,
28/04/2024,23:51:23,eth,0xdbafe72a574f3a06014376581f45effa3c7e2ff43bbd5ac3c44d4aa376407d51,https://etherscan.io/tx/0xdbafe72a574f3a06014376581f45effa3c7e2ff43bbd5ac3c44d4aa376407d51,approve,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,,,,,no,1
28/04/2024,23:50:47,eth,0x01e3b440b749474ce82aacb6627f5340c3b5a0b2515da94f3c74f02851834dea,https://etherscan.io/tx/0x01e3b440b749474ce82aacb6627f5340c3b5a0b2515da94f3c74f02851834dea,swapTokensGeneric,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,ETH,token,1.006043040420548,3282.990072513162,no,4.64
,,,,,,,,sfrxETH,token,-0.9309509103974819,-3286.8847597472345,,
28/04/2024,23:50:23,eth,0xc229455c02cb3f7c48aeac80179861810b219fd08e2661140192ff141064b6ec,https://etherscan.io/tx/0xc229455c02cb3f7c48aeac80179861810b219fd08e2661140192ff141064b6ec,approve,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,,,,,no,0.77
28/04/2024,23:47:11,eth,0xd19b2f5f4a888c7a57feb60de182c630922f9577e40ee9e0a7d28f520f8b7ced,https://etherscan.io/tx/0xd19b2f5f4a888c7a57feb60de182c630922f9577e40ee9e0a7d28f520f8b7ced,completeQueuedWithdrawals,0x39053d51b77dc0d36036fc1fcc8cb819df8ef37a,EigenLayer,cbETH,token,0.15066822863010723,523.919384756615,no,2.34
28/04/2024,23:46:23,eth,0xf5f155935fad8dc3c47f8176688e6b459e2186e471d93f4eb60fd47e682f63dd,https://etherscan.io/tx/0xf5f155935fad8dc3c47f8176688e6b459e2186e471d93f4eb60fd47e682f63dd,completeQueuedWithdrawals,0x39053d51b77dc0d36036fc1fcc8cb819df8ef37a,EigenLayer,sfrxETH,token,0.9309509103974819,3286.8847597472345,no,2.07
21/04/2024,22:02:35,eth,0xdb1e21dd596ef9c53bf10345d6c7f563e090f37f89969aebac43373a50f1425e,https://etherscan.io/tx/0xdb1e21dd596ef9c53bf10345d6c7f563e090f37f89969aebac43373a50f1425e,queueWithdrawals,0x39053d51b77dc0d36036fc1fcc8cb819df8ef37a,EigenLayer,,,,,no,2.55
21/04/2024,22:00:23,eth,0x0dada9d14e9e97699425a1d5572ee9e442b0601f009bf2e706558d066dea5e91,https://etherscan.io/tx/0x0dada9d14e9e97699425a1d5572ee9e442b0601f009bf2e706558d066dea5e91,queueWithdrawals,0x39053d51b77dc0d36036fc1fcc8cb819df8ef37a,EigenLayer,,,,,no,2.51
