Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
09/07/2023,00:24:16,arb,0x1756fcd3e6891ce7da46cbb03ecbf062efac8992498584a91b9218e7a22acfba,https://arbiscan.io/tx/0x1756fcd3e6891ce7da46cbb03ecbf062efac8992498584a91b9218e7a22acfba,receive,0x82cbecf39bee528b5476fe6d1550af59a9db6fc0,Stargate,ETH,token,0.014991,27.96181284,no,
09/07/2023,00:23:17,op,0xd345d9a032b6781831c791dfed1df8b82e98610111dd3b8614b5893ec8d628d4,https://optimistic.etherscan.io/tx/0xd345d9a032b6781831c791dfed1df8b82e98610111dd3b8614b5893ec8d628d4,swapETH,0xb49c4e680174e331cb0a7ff3ab58afc9738d5f8b,Stargate,ETH,token,-0.015390913205666722,-28.707746947737796,no,0.09
26/06/2023,00:40:36,era,0xb1a0c920c1504fda41eb89987a845f45725be3c10dc06dbf50323509f5ec31b0,https://era.zksync.network/tx/0xb1a0c920c1504fda41eb89987a845f45725be3c10dc06dbf50323509f5ec31b0,crossChain,0x0bf0d6260fb4f4fc77b143eaff9e4fe51dd08c83,Merkly,ETH,token,-0.000387103496030428,-0.7350321182625768,no,0.32
26/06/2023,00:40:30,era,0xf4d44b631f4630d871a0b551903cec83bbc13c01653523e08afb8d16fac996a2,https://era.zksync.network/tx/0xf4d44b631f4630d871a0b551903cec83bbc13c01653523e08afb8d16fac996a2,mint,0x0bf0d6260fb4f4fc77b143eaff9e4fe51dd08c83,Merkly,ETH,token,-0.0004,-0.75952,no,0.16
05/06/2023,23:03:52,op,0xf2d9311c47938b05f021ac69b065d82a8a04bf74e7b5669b5f208adbb94f3b77,https://optimistic.etherscan.io/tx/0xf2d9311c47938b05f021ac69b065d82a8a04bf74e7b5669b5f208adbb94f3b77,send,0xbee7882aee64feb68233c3026010b8b1e0aac1a6,,ETH,token,-5.25,-9504.39,no,0.25
05/06/2023,23:01:19,op,0x1beae6708df01a8468bd989185ef0f589e6c8b1cac376b02a8d1ced5440526da,https://optimistic.etherscan.io/tx/0x1beae6708df01a8468bd989185ef0f589e6c8b1cac376b02a8d1ced5440526da,instantRedeemLocal,0xb0d502e938ed5f4df2e681fe6e419ff29631d62b,Stargate,ETH,token,5.079402063447484,9195.546319582785,no,0.3
,,,,,,,,S*SGETH,token,-5.079,-9195.546319582787,,
05/06/2023,23:00:49,op,0xacdb3500e2b85399c45943bef41cd6b8ece03b724e54b3ae6bfaeed3bc75d9c1,https://optimistic.etherscan.io/tx/0xacdb3500e2b85399c45943bef41cd6b8ece03b724e54b3ae6bfaeed3bc75d9c1,receive,0xb69c8cbcd90a39d8d3d3ccf0a3e968511c3856a0,Stargate,ETH,token,0.14991,271.3910676,no,
05/06/2023,23:00:49,op,0x0467ef1f3d76c1b09e9f612831da1b8a2e8e9317cfdad01697cf7fa7cbf55abc,https://optimistic.etherscan.io/tx/0x0467ef1f3d76c1b09e9f612831da1b8a2e8e9317cfdad01697cf7fa7cbf55abc,withdraw,0x4dea9e918c6289a52cd469cac652727b7b412cd2,Stargate,S*SGETH,token,5.079,9195.546319582787,no,0.28
,,,,,,,,OP,token,0.37541236513317966,0.5200587494189938,,
05/06/2023,23:00:28,arb,0xe0e010d36a697570f7e15c917a282e1a7baf2f3f684cabc43b3c3ec473ba21fd,https://arbiscan.io/tx/0xe0e010d36a697570f7e15c917a282e1a7baf2f3f684cabc43b3c3ec473ba21fd,swapETH,0xbf22f0f184bccbea268df387a49ff5238dd23e40,Stargate,ETH,token,-0.15069682320575203,-272.81550085876523,no,0.27
05/06/2023,22:59:45,arb,0x9eaddccfa003cfed3939cc1af91dca6eab1cf4e23c9f3b64281cf01877e51d36,https://arbiscan.io/tx/0x9eaddccfa003cfed3939cc1af91dca6eab1cf4e23c9f3b64281cf01877e51d36,Contract Interaction,0x973bf562407766e77f885c1cd1a8060e5303c745,DefiLlama,ETH,token,0.1409810168221695,255.2263936141828,no,0.1
,,,,,,,,USDT,token,-254.550515,-254.640880432825,,
05/06/2023,22:59:29,arb,0x882af57fd0a4b3746a6a5b56acd7bcba9b9ecfe0dc505fc0f02c04419fb5488e,https://arbiscan.io/tx/0x882af57fd0a4b3746a6a5b56acd7bcba9b9ecfe0dc505fc0f02c04419fb5488e,approve,0x973bf562407766e77f885c1cd1a8060e5303c745,DefiLlama,,,,,no,0.11
04/06/2023,23:49:06,arb,0xea9914fd1eee3bb4f6e2a9f04f099389ddd6e2b0d4117241ad8a204d193d32b3,https://arbiscan.io/tx/0xea9914fd1eee3bb4f6e2a9f04f099389ddd6e2b0d4117241ad8a204d193d32b3,receive,0xb6cfcf89a7b22988bfc96632ac2a9d6dab60d641,Stargate,USDT,token,92.818379,92.84576042180498,no,
04/06/2023,23:48:37,arb,0xef8eb04530ab116cd870b77ef6eb6578f605353d3c5a6dd8c80adb99cf35b746,https://arbiscan.io/tx/0xef8eb04530ab116cd870b77ef6eb6578f605353d3c5a6dd8c80adb99cf35b746,receive,0xb6cfcf89a7b22988bfc96632ac2a9d6dab60d641,Stargate,USDT,token,33.9796,33.989623982,no,
04/06/2023,23:48:11,arb,0xee45f879c006c50ddd3c5d79062f92c4526fcc906a2761407e38277ec258cb03,https://arbiscan.io/tx/0xee45f879c006c50ddd3c5d79062f92c4526fcc906a2761407e38277ec258cb03,receive,0xb6cfcf89a7b22988bfc96632ac2a9d6dab60d641,Stargate,USDT,token,22.9862,22.992980928999998,no,
04/06/2023,23:47:19,arb,0x831c920cced5901a963494d33b4da65b3b02ca71757c38acefa014c778c1f7da,https://arbiscan.io/tx/0x831c920cced5901a963494d33b4da65b3b02ca71757c38acefa014c778c1f7da,receive,0xb6cfcf89a7b22988bfc96632ac2a9d6dab60d641,Stargate,USDT,token,81.789336,81.81346385412,no,
04/06/2023,23:46:32,arb,0xe1007f86aca0e30cde5008827a4cbc6d4c4ede3e5ef5f563c744211bd7b6620d,https://arbiscan.io/tx/0xe1007f86aca0e30cde5008827a4cbc6d4c4ede3e5ef5f563c744211bd7b6620d,receive,0xb6cfcf89a7b22988bfc96632ac2a9d6dab60d641,Stargate,USDT,token,22.977,22.983778214999997,no,
04/06/2023,23:28:46,matic,0x3dc89e4afa5de76e817de247a356dd3838d0e831c362b57f349e1bb0ebeabee5,https://polygonscan.com/tx/0x3dc89e4afa5de76e817de247a356dd3838d0e831c362b57f349e1bb0ebeabee5,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,MATIC,token,-0.9537979482998846,-0.8518092874861262,no,0.05
,,,,,,,,USDT,token,-92.874103,-92.901500860385,,
04/06/2023,23:28:26,matic,0xe52a6228cf60e3dda7e31c5503af99f87ca4ecbadf39fe954c9a828b95f20df7,https://polygonscan.com/tx/0xe52a6228cf60e3dda7e31c5503af99f87ca4ecbadf39fe954c9a828b95f20df7,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,MATIC,token,-0.9537979482998846,-0.8518092874861262,no,0.05
,,,,,,,,USDT,token,-34,-34.01003,,
04/06/2023,23:28:02,matic,0xf4f9e008bf93d5a6664684df2224de26edf49f9cbe4146f54e3e6e3a32d54486,https://polygonscan.com/tx/0xf4f9e008bf93d5a6664684df2224de26edf49f9cbe4146f54e3e6e3a32d54486,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,MATIC,token,-0.9537979482998846,-0.8518092874861262,no,0.05
,,,,,,,,USDT,token,-23,-23.006784999999997,,
04/06/2023,23:27:40,matic,0xa3424cdd34182ef978713865d9443190e1d2ed78b06e35631ceb39c369b6c268,https://polygonscan.com/tx/0xa3424cdd34182ef978713865d9443190e1d2ed78b06e35631ceb39c369b6c268,approve,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,,,,,no,0.01
04/06/2023,23:27:10,matic,0xdabc0cee3f72ad7586a21c1dbf780d5e539372889ce3b34ecaa5a330788f061f,https://polygonscan.com/tx/0xdabc0cee3f72ad7586a21c1dbf780d5e539372889ce3b34ecaa5a330788f061f,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,MATIC,token,-0.9537979482998846,-0.8518092874861262,no,0.05
,,,,,,,,USDC,token,-81.871207,-81.8466456379,,
04/06/2023,23:26:24,matic,0xdf8fa7b9f0f457938bb86480ea983f03130cf235e11bfb8610eff770d1e4c5bd,https://polygonscan.com/tx/0xdf8fa7b9f0f457938bb86480ea983f03130cf235e11bfb8610eff770d1e4c5bd,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,MATIC,token,-0.9537979482998846,-0.8518092874861262,no,0.05
,,,,,,,,USDC,token,-23,-22.993100000000002,,
