Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
25/06/2023,22:00:50,era,0x97d726a56a48231842375fb7658646f0b5884ba9502bf89792806e920c480289,https://era.zksync.network/tx/0x97d726a56a48231842375fb7658646f0b5884ba9502bf89792806e920c480289,swap,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,USDC,token,82.702178,82.6690971288,no,0.26
,,,,,,,,BUSD,token,-82.841220016875,-82.82465177287163,,
25/06/2023,22:00:39,era,0x0b02a6687b1c2495a277bc33b5b1e42ca5ba2666ff161f4ff908bfdca093f9e1,https://era.zksync.network/tx/0x0b02a6687b1c2495a277bc33b5b1e42ca5ba2666ff161f4ff908bfdca093f9e1,approve,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,,,,,no,0.12
25/06/2023,21:59:08,era,0x34192da80bcc0805d8e818d9c91b9b11f0510bf81dcf0dc3e2aaa90a27d5e99b,https://era.zksync.network/tx/0x34192da80bcc0805d8e818d9c91b9b11f0510bf81dcf0dc3e2aaa90a27d5e99b,swapExactTokensForTokens,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,BUSD,token,82.841220016875,82.82465177287163,no,0.24
,,,,,,,,USDC,token,-83.006936,-82.9737332256,,
25/06/2023,21:58:29,era,0xf1997fb2a2b00ac85f092cfbbeea265c5f6e332442d4b155611746b0fa52af29,https://era.zksync.network/tx/0xf1997fb2a2b00ac85f092cfbbeea265c5f6e332442d4b155611746b0fa52af29,approve,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,,,,,no,0.13
25/06/2023,21:57:49,era,0x46d2a11ca0f0692eabb35f884989aed61b84473971900f333c81d05df52cfcd0,https://era.zksync.network/tx/0x46d2a11ca0f0692eabb35f884989aed61b84473971900f333c81d05df52cfcd0,swapExactETHForTokens,0xd999e16e68476bc749a28fc14a0c3b6d7073f50c,Velocore,USDC,token,83.006936,82.9737332256,no,0.3
,,,,,,,,ETH,token,-0.044,-83.54719999999999,,
14/06/2023,21:02:33,era,0xa8f6ad9c10eea38196331494d3c57538423df91938c0c6e89f3398eaef525974,https://era.zksync.network/tx/0xa8f6ad9c10eea38196331494d3c57538423df91938c0c6e89f3398eaef525974,multicall,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,iZi,token,-1309.0098067548804,-28.641134571796783,no,0.32
14/06/2023,21:02:21,era,0x68556261e78395ca8c6f7c84510e149e2211b27dd1ca5db213bbccd9a3f60bfa,https://era.zksync.network/tx/0x68556261e78395ca8c6f7c84510e149e2211b27dd1ca5db213bbccd9a3f60bfa,approve,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,,,,,no,0.1
14/06/2023,21:02:00,era,0xe96da070118523d6febdf1e1a2e93d6ee3a61aa83e73d151ef283b1bc29e8cb0,https://era.zksync.network/tx/0xe96da070118523d6febdf1e1a2e93d6ee3a61aa83e73d151ef283b1bc29e8cb0,multicall,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,iZi,token,1309.00991717426,28.641136987772807,no,0.43
,,,,,,,,ETH,token,-0.01623,-26.794756200000002,,
14/06/2023,20:48:03,era,0xb1421622ad1c97e72a5353110c2b0ff1e335641efbf6cea8ff974887bd27e1f8,https://era.zksync.network/tx/0xb1421622ad1c97e72a5353110c2b0ff1e335641efbf6cea8ff974887bd27e1f8,Contract Interaction,0x748703a6d2447f52feddfc61e5f239b951073a5a,,,,,,no,0.49
14/06/2023,20:45:59,eth,0x7bd4813cca882fac9cf9278d6c93647871995c10fe6778af1fbe99ad65709e7f,https://etherscan.io/tx/0x7bd4813cca882fac9cf9278d6c93647871995c10fe6778af1fbe99ad65709e7f,requestL2Transaction,0x32400084c286cf3e17e7b677ea9583e60a000324,zkSync Era,ETH,token,-0.04416646470453794,-72.91618323930986,no,4.74
14/06/2023,20:36:59,eth,0x43be31f640ad2cbaa546ecfe2d1ff58b670d86ed45ce3441020cd5d4c1abc81e,https://etherscan.io/tx/0x43be31f640ad2cbaa546ecfe2d1ff58b670d86ed45ce3441020cd5d4c1abc81e,receive,0x2fc617e933a52713247ce25730f6695920b3befe,,ETH,token,0.049798,82.21351012000001,no,
14/06/2023,20:36:23,op,0xa58f9397ec74fa01af96ef95c77844f07d64e93602b0a9178760b7039024c566,https://optimistic.etherscan.io/tx/0xa58f9397ec74fa01af96ef95c77844f07d64e93602b0a9178760b7039024c566,send,0x2fc617e933a52713247ce25730f6695920b3befe,,ETH,token,-0.0516,-85.18850400000001,no,0.06
