Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
11/05/2024,12:22:11,eth,0xfad778f9dc730538a2a5ec855f4af8cd64105cfb4f53d1b1d1a0db4a421e1cc2,https://etherscan.io/tx/0xfad778f9dc730538a2a5ec855f4af8cd64105cfb4f53d1b1d1a0db4a421e1cc2,depositIntoStrategy,0x858646372cc42e1a627fce94aa7a7033e7cf075a,EigenLayer,EIGEN,token,-270.777393326624,0,no,3.57
11/05/2024,12:21:23,eth,0xe20a19fd51979b891f548e10af69ec17c950975ed6d59cdd16ce358edb1394ca,https://etherscan.io/tx/0xe20a19fd51979b891f548e10af69ec17c950975ed6d59cdd16ce358edb1394ca,approve,0x858646372cc42e1a627fce94aa7a7033e7cf075a,EigenLayer,,,,,no,0.86
11/05/2024,12:20:35,eth,0xcbd9ae915513da8ddeae1dfd4ef7f4ec2aa763415b140cd7c5771f1fc22e063c,https://etherscan.io/tx/0xcbd9ae915513da8ddeae1dfd4ef7f4ec2aa763415b140cd7c5771f1fc22e063c,claim,0x035bdaeab85e47710c27eda7fd754ba80ad4ad02,EigenLayer,EIGEN,token,270.777393326624,0,no,1.68
10/05/2024,14:35:49,base,0x672eb5e9374e96cf53bd0c157cf8289ac033d3069f4095792590b6aa012d8904,https://www.basescan.org/tx/0x672eb5e9374e96cf53bd0c157cf8289ac033d3069f4095792590b6aa012d8904,airdropERC20,0x09350f89e2d7b6e96ba730783c2d76137b045fef,,Boe,token,0.69,0.0005297001367344764,no,
02/05/2024,20:51:09,base,0xbcc64e42afd95c29e8a09781fa5c89bc29dd0dc5ca0a9a261f5e5935161d5e12,https://www.basescan.org/tx/0xbcc64e42afd95c29e8a09781fa5c89bc29dd0dc5ca0a9a261f5e5935161d5e12,airdropERC20,0x09350f89e2d7b6e96ba730783c2d76137b045fef,,BOOMER,token,0.0168,0.0006004132463591796,no,
28/04/2024,23:57:11,eth,0x930ee0242eea54291851b93f57f3a36d503d0c65ba53a2d65804d85d1bc91523,https://etherscan.io/tx/0x930ee0242eea54291851b93f57f3a36d503d0c65ba53a2d65804d85d1bc91523,send,0xa9ad1effb5899439794bab46a23cfdfcd78948c1,,ETH,token,-3.47,-11323.546900000001,no,0.39
28/04/2024,23:54:47,eth,0xc4ae1013c5755d084bc0898bd36d29b26b135c03330a2c2d10ebd31600d2710a,https://etherscan.io/tx/0xc4ae1013c5755d084bc0898bd36d29b26b135c03330a2c2d10ebd31600d2710a,receive,0x622347566137f549869187bf26fe45549d4a306a,,ETH,token,1.2,3915.924,no,
28/04/2024,23:54:11,eth,0x2c61d17afdcb42695a7b1225f255578798dc0bc1d4318f0968fb9a22bc95aa33,https://etherscan.io/tx/0x2c61d17afdcb42695a7b1225f255578798dc0bc1d4318f0968fb9a22bc95aa33,receive,0x11344d5b4a4db7b37d766e24e9a110519f0dc343,,ETH,token,0.75,2447.4525,no,
28/04/2024,23:36:59,eth,0xfa39e5a74889b418c62aa23272fa008cd04af64b0ef9dfec32ed879d5ad7ac95,https://etherscan.io/tx/0xfa39e5a74889b418c62aa23272fa008cd04af64b0ef9dfec32ed879d5ad7ac95,swapTokensGeneric,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,ETH,token,0.5240199565895726,1710.0186037400545,no,4.61
,,,,,,,,rETH,token,-0.47434889409510833,-1710.3868548228936,,
28/04/2024,23:36:23,eth,0x9e1014e0abf04e5ad32f3f717032a23ebe6629dea9f04a6a9fec7a0f28b5355e,https://etherscan.io/tx/0x9e1014e0abf04e5ad32f3f717032a23ebe6629dea9f04a6a9fec7a0f28b5355e,approve,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,,,,,no,0.85
28/04/2024,23:35:47,eth,0x022b9281b7fea23065617842986d759ab6f89bc71d1f0084d9ffe0ca4ec060c8,https://etherscan.io/tx/0x022b9281b7fea23065617842986d759ab6f89bc71d1f0084d9ffe0ca4ec060c8,swapTokensGeneric,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,ETH,token,0.996832977773323,3252.9351513783517,no,4.6
,,,,,,,,sfrxETH,token,-0.9224098840022626,-3256.7291745520297,,
28/04/2024,23:35:23,eth,0x1d55c4776b603341dadf276b28b15e1c271c2416c9968f7134137ba7e7df1b07,https://etherscan.io/tx/0x1d55c4776b603341dadf276b28b15e1c271c2416c9968f7134137ba7e7df1b07,approve,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,,,,,no,0.87
28/04/2024,23:34:23,eth,0x64ff37523d2d67ff5b2e4d6765221613cb8a18d8f1a353826afac06fcec73cd9,https://etherscan.io/tx/0x64ff37523d2d67ff5b2e4d6765221613cb8a18d8f1a353826afac06fcec73cd9,completeQueuedWithdrawals,0x39053d51b77dc0d36036fc1fcc8cb819df8ef37a,EigenLayer,sfrxETH,token,0.9224098840022626,3256.7291745520297,no,2.08
