Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
10/07/2023,12:24:54,arb,0x3fb94cc770b73dbdce9ed2ead50f8d0750c3ab700f4925429092c3e0ad0586e7,https://arbiscan.io/tx/0x3fb94cc770b73dbdce9ed2ead50f8d0750c3ab700f4925429092c3e0ad0586e7,receive,0x0000000000000000000000000000000000000000,,MIM,token,8.04029066,8.003972297835084,no,
10/07/2023,12:24:31,ftm,0xcb94d9dad19d54f544c53124d9fffe770492a153dd1d85e072aa2fd1b991f68c,https://ftmscan.com/tx/0xcb94d9dad19d54f544c53124d9fffe770492a153dd1d85e072aa2fd1b991f68c,sendProxyOFTV2,0x86355f02119bdbc28ed6a4d5e0ca327ca7730fff,Stargate,FTM,token,-2.450036378016663,-0.6676349130095408,no,0.15
,,,,,,,,MIM,token,-8.04189904,-8.005573412708758,,
10/07/2023,12:22:57,ftm,0x32ab86c2cb17d2165451f50262480042c5a2d6bf0931bca9ab995f0483f30ac3,https://ftmscan.com/tx/0x32ab86c2cb17d2165451f50262480042c5a2d6bf0931bca9ab995f0483f30ac3,multicall,0x31f63a33141ffee63d4b26755430a390acdd8a4d,SpookySwap,FTM,token,7.558592594808942,2.059716482085437,no,0.02
,,,,,,,,MIM,token,-2,-1.990965908149167,,
10/07/2023,12:21:49,ftm,0xe20f5eca8ab78df4c907a23254a2e5f5e015d44b5787964841bd41108047c718,https://ftmscan.com/tx/0xe20f5eca8ab78df4c907a23254a2e5f5e015d44b5787964841bd41108047c718,approve,0x86355f02119bdbc28ed6a4d5e0ca327ca7730fff,Stargate,,,,,no,0.01
10/07/2023,12:21:21,ftm,0xeae2ce2a08d1528772d8d7291bc3a2e041c6a086561e621a9da80b2203063791,https://ftmscan.com/tx/0xeae2ce2a08d1528772d8d7291bc3a2e041c6a086561e621a9da80b2203063791,Contract Interaction,0x52eea5c490fb89c7a0084b32feab854eeff07c82,LayerZero Labs,MIM,token,10.04189904,9.996539320857925,no,
,,,,,,,,FTM,token,2,0.545,,
10/07/2023,12:20:24,avax,0xf240ce3cf6c7dab212dbce43a5c8600adc9f73977e03ae59d06bec922b4b5af1,https://snowtrace.io/tx/0xf240ce3cf6c7dab212dbce43a5c8600adc9f73977e03ae59d06bec922b4b5af1,sendProxyOFTV2,0x86355f02119bdbc28ed6a4d5e0ca327ca7730fff,Stargate,AVAX,token,-0.07442585109470458,-0.9965621461580944,no,0.11
,,,,,,,,MIM,token,-10.043907830146706,-9.998539037207284,,
