Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
25/06/2023,21:39:43,era,0xd071866542f06b74eedab9c6ac36bc10f3af57aea2d9c887bb9981ec2d319ca5,https://era.zksync.network/tx/0xd071866542f06b74eedab9c6ac36bc10f3af57aea2d9c887bb9981ec2d319ca5,swapExactTokensForTokens,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,USDC,token,58.581374,58.5579414504,no,0.24
,,,,,,,,BUSD,token,-59.0774957205922,-59.065680221448076,,
25/06/2023,21:39:16,era,0x04f9e5b20d6ddfdf1c25dd59bae04407f6fec8bfc3de87330c3d263a51ab14fa,https://era.zksync.network/tx/0x04f9e5b20d6ddfdf1c25dd59bae04407f6fec8bfc3de87330c3d263a51ab14fa,approve,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,,,,,no,0.13
25/06/2023,21:38:54,era,0xfb90c82a761014b6c6bca75d37081a130be9ada592c5552eda58b1ebd9030dcd,https://era.zksync.network/tx/0xfb90c82a761014b6c6bca75d37081a130be9ada592c5552eda58b1ebd9030dcd,multicall,0x39e098a153ad69834a9dac32f0fca92066ad03f4,Maverick,BUSD,token,59.077489782391226,59.06567428443475,no,0.32
,,,,,,,,USD+,token,-59.070896,-59.067533707679615,,
25/06/2023,21:38:18,era,0xad5c97bf5e0fb5aef07fceca4c3c7e912fd63a0cd519b5ef26d6528b788ce2c6,https://era.zksync.network/tx/0xad5c97bf5e0fb5aef07fceca4c3c7e912fd63a0cd519b5ef26d6528b788ce2c6,approve,0x39e098a153ad69834a9dac32f0fca92066ad03f4,Maverick,,,,,no,0.1
25/06/2023,21:37:48,era,0x58f4603e006b92de82d6227d34985544a56fe9c961bbbd24f7244cf8dc304c6f,https://era.zksync.network/tx/0x58f4603e006b92de82d6227d34985544a56fe9c961bbbd24f7244cf8dc304c6f,swap,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,USD+,token,59.070896,59.067533707679615,no,0.36
,,,,,,,,USDT,token,-59.087193,-59.11134729027262,,
25/06/2023,21:37:36,era,0xd9d4b57c6f7e51e69bff08e86e91a2d02f8a0193321c10ed3d5e0b3a99eeb1bd,https://era.zksync.network/tx/0xd9d4b57c6f7e51e69bff08e86e91a2d02f8a0193321c10ed3d5e0b3a99eeb1bd,approve,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,,,,,no,0.13
25/06/2023,21:37:17,era,0x141d0d54c1129c6d32e7382d54bb02c6ea3751e75813c6f547ad72663db2ae46,https://era.zksync.network/tx/0x141d0d54c1129c6d32e7382d54bb02c6ea3751e75813c6f547ad72663db2ae46,swap,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,USDT,token,59.087193,59.11134729027262,no,0.2
,,,,,,,,USDC,token,-59.127889,-59.104237844400004,,
25/06/2023,21:37:08,era,0x3ba16925fe2fca5663c15b23068fb7effc0a49f4775057e1bbfa71c6ed4c4a34,https://era.zksync.network/tx/0x3ba16925fe2fca5663c15b23068fb7effc0a49f4775057e1bbfa71c6ed4c4a34,approve,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,,,,,no,0.1
25/06/2023,21:35:52,era,0x718cea48cf13ae5abf8172eb902422c77759977516214df86e82869b750e7e20,https://era.zksync.network/tx/0x718cea48cf13ae5abf8172eb902422c77759977516214df86e82869b750e7e20,swapAmount,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,USDC,token,59.127889,59.104237844400004,no,0.25
,,,,,,,,iZi,token,-2771.6583215254213,-56.48639659268808,,
25/06/2023,21:35:18,era,0x947a0805e28df84b24c047fe17955acbab4d40dde27d2516dd50bb9f4a556c38,https://era.zksync.network/tx/0x947a0805e28df84b24c047fe17955acbab4d40dde27d2516dd50bb9f4a556c38,approve,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,,,,,no,0.09
25/06/2023,21:34:53,era,0x827263712f3abd9186a45fc3d2c653a58752acb849f8c80998da9e9cecf0aef1,https://era.zksync.network/tx/0x827263712f3abd9186a45fc3d2c653a58752acb849f8c80998da9e9cecf0aef1,swapAmount,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,iZi,token,2771.658476647092,56.48639975406773,no,0.61
,,,,,,,,BUSD,token,-59.38200006462251,-59.37012366460959,,
25/06/2023,21:34:35,era,0x25a8348902f1aa263978fe28792f12180631c70c68a444449986dc001015caf4,https://era.zksync.network/tx/0x25a8348902f1aa263978fe28792f12180631c70c68a444449986dc001015caf4,approve,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,,,,,no,0.13
25/06/2023,21:33:56,era,0xade6dcb1804df6bae175158b2709f1f449f6122e42c294574f1927119d6e5efe,https://era.zksync.network/tx/0xade6dcb1804df6bae175158b2709f1f449f6122e42c294574f1927119d6e5efe,swap,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,BUSD,token,59.38200600282347,59.370129601622914,no,0.2
,,,,,,,,USDC,token,-59.357841,-59.3340978636,,
25/06/2023,21:33:47,era,0x6b2e51fd80846dc3890b408b5e5d35b2b2b631b59583f3bb01bbeb08dba6fe33,https://era.zksync.network/tx/0x6b2e51fd80846dc3890b408b5e5d35b2b2b631b59583f3bb01bbeb08dba6fe33,approve,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,,,,,no,0.1
25/06/2023,21:33:33,era,0xe51bc4c5e14ec31914a8b6e215bc54df9af5d1b5611755fd76cfdbc2e1e68bae,https://era.zksync.network/tx/0xe51bc4c5e14ec31914a8b6e215bc54df9af5d1b5611755fd76cfdbc2e1e68bae,swap,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,USDC,token,9.423625,9.41985555,no,0.21
,,,,,,,,ETH,token,-0.005,-9.494,,
