Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
06/08/2023,23:20:20,pze,0xacb08633ba94613f7d167d27799631f50d05d7ad3ddbb2bb65642bc68b109eb4,https://zkevm.polygonscan.com/tx/0xacb08633ba94613f7d167d27799631f50d05d7ad3ddbb2bb65642bc68b109eb4,receive,0x0000000000000000000000000000000000000000,,LZPOWERXLV2,token,1,0,no,
06/08/2023,23:19:47,era,0x8109439524e67bf7a95885345a7d54f56bb8d8d7ef37790fa9bae7b9cacb0c9d,https://era.zksync.network/tx/0x8109439524e67bf7a95885345a7d54f56bb8d8d7ef37790fa9bae7b9cacb0c9d,sendFrom,0x552113376fff4d1c90c0f6b444cd5109397753bf,,ETH,token,-0.00075004,-1.3727832112,no,0.2
,,,,,,,,LZPOWERXLV2,token,-1,0,,
06/08/2023,23:19:32,era,0x5a562540dc00c1e0f0433db2a8074f45e9d23670a3462003d5c41a24c5b7ed23,https://era.zksync.network/tx/0x5a562540dc00c1e0f0433db2a8074f45e9d23670a3462003d5c41a24c5b7ed23,mint,0x552113376fff4d1c90c0f6b444cd5109397753bf,,LZPOWERXLV2,token,1,0,no,0.17
,,,,,,,,ETH,token,-0.00023,-0.4209644,,
04/07/2023,21:35:56,era,0xc723c770b4c303641978ea967aefd4fd563638301df5276f9172370520965237,https://era.zksync.network/tx/0xc723c770b4c303641978ea967aefd4fd563638301df5276f9172370520965237,swapExactTokensForETH,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,USDC,token,-1.942507,-1.9421184986,no,0.95
04/07/2023,21:35:16,era,0x28b84c157f6d8768bdd56570f198366c7bfdeb057a0ccaad2877cf35b64b6f22,https://era.zksync.network/tx/0x28b84c157f6d8768bdd56570f198366c7bfdeb057a0ccaad2877cf35b64b6f22,approve,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,,,,,no,0.27
04/07/2023,21:34:36,era,0xe32cd51f0a91d45a57aaba7cb27a5a2c54ac1cee5b70209bafbd459808cf7436,https://era.zksync.network/tx/0xe32cd51f0a91d45a57aaba7cb27a5a2c54ac1cee5b70209bafbd459808cf7436,swapExactTokensForTokens,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,USDC,token,1.942507,1.9421184986,no,0.81
,,,,,,,,BUSD,token,-1.9503308842865663,-1.949940818109709,,
04/07/2023,21:34:22,era,0xe51f3ac770f1ea153bd64e4a2572ed5b9ff0fe012d16c120537824ffadaeefbb,https://era.zksync.network/tx/0xe51f3ac770f1ea153bd64e4a2572ed5b9ff0fe012d16c120537824ffadaeefbb,approve,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,,,,,no,0.27
04/07/2023,21:33:59,era,0x77b02487ec7cedef03cb8ae01b4bcad1741ea41e5e16edc87f539492b4adae0d,https://era.zksync.network/tx/0x77b02487ec7cedef03cb8ae01b4bcad1741ea41e5e16edc87f539492b4adae0d,swapExactETHForTokens,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,BUSD,token,1.9503308842865663,1.949940818109709,no,0.98
,,,,,,,,ETH,token,-0.001,-1.93619,,
04/07/2023,21:32:52,era,0xc0d1102e6a92a806fe486562d194b712d30cfc068489f33c9797ea5d6b7f0e2c,https://era.zksync.network/tx/0xc0d1102e6a92a806fe486562d194b712d30cfc068489f33c9797ea5d6b7f0e2c,swapExactTokensForETH,0xd999e16e68476bc749a28fc14a0c3b6d7073f50c,Velocore,USDC,token,-1.92107,-1.9206857860000002,no,1.35
04/07/2023,21:32:36,era,0x0f8934f297b6ead729cb8d3e8e6b7befb1582d6d5fd18db2ed38a8dbb66d3248,https://era.zksync.network/tx/0x0f8934f297b6ead729cb8d3e8e6b7befb1582d6d5fd18db2ed38a8dbb66d3248,approve,0xd999e16e68476bc749a28fc14a0c3b6d7073f50c,Velocore,,,,,no,0.39
04/07/2023,21:32:17,bsc,0x44ee71e3e46789a942b2d26e0389e91050b213600c2fcc5fb393028e9f427e38,https://bscscan.com/tx/0x44ee71e3e46789a942b2d26e0389e91050b213600c2fcc5fb393028e9f427e38,receive,0x98a5737749490856b401db5dc27f522fc314a4e1,Stargate,BUSD,token,23.407056,23.4023745888,no,
04/07/2023,21:31:54,arb,0x3a7502aa4f7c21c316debf734db2b7f06056046495c40fe1d4d82554ea40a68f,https://arbiscan.io/tx/0x3a7502aa4f7c21c316debf734db2b7f06056046495c40fe1d4d82554ea40a68f,swap,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,Stargate,ETH,token,-0.000308241896835363,-0.5968148782336614,no,0.46
,,,,,,,,USDC,token,-23.430486,-23.425799902799998,,
04/07/2023,21:31:47,arb,0xb41d5c349668cf533c34e82d30a1d4820d256ed98f281e3fed7ee4e017c767e4,https://arbiscan.io/tx/0xb41d5c349668cf533c34e82d30a1d4820d256ed98f281e3fed7ee4e017c767e4,approve,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,Stargate,,,,,no,0.18
25/06/2023,23:47:29,era,0x1275aa7f2b76f39cdecc386cd5a561e946125b797c26d7a4c5c3bb72899e22b9,https://era.zksync.network/tx/0x1275aa7f2b76f39cdecc386cd5a561e946125b797c26d7a4c5c3bb72899e22b9,crossChain,0x0bf0d6260fb4f4fc77b143eaff9e4fe51dd08c83,Merkly,ETH,token,-0.001007468448110745,-1.9129810892726826,no,0.31
25/06/2023,23:47:20,era,0x71fd55d6f86e9527eee5f94e72792cfd3619976ebc56a1b8a26c8975e68d0948,https://era.zksync.network/tx/0x71fd55d6f86e9527eee5f94e72792cfd3619976ebc56a1b8a26c8975e68d0948,mint,0x0bf0d6260fb4f4fc77b143eaff9e4fe51dd08c83,Merkly,ETH,token,-0.0004,-0.75952,no,0.16
25/06/2023,15:00:58,era,0x422836d413077a899a644b9c75daaed144f2c0d2e2f9526d715c957ac6919ea0,https://era.zksync.network/tx/0x422836d413077a899a644b9c75daaed144f2c0d2e2f9526d715c957ac6919ea0,swapExactETHForTokensSupportingFeeOnTransferTokens,0x8b791913eb07c32779a16750e3868aa8495f5964,Koi,USDC,token,1.915524,1.9147577904000002,no,0.39
,,,,,,,,ETH,token,-0.001,-1.8988,,
25/06/2023,15:00:50,arb,0xb003ffa7d5a3661306fb8d2c1f2639eda94ca0577cb31d041b57cca65b12c833,https://arbiscan.io/tx/0xb003ffa7d5a3661306fb8d2c1f2639eda94ca0577cb31d041b57cca65b12c833,receive,0x892785f33cdee22a30aef750f285e18c18040c3e,Stargate,USDC,token,20.133374,20.1253206504,no,
