Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
26/03/2024,16:40:05,linea,0x28b4dddaf87af7d843ed4240612e36d4827138f9bc0ec2ee99ee13787067cfdf,https://lineascan.build/tx/0x28b4dddaf87af7d843ed4240612e36d4827138f9bc0ec2ee99ee13787067cfdf,receive,0x4b68038e910941b7438e70a3943dcc4fd543715c,,ETH,token,0.0008,2.8698560000000004,no,
04/07/2023,21:48:21,era,0xdad8b0ba2999234e73afaf388bb65d5a81ce643d5aa622c76041466c430ce611,https://era.zksync.network/tx/0xdad8b0ba2999234e73afaf388bb65d5a81ce643d5aa622c76041466c430ce611,swap,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,USDT,token,-29.826151,-29.86353255208647,no,0.58
04/07/2023,21:48:13,era,0xab617d47e976a2e60b808e82861aee3d81793ae3203bf152c3cd2533536ca984,https://era.zksync.network/tx/0xab617d47e976a2e60b808e82861aee3d81793ae3203bf152c3cd2533536ca984,approve,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,,,,,no,0.26
04/07/2023,21:47:56,era,0x43f521e8d77754eeb14ea67b5e81ea582e45370a1133bd4d0c5f8338376874c5,https://era.zksync.network/tx/0x43f521e8d77754eeb14ea67b5e81ea582e45370a1133bd4d0c5f8338376874c5,swap,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,USDT,token,29.826151,29.86353255208647,no,1.68
,,,,,,,,USD+,token,-29.858152999999998,-29.85192816903196,,
04/07/2023,21:47:49,era,0x9c0d93f53286aaf8f0f0dda0953cfe51e0bdfac4ebf47b946b7ea9e932925ae1,https://era.zksync.network/tx/0x9c0d93f53286aaf8f0f0dda0953cfe51e0bdfac4ebf47b946b7ea9e932925ae1,approve,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,,,,,no,0.2
04/07/2023,21:47:27,era,0xf30850374a86da470d165155437f34a8ff112e71b6fd93eee7e826f3bcc4c7aa,https://era.zksync.network/tx/0xf30850374a86da470d165155437f34a8ff112e71b6fd93eee7e826f3bcc4c7aa,swap,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,USD+,token,29.757639,29.75143512420156,no,1.56
,,,,,,,,ETH,token,-0.01539768591100365,-29.81284548402616,,
04/07/2023,21:47:04,era,0x378b07609c254a298325447bf12ec233c7f7e8d102febaa4c3a28a370e57206b,https://era.zksync.network/tx/0x378b07609c254a298325447bf12ec233c7f7e8d102febaa4c3a28a370e57206b,swapExactTokensForETH,0xd999e16e68476bc749a28fc14a0c3b6d7073f50c,Velocore,USDC,token,-28.860901,-28.855128819799997,no,1.02
04/07/2023,21:46:31,era,0xbb961b2b7a9062b4f4952a552bd939207a61a2cffd6775c1c408ba72a3929ee6,https://era.zksync.network/tx/0xbb961b2b7a9062b4f4952a552bd939207a61a2cffd6775c1c408ba72a3929ee6,approve,0xd999e16e68476bc749a28fc14a0c3b6d7073f50c,Velocore,,,,,no,0.17
