Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
05/07/2023,17:10:17,era,0x3c12b5042a7c6c9d138adfb67e06a6100839a88492b6b61afea10633e69d4757,https://era.zksync.network/tx/0x3c12b5042a7c6c9d138adfb67e06a6100839a88492b6b61afea10633e69d4757,swapExactETHForTokens,0xd999e16e68476bc749a28fc14a0c3b6d7073f50c,Velocore,BUSD,token,9.528499874399396,9.528499874399396,no,1.79
,,,,,,,,ETH,token,-0.005,-9.5518,,
05/07/2023,17:09:01,avax,0x90a34000102444bb1f60a14f52b6fbfa995147b4e7006a628d422d99cd4707eb,https://snowscan.xyz/tx/0x90a34000102444bb1f60a14f52b6fbfa995147b4e7006a628d422d99cd4707eb,receive,0x1205f31718499dbf1fca446663b532ef87481fe1,Stargate,USDC,token,7.615296,7.615296,no,
05/07/2023,17:07:59,op,0xc1e9f67b7116df081e3875578985f000914e6afbabdaa5019fd6f35e964aa91f,https://optimistic.etherscan.io/tx/0xc1e9f67b7116df081e3875578985f000914e6afbabdaa5019fd6f35e964aa91f,swap,0xb0d502e938ed5f4df2e681fe6e419ff29631d62b,Stargate,ETH,token,-0.000226912863721157,-0.43348525833834944,no,0.33
,,,,,,,,USDC,token,-7.627063,-7.627063,,
05/07/2023,17:07:39,op,0x5a14ac585548576d8c2406752e871af47a93e4c9855b35cb1797981d763fcca7,https://optimistic.etherscan.io/tx/0x5a14ac585548576d8c2406752e871af47a93e4c9855b35cb1797981d763fcca7,approve,0xb0d502e938ed5f4df2e681fe6e419ff29631d62b,Stargate,,,,,no,0.16
26/06/2023,00:12:37,bsc,0xf57e00f96a7079305ec77fda1c4ac9a34ec69ddc9e99226d01e4218f8c8f2520,https://bscscan.com/tx/0xf57e00f96a7079305ec77fda1c4ac9a34ec69ddc9e99226d01e4218f8c8f2520,receive,0x98a5737749490856b401db5dc27f522fc314a4e1,Stargate,BUSD,token,4.990971,4.9899728058,no,
25/06/2023,23:52:41,matic,0x6152483929e0063b004e0931d20dd19209fe9bdbefdb76218f88b0d1d36d0130,https://polygonscan.com/tx/0x6152483929e0063b004e0931d20dd19209fe9bdbefdb76218f88b0d1d36d0130,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,MATIC,token,-0.8865737888136825,-0.5912879764162422,no,0.04
,,,,,,,,USDC,token,-4.995966,-4.993967613600001,,
25/06/2023,23:52:15,matic,0x214fcc9f109cd0ce9552d2f1ad0d944fa74776dc68e3a6a9e84fa920abeab7c2,https://polygonscan.com/tx/0x214fcc9f109cd0ce9552d2f1ad0d944fa74776dc68e3a6a9e84fa920abeab7c2,approve,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,,,,,no,0.01
