Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
05/07/2023,17:49:50,avax,0xb01cf7008b3aaa8e6cbed0b9b199366cf10bda3cf590cbf7d7fbb4e08c3eff2f,https://snowscan.xyz/tx/0xb01cf7008b3aaa8e6cbed0b9b199366cf10bda3cf590cbf7d7fbb4e08c3eff2f,receive,0x1205f31718499dbf1fca446663b532ef87481fe1,Stargate,USDC,token,19.026489,19.026489,no,
05/07/2023,17:29:46,matic,0x34d52b1a620df86171b1bf7d848e57f3cb8b5b43e50b9cd177cf582ba63880bf,https://polygonscan.com/tx/0x34d52b1a620df86171b1bf7d848e57f3cb8b5b43e50b9cd177cf582ba63880bf,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,MATIC,token,-0.6272391381702487,-0.42059520410006024,no,0.03
,,,,,,,,USDC,token,-19.040745,-19.040745,,
05/07/2023,17:29:26,matic,0x2f09d739b02140fddbe74973c799a0c72af26c6c3ace8a0834dfb71d6d06dd64,https://polygonscan.com/tx/0x2f09d739b02140fddbe74973c799a0c72af26c6c3ace8a0834dfb71d6d06dd64,approve,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,,,,,no,0.01
05/07/2023,17:28:44,matic,0x0d3a5be15acb9995d73a9098d7aa193d5cb6224c8c25acdce658bad0314b672f,https://polygonscan.com/tx/0x0d3a5be15acb9995d73a9098d7aa193d5cb6224c8c25acdce658bad0314b672f,receive,0x1205f31718499dbf1fca446663b532ef87481fe1,Stargate,USDC,token,19.040745,19.040745,no,
05/07/2023,17:28:18,arb,0x6d7b6f3dbd8818ec7ac837856f4ccde36060e695a4f4d739f113cc5a5b064612,https://arbiscan.io/tx/0x6d7b6f3dbd8818ec7ac837856f4ccde36060e695a4f4d739f113cc5a5b064612,swap,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,Stargate,ETH,token,-0.000183314652847642,-0.35019698021402135,no,0.46
,,,,,,,,USDC,token,-19.052176,-19.052176,,
05/07/2023,17:28:06,arb,0x06e9685dc7ac76481e87cb1b7844bed0d2b6898e3ddb2ec97d3d7b7ad07b0cfe,https://arbiscan.io/tx/0x06e9685dc7ac76481e87cb1b7844bed0d2b6898e3ddb2ec97d3d7b7ad07b0cfe,approve,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,Stargate,,,,,no,0.19
05/07/2023,17:27:29,arb,0x1e323cbf057967549ce93f4b4be4e0dc4e2af9490bf5ba97da518899230ca232,https://arbiscan.io/tx/0x1e323cbf057967549ce93f4b4be4e0dc4e2af9490bf5ba97da518899230ca232,swapTokensGeneric,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,USDC,token,19.052176,19.052176,no,0.6
,,,,,,,,USDC,token,-19.05268,-19.05268,,
05/07/2023,17:27:17,arb,0x884b466c597ecd74f2ecf25f7750a2a36bc3379e9a32984c6c3a330fcb188876,https://arbiscan.io/tx/0x884b466c597ecd74f2ecf25f7750a2a36bc3379e9a32984c6c3a330fcb188876,approve,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,,,,,no,0.19
05/07/2023,17:26:18,arb,0x0974c2004f1dc32115930408a3f525b5af31cfd78c5e57f245515ad3e5039cf7,https://arbiscan.io/tx/0x0974c2004f1dc32115930408a3f525b5af31cfd78c5e57f245515ad3e5039cf7,swapTokensGeneric,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,USDC,token,19.05268,19.05268,no,0.59
,,,,,,,,ETH,token,-0.01,-19.1036,,
05/07/2023,17:24:32,era,0x663090f634b777ae60dba1dd3405a6fa66aaf12030d4f3d401fecc04f1de482d,https://era.zksync.network/tx/0x663090f634b777ae60dba1dd3405a6fa66aaf12030d4f3d401fecc04f1de482d,swapExactETHForTokensSupportingFeeOnTransferTokens,0x8b791913eb07c32779a16750e3868aa8495f5964,Koi,USDC,token,18.920745,18.920745,no,0.82
,,,,,,,,ETH,token,-0.01,-19.1036,,
26/06/2023,00:10:17,era,0x38b1d4a78e08f97e1e47d28ebb3a388540e787f119f383b4dd3064c565e5468b,https://era.zksync.network/tx/0x38b1d4a78e08f97e1e47d28ebb3a388540e787f119f383b4dd3064c565e5468b,crossChain,0x0bf0d6260fb4f4fc77b143eaff9e4fe51dd08c83,Merkly,ETH,token,-0.000572477375670669,-1.0870200409234663,no,0.32
26/06/2023,00:10:12,era,0xf7a78f1dd07a71cc3c589a8322e26dc58bbd29e4ee3a22ea0f1868cb7b65ed78,https://era.zksync.network/tx/0xf7a78f1dd07a71cc3c589a8322e26dc58bbd29e4ee3a22ea0f1868cb7b65ed78,mint,0x0bf0d6260fb4f4fc77b143eaff9e4fe51dd08c83,Merkly,ETH,token,-0.0004,-0.75952,no,0.2
26/06/2023,00:09:22,era,0xc92064a82648eca18aec363b0d260a88bfbbceb7f7ace3a015558fc55c7f2cdb,https://era.zksync.network/tx/0xc92064a82648eca18aec363b0d260a88bfbbceb7f7ace3a015558fc55c7f2cdb,swap,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,USDT,token,-5.665752,-5.6680681062740055,no,0.16
26/06/2023,00:09:06,era,0x7217212b0029813a579b62c0d5488d5db4f0f6103b652ceafa2369775a43d112,https://era.zksync.network/tx/0x7217212b0029813a579b62c0d5488d5db4f0f6103b652ceafa2369775a43d112,approve,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,,,,,no,0.09
26/06/2023,00:08:52,era,0xe948092b4cdc150fc37604e9569e626e3c97239bcb58fc7c81df917aa1744c74,https://era.zksync.network/tx/0xe948092b4cdc150fc37604e9569e626e3c97239bcb58fc7c81df917aa1744c74,swap,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,USDT,token,5.665752,5.6680681062740055,no,0.21
,,,,,,,,USDC,token,-5.66967,-5.667402132,,
26/06/2023,00:08:28,era,0x69c129e9ca9e43ac3c2d25e84f9d059ca456c53fdc085e85c88f6a4fd0e4e2fa,https://era.zksync.network/tx/0x69c129e9ca9e43ac3c2d25e84f9d059ca456c53fdc085e85c88f6a4fd0e4e2fa,swapExactETHForTokens,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,USDC,token,5.669495,5.667227202,no,0.19
,,,,,,,,ETH,token,-0.003,-5.6964,,
07/06/2023,20:41:13,era,0x689f5ea58786069a168aa34960a4b2ce0b4efdd47044d7cc76600b7e7bb4da32,https://era.zksync.network/tx/0x689f5ea58786069a168aa34960a4b2ce0b4efdd47044d7cc76600b7e7bb4da32,multicall,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,iZi,token,-1226.326416803129,-26.73391588630821,no,0.4
07/06/2023,20:40:52,era,0xc1fc31d275d1f20f61a923414f0391adc0223133b29061bb2fc5586a16725549,https://era.zksync.network/tx/0xc1fc31d275d1f20f61a923414f0391adc0223133b29061bb2fc5586a16725549,approve,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,,,,,no,0.12
07/06/2023,20:40:32,era,0xdce5631c1acf1fd1c1496fafda7e47bfd0baae98ed2dfcd1f35e42e1b98741af,https://era.zksync.network/tx/0xdce5631c1acf1fd1c1496fafda7e47bfd0baae98ed2dfcd1f35e42e1b98741af,multicall,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,iZi,token,1226.3264338824306,26.733916258636988,no,0.64
,,,,,,,,ETH,token,-0.0164,-30.046768,,
07/06/2023,19:20:46,era,0x23ae44b6e7f2311dd1e2a5a923a28ca282d5d43fa8b274f078a36834814f5750,https://era.zksync.network/tx/0x23ae44b6e7f2311dd1e2a5a923a28ca282d5d43fa8b274f078a36834814f5750,receive,0xee73323912a4e3772b74ed0ca1595a152b0ef282,,ETH,token,0.008077000000000036,14.798033240000064,no,
04/06/2023,16:17:16,arb,0x8439b016f7f9b8a3414925e5d0f4250df67e6fb335a4e76db6947484768caf36,https://arbiscan.io/tx/0x8439b016f7f9b8a3414925e5d0f4250df67e6fb335a4e76db6947484768caf36,receive,0x82cbecf39bee528b5476fe6d1550af59a9db6fc0,Stargate,ETH,token,0.009994,18.88875994,no,
04/06/2023,16:16:44,op,0x8109ccb0d121b86667035f420412dd8b1a70fdd088f9373e45795e4bac19ca28,https://optimistic.etherscan.io/tx/0x8109ccb0d121b86667035f420412dd8b1a70fdd088f9373e45795e4bac19ca28,swapETH,0xb49c4e680174e331cb0a7ff3ab58afc9738d5f8b,Stargate,ETH,token,-0.010421428192441353,-19.69660349799608,no,0.28
04/06/2023,16:15:40,era,0x856e0880ee81b13e9978263750ea6cf6afb63518f8d36cb6fb08f6d8687f1888,https://era.zksync.network/tx/0x856e0880ee81b13e9978263750ea6cf6afb63518f8d36cb6fb08f6d8687f1888,multicall,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,iZi,token,-1055.5334060327107,-25.867092765129,no,0.64
04/06/2023,16:15:07,era,0xf8e44e5b434e80acc1697cf21cf477d85c679d7c8957e237eb05e84857f50341,https://era.zksync.network/tx/0xf8e44e5b434e80acc1697cf21cf477d85c679d7c8957e237eb05e84857f50341,approve,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,,,,,no,0.14
04/06/2023,16:14:51,era,0xa672b27c546a33bb07dabb768057949bae55bbfdfe8826bd89912791c2aca5d7,https://era.zksync.network/tx/0xa672b27c546a33bb07dabb768057949bae55bbfdfe8826bd89912791c2aca5d7,multicall,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,iZi,token,1055.533511586063,25.867095351838564,no,0.66
,,,,,,,,ETH,token,-0.014,-26.46014,,
27/05/2023,19:16:50,op,0x64a488059b8477710b1c6383491ae9957e7cc1c91cfc3798f9101dd105bd83b2,https://optimistic.etherscan.io/tx/0x64a488059b8477710b1c6383491ae9957e7cc1c91cfc3798f9101dd105bd83b2,send,0xb65ebcf79fffd3172a7c41f3b110336fcf335165,,ETH,token,-5.461,-9993.02929,no,0.17
27/05/2023,17:47:21,op,0x16c9682ee7475076060aed3dac5e6b97b6877550aec0dfd58fa1a51009b12da4,https://optimistic.etherscan.io/tx/0x16c9682ee7475076060aed3dac5e6b97b6877550aec0dfd58fa1a51009b12da4,execute,0xb555edf5dcf85f42ceef1f3630a52a108e55a654,Uniswap V3,ETH,token,0.29938051989517045,547.8334195509735,no,0.44
,,,,,,,,USDC,token,-546.282277,-546.1183923169,,
27/05/2023,17:47:06,op,0x012290b845b08c674e4b819622d4dea40f8282b20495480fb78ab36f602979ba,https://optimistic.etherscan.io/tx/0x012290b845b08c674e4b819622d4dea40f8282b20495480fb78ab36f602979ba,approve,0x000000000022d473030f116ddee9f6b43ac78ba3,Uniswap Permit2,,,,,no,0.18
27/05/2023,17:44:36,op,0xc04915c197b6e65a008d3de01540623b0311a30f3d2087c2a4d52d23070589c2,https://optimistic.etherscan.io/tx/0xc04915c197b6e65a008d3de01540623b0311a30f3d2087c2a4d52d23070589c2,approve,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,,,,,no,0.21
27/05/2023,17:41:51,op,0x081f63b7690435704af7ec473656b5d374241ae44eee1f52c9febb051638db71,https://optimistic.etherscan.io/tx/0x081f63b7690435704af7ec473656b5d374241ae44eee1f52c9febb051638db71,receive,0xdecc0c09c3b5f6e92ef4184125d5648a66e35298,Stargate,USDC,token,300.553402,300.4632359794,no,
27/05/2023,17:41:13,avax,0x463d6ca319a1baa0b628a83392d4acc72483641183ee147bc088433bad70fd9c,https://snowscan.xyz/tx/0x463d6ca319a1baa0b628a83392d4acc72483641183ee147bc088433bad70fd9c,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,AVAX,token,-0.089149577529441,-1.2989093446039555,no,0.15
,,,,,,,,USDC,token,-300.733841,-300.6436208477,,
27/05/2023,17:35:21,op,0xdb766db5140382996f1337ab0ae505fbd34ecc0ddc249557692fb7ab20914442,https://optimistic.etherscan.io/tx/0xdb766db5140382996f1337ab0ae505fbd34ecc0ddc249557692fb7ab20914442,receive,0xdecc0c09c3b5f6e92ef4184125d5648a66e35298,Stargate,USDC,token,39.976,39.9640072,no,
27/05/2023,17:34:44,avax,0xd33dd08dfa9c625f25a4ad69d9467134a42f14da2570d3847cee1493b1e3b8ef,https://snowscan.xyz/tx/0xd33dd08dfa9c625f25a4ad69d9467134a42f14da2570d3847cee1493b1e3b8ef,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,AVAX,token,-0.08058197929681435,-1.1740794383545852,no,0.15
,,,,,,,,USDC,token,-40,-39.988,,
27/05/2023,17:34:20,avax,0x82ab20cc0154c719b28e89f6b34141708b9c0fa4b85e71d5f5cb80e4244ff614,https://snowscan.xyz/tx/0x82ab20cc0154c719b28e89f6b34141708b9c0fa4b85e71d5f5cb80e4244ff614,approve,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,,,,,no,0.02
27/05/2023,17:34:06,op,0xb9ecf7a6912ae0b9f0716ae4e6375823cd2790f858842ca8bf28d1c6e80b0cd2,https://optimistic.etherscan.io/tx/0xb9ecf7a6912ae0b9f0716ae4e6375823cd2790f858842ca8bf28d1c6e80b0cd2,receive,0xdecc0c09c3b5f6e92ef4184125d5648a66e35298,Stargate,USDC,token,55.842875,55.8261221375,no,
27/05/2023,17:33:51,op,0xa73babf3b097d13b1adeade7768ea145386e973522839fd60797a1c53d38eb90,https://optimistic.etherscan.io/tx/0xa73babf3b097d13b1adeade7768ea145386e973522839fd60797a1c53d38eb90,receive,0xdecc0c09c3b5f6e92ef4184125d5648a66e35298,Stargate,USDC,token,149.91,149.865027,no,
27/05/2023,17:33:03,bsc,0xfbe7933463e1f77334e1bc12f258009debaae6d3a850f8aa781254e51c502e83,https://bscscan.com/tx/0xfbe7933463e1f77334e1bc12f258009debaae6d3a850f8aa781254e51c502e83,swap,0x4a364f8c717caad9a442737eb7b8a55cc6cf18d8,Stargate,BNB,token,-0.003685591566310404,-1.133651109881417,no,0.28
,,,,,,,,BUSD,token,-55.8764,-55.86522472,,
27/05/2023,17:32:39,bsc,0x92381c3ee6fb4dd6bde325586e06c9c1a5863ed8c2b17b3fb741705625bc9a87,https://bscscan.com/tx/0x92381c3ee6fb4dd6bde325586e06c9c1a5863ed8c2b17b3fb741705625bc9a87,swap,0x4a364f8c717caad9a442737eb7b8a55cc6cf18d8,Stargate,BNB,token,-0.003685591566310404,-1.133651109881417,no,0.31
,,,,,,,,BUSD,token,-150,-149.97,,
27/05/2023,17:32:18,bsc,0xb66e6618116a12191496f5e7f146a707d9f71c618696478c6788992327e3a43e,https://bscscan.com/tx/0xb66e6618116a12191496f5e7f146a707d9f71c618696478c6788992327e3a43e,approve,0x4a364f8c717caad9a442737eb7b8a55cc6cf18d8,Stargate,,,,,no,0.04
27/05/2023,17:25:51,op,0x1e1babf59baefe8a8b16df9d7043365f889445547cfcb9167cbb682e0c73795c,https://optimistic.etherscan.io/tx/0x1e1babf59baefe8a8b16df9d7043365f889445547cfcb9167cbb682e0c73795c,receive,0xb69c8cbcd90a39d8d3d3ccf0a3e968511c3856a0,Stargate,ETH,token,2.79832,5120.6177848,no,
27/05/2023,17:25:14,arb,0x1beccd592136bf6cb4a9a4d32a6ff46524c2c3e651c3a4603a8284cd165fa246,https://arbiscan.io/tx/0x1beccd592136bf6cb4a9a4d32a6ff46524c2c3e651c3a4603a8284cd165fa246,swapETH,0xbf22f0f184bccbea268df387a49ff5238dd23e40,Stargate,ETH,token,-2.8006268780277286,-5124.839117834161,no,0.24
27/05/2023,17:22:56,avax,0x60c4b682b16096af075138f5830d8c4dd7014cd502aa5c3424cee684432604f8,https://snowscan.xyz/tx/0x60c4b682b16096af075138f5830d8c4dd7014cd502aa5c3424cee684432604f8,receive,0x1205f31718499dbf1fca446663b532ef87481fe1,Stargate,USDC,token,200.817841,200.7575956477,no,
27/05/2023,17:22:51,bsc,0x2398fadc9308535f12e9c7e080ee0f038e9f185b9e9ebcaa42522dc58a08fabc,https://bscscan.com/tx/0x2398fadc9308535f12e9c7e080ee0f038e9f185b9e9ebcaa42522dc58a08fabc,receive,0x98a5737749490856b401db5dc27f522fc314a4e1,Stargate,BUSD,token,105.9364,105.91521272000001,no,
27/05/2023,17:22:32,arb,0x27155e55ce23b0cb544e0010bb851542968f4f1a54289df1db47221f40c50700,https://arbiscan.io/tx/0x27155e55ce23b0cb544e0010bb851542968f4f1a54289df1db47221f40c50700,swap,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,Stargate,ETH,token,-0.000249518264456481,-0.4565909769462701,no,0.28
,,,,,,,,USDC,token,-200.938403,-200.8781214791,,
27/05/2023,17:22:15,arb,0x3c39bfecb67534bad0dc86c9cc7fbe58b6ff2a1519a09a0858a2c0d52ec08565,https://arbiscan.io/tx/0x3c39bfecb67534bad0dc86c9cc7fbe58b6ff2a1519a09a0858a2c0d52ec08565,swap,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,Stargate,ETH,token,-0.000364511413165331,-0.6670157898371075,no,0.28
,,,,,,,,USDC,token,-106,-105.96820000000001,,
27/05/2023,17:22:09,bsc,0xe801a745f8318d1b3d95a124b74716baa53df0f52e3a8c18d0fc8b59479d7994,https://bscscan.com/tx/0xe801a745f8318d1b3d95a124b74716baa53df0f52e3a8c18d0fc8b59479d7994,receive,0x98a5737749490856b401db5dc27f522fc314a4e1,Stargate,BUSD,token,99.94,99.920012,no,
