Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
09/08/2023,11:52:35,arb,0x1cd2856f6482772bc6ff18bbca6db2d34cc814b56e6e34cec0595d129609a684,https://arbiscan.io/tx/0x1cd2856f6482772bc6ff18bbca6db2d34cc814b56e6e34cec0595d129609a684,send,0xcadec57af1b42de7c9b83b3c426dba423397b384,,USDC,token,-25,-25.0125,no,0.07
09/08/2023,11:24:20,arb,0x25b3856413daddb1e91468a0538fb9674be60c035d3008f929ee3ac4e11cc039,https://arbiscan.io/tx/0x25b3856413daddb1e91468a0538fb9674be60c035d3008f929ee3ac4e11cc039,send,0xcadec57af1b42de7c9b83b3c426dba423397b384,,USDC,token,-20,-20.009999999999998,no,0.08
09/08/2023,11:23:57,arb,0x48f6baa632bfb7d2e4eed9da2ad5e166e52de260b81bf800840f169ef52e1401,https://arbiscan.io/tx/0x48f6baa632bfb7d2e4eed9da2ad5e166e52de260b81bf800840f169ef52e1401,receive,0x41d3d33156ae7c62c094aae2995003ae63f587b3,,USDC,token,62.950026,62.981501013,no,
09/08/2023,11:23:47,era,0x1007ae3c5ecdd823365d83e16db94b639901dbb20c681fce4aa6f20c5a1588cf,https://era.zksync.network/tx/0x1007ae3c5ecdd823365d83e16db94b639901dbb20c681fce4aa6f20c5a1588cf,send,0x41d3d33156ae7c62c094aae2995003ae63f587b3,,USDC,token,-64.889002,-64.921446501,no,0.1
09/08/2023,11:23:32,era,0x8769fe21e45bc6a9961d632d527fc289f85e0393055196d06cd63778e8e2c12a,https://era.zksync.network/tx/0x8769fe21e45bc6a9961d632d527fc289f85e0393055196d06cd63778e8e2c12a,swap,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,USDC,token,64.8947,64.92714735,no,0.29
,,,,,,,,USDT,token,-65.000943,-65.00608898930166,,
09/08/2023,10:50:36,arb,0x97d30327f0596c3ca7ba908f9f528caf703ea43b51f6ab2e7179e8d4de3a3c56,https://arbiscan.io/tx/0x97d30327f0596c3ca7ba908f9f528caf703ea43b51f6ab2e7179e8d4de3a3c56,send,0xcadec57af1b42de7c9b83b3c426dba423397b384,,USDC,token,-5,-5.0024999999999995,no,0.08
08/08/2023,18:17:12,arb,0x5a735b3023864037f144023cca9eb670ef747f32cf4f7d61ae711a4acc4c613e,https://arbiscan.io/tx/0x5a735b3023864037f144023cca9eb670ef747f32cf4f7d61ae711a4acc4c613e,send,0xc0890e233c9d75e272ae87c7ab07d335943c6428,,USDT,token,-5,-4.998175,no,0.12
08/08/2023,18:15:49,arb,0xb637d971c538339d5ad7a7bd44872a03bf9fa933906320e51ab744e5edd976f0,https://arbiscan.io/tx/0xb637d971c538339d5ad7a7bd44872a03bf9fa933906320e51ab744e5edd976f0,execute,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,Uniswap V3,USDT,token,5.004021,5.002194532335,no,0.34
,,,,,,,,USDC,token,-5,-5.0015,,
08/08/2023,18:14:43,arb,0xf0562f67d752c8bfc77bf680c40476a543f27e3426cec74448bb876a50f5db2d,https://arbiscan.io/tx/0xf0562f67d752c8bfc77bf680c40476a543f27e3426cec74448bb876a50f5db2d,approve,0x000000000022d473030f116ddee9f6b43ac78ba3,Uniswap Permit2,,,,,no,0.12
08/08/2023,16:40:11,arb,0xc8e1691fbb207995d688ffc4024a78dbd524f58887484249a0a388396e16ba87,https://arbiscan.io/tx/0xc8e1691fbb207995d688ffc4024a78dbd524f58887484249a0a388396e16ba87,send,0xcadec57af1b42de7c9b83b3c426dba423397b384,,USDC,token,-5,-5.0015,no,0.12
