Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
25/06/2023,22:04:28,era,0xfe08b531fd066a3f6d54b520b215d1bf45eebcc182b40bbe5d0fbe87aa096a71,https://era.zksync.network/tx/0xfe08b531fd066a3f6d54b520b215d1bf45eebcc182b40bbe5d0fbe87aa096a71,swapAmount,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,BUSD,token,96.4909065347243,96.47160835341737,no,0.55
,,,,,,,,iZi,token,-4509.660170511952,-91.90687427503357,,
25/06/2023,22:04:11,era,0xe80e5ac977cc6384774f60215aef93e06319af9e6547e6788ab3def179072b08,https://era.zksync.network/tx/0xe80e5ac977cc6384774f60215aef93e06319af9e6547e6788ab3def179072b08,approve,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,,,,,no,0.12
25/06/2023,22:03:33,era,0xc22dc01d42cb1e1b1971395c1799cc72e8d325c4796e64c1ed7c16e319842952,https://era.zksync.network/tx/0xc22dc01d42cb1e1b1971395c1799cc72e8d325c4796e64c1ed7c16e319842952,swapAmount,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,iZi,token,4509.660460421061,91.9068801833812,no,0.25
,,,,,,,,USDC,token,-96.905416,-96.86665383360001,,
25/06/2023,22:03:23,era,0x5770810126fd108e4c27b00edf59368ba46e7b23e91d794accf8900ff5bdb563,https://era.zksync.network/tx/0x5770810126fd108e4c27b00edf59368ba46e7b23e91d794accf8900ff5bdb563,approve,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,,,,,no,0.1
25/06/2023,22:02:55,era,0x2892aaffeaad91619fb37583844d39780a0f817ffa345e7a3566b39221656191,https://era.zksync.network/tx/0x2892aaffeaad91619fb37583844d39780a0f817ffa345e7a3566b39221656191,swapAmount,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,USDC,token,96.905425,96.86666283,no,0.2
,,,,,,,,iUSD,token,-96.9536408594239,-96.940534404727,,
25/06/2023,22:02:45,era,0xd685cf827b1d905bb1ad05ed91f4a0621a730f7354e8bee0f1d0fee596904218,https://era.zksync.network/tx/0xd685cf827b1d905bb1ad05ed91f4a0621a730f7354e8bee0f1d0fee596904218,approve,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,,,,,no,0.08
25/06/2023,22:02:28,era,0x2abb4da556502b9ce708e4f03b94416f0e7394cabc9bc049e366a9e887bc8fdb,https://era.zksync.network/tx/0x2abb4da556502b9ce708e4f03b94416f0e7394cabc9bc049e366a9e887bc8fdb,multicall,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,iUSD,token,62.469271160806734,62.460826396224824,no,0.41
