Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
06/08/2023,23:34:25,base,0x47806d06c03d1ac77ec28234c69ee16dfea143fb154f6d6150badd553f74a334,https://www.basescan.org/tx/0x47806d06c03d1ac77ec28234c69ee16dfea143fb154f6d6150badd553f74a334,Contract Interaction,0xcb566e3b6934fa77258d68ea18e931fa75e1aaaa,LayerZero Labs,USDbC,token,20.717065,20.818226056146123,no,
,,,,,,,,ETH,token,0.000124719641186383,0.2282718648706131,,
06/08/2023,23:14:20,matic,0x642f9e95238d831d736de01fb79a06a97166182eabc45f4af60a5862aa68e34e,https://polygonscan.com/tx/0x642f9e95238d831d736de01fb79a06a97166182eabc45f4af60a5862aa68e34e,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,MATIC,token,-0.7024604547803445,-0.4687223581358231,no,0.02
,,,,,,,,USDC,token,-20.784056,-20.813153678400003,,
06/08/2023,23:14:00,matic,0xefdaa073e3de5ebf7422722f3ac817353054faa5b78de671361ba27f5e82e11e,https://polygonscan.com/tx/0xefdaa073e3de5ebf7422722f3ac817353054faa5b78de671361ba27f5e82e11e,approve,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,,,,,no,0
06/08/2023,23:13:24,era,0x543bb8ae7628c918fbb66b49c64685186748bc4c3989c7f994fd5e96d1d4d641,https://era.zksync.network/tx/0x543bb8ae7628c918fbb66b49c64685186748bc4c3989c7f994fd5e96d1d4d641,swap,0xa269031037b4d5fa3f771c401d19e57def6cb491,ODOS,USDC,token,18.366611,18.392324255400002,no,0.21
,,,,,,,,ETH,token,-0.01,-18.3028,,
19/07/2023,22:18:50,matic,0x8547692ab911d410c49d4d81e33436b11b263619cc398284e3980ff0e2d21471,https://polygonscan.com/tx/0x8547692ab911d410c49d4d81e33436b11b263619cc398284e3980ff0e2d21471,receive,0x1205f31718499dbf1fca446663b532ef87481fe1,Stargate,USDC,token,20.784056,20.7819775944,no,
19/07/2023,22:18:20,ftm,0x7d9b345e3c5ff07c62b5c84be377fa6a486ab35c2d8a9ca130c17a0125e0b510,https://ftmscan.com/tx/0x7d9b345e3c5ff07c62b5c84be377fa6a486ab35c2d8a9ca130c17a0125e0b510,swap,0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,Stargate,FTM,token,-1.3656506243204505,-0.3467386935149624,no,0.01
,,,,,,,,USDC,token,-20.80486,-20.786302978292444,,
19/07/2023,22:17:58,ftm,0xd71e1ce60e0051c1a48d62184a38fa98c7b4d075118fae5b233ac12082ce118e,https://ftmscan.com/tx/0xd71e1ce60e0051c1a48d62184a38fa98c7b4d075118fae5b233ac12082ce118e,approve,0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,Stargate,,,,,no,0
