Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
02/03/2024,17:27:33,tenet,0x97914e06c3f5fb73317bef6c25431226fa5054119da3a87323e3706af7cfa318,https://tenetscan.io/tx/0x97914e06c3f5fb73317bef6c25431226fa5054119da3a87323e3706af7cfa318,receive,0x0000000000000000000000000000000000000000,,DLGATE,token,1,0,no,
02/03/2024,17:07:29,matic,0x6177bff72318a4859278719d780cfedde2fad3b19e9872522a2f2c673bcbc598,https://polygonscan.com/tx/0x6177bff72318a4859278719d780cfedde2fad3b19e9872522a2f2c673bcbc598,sendFrom,0x6c2f11686b4706c29337d1c0bbbe819a3e6dfa56,DappGate,MATIC,token,-0.45285423637290806,-0.4958079135471148,no,0.02
,,,,,,,,DLGATE,token,-1,0,,
02/03/2024,17:06:39,matic,0xe9c943502dae23714ace076fd837761dff4c6065d8e3f157136bc40a2cdf5da5,https://polygonscan.com/tx/0xe9c943502dae23714ace076fd837761dff4c6065d8e3f157136bc40a2cdf5da5,mint,0x6c2f11686b4706c29337d1c0bbbe819a3e6dfa56,DappGate,DLGATE,token,1,0,no,0.01
,,,,,,,,MATIC,token,-0.6,-0.6569106,,
25/02/2024,20:27:40,era,0x113907367b0c8f31dfe61590dcb05a9062b0584e8cfccbe764b6522435963c91,https://era.zksync.network/tx/0x113907367b0c8f31dfe61590dcb05a9062b0584e8cfccbe764b6522435963c91,swapExactTokensForTokens,0x8b791913eb07c32779a16750e3868aa8495f5964,Koi,USDC,token,15.999451,15.999451,no,0.16
,,,,,,,,USDT,token,-16.128937999999998,-16.138347750769338,,
25/02/2024,20:27:27,era,0x49549308b8e26b008f6d33f6a7f96e2fb213c2e67fc9692c60cfe2010ee0753e,https://era.zksync.network/tx/0x49549308b8e26b008f6d33f6a7f96e2fb213c2e67fc9692c60cfe2010ee0753e,approve,0x493257fd37edb34451f62edf8d2a0c418852ba4c,,USDT,token,-0.18750300000000003,-0.18761239074218675,no,0.22
25/02/2024,20:27:07,era,0x97411545300cfe022901c6d6c2a52b99acb4641f264fa648056b0d0fcc74d53b,https://era.zksync.network/tx/0x97411545300cfe022901c6d6c2a52b99acb4641f264fa648056b0d0fcc74d53b,swapExactETHForTokens,0x8b791913eb07c32779a16750e3868aa8495f5964,Koi,USDT,token,33.483064,33.50259828596687,no,0.21
,,,,,,,,ETH,token,-0.011,-34.2386,,
15/02/2024,05:15:02,matic,0xa3faf092a9bf8a347137763c2d04d2e2ef5d509ceceb750f2ffacde4575669fd,https://polygonscan.com/tx/0xa3faf092a9bf8a347137763c2d04d2e2ef5d509ceceb750f2ffacde4575669fd,batchTransferToken,0x35a559e1e41b1137c02a6d683663a5564fb9570c,,PIG,token,171.15,0,no,
03/02/2024,19:22:26,klay,0x805af9401ce8a11257483a44d1f0751c991d5aad8c4bc53725ca525ec9ebd354,https://scope.klaytn.com/tx/0x805af9401ce8a11257483a44d1f0751c991d5aad8c4bc53725ca525ec9ebd354,deliver,0x27428dd2d3dd32a4d7f7c497eaaa23130d894911,,KLAY,token,0.006545878609481936,0.001173676034680111,no,
03/02/2024,19:22:18,celo,0x0075f9d04fb4edc869c81dbf99b24970d812a864877bbac8aa20183bd5dba43c,https://celoscan.io/tx/0x0075f9d04fb4edc869c81dbf99b24970d812a864877bbac8aa20183bd5dba43c,Contract Interaction,0x46a4427a80119ba86405a235c397f40a050be578,,CELO,token,-0.014255658795749707,-0.012316889199527746,no,0
