Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
05/07/2023,17:23:06,era,0x790471fa522b5899ec99982cb35972e7a59ee3e70f98436b04d3b14b3cbfa212,https://era.zksync.network/tx/0x790471fa522b5899ec99982cb35972e7a59ee3e70f98436b04d3b14b3cbfa212,approve,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,,,,,no,0.24
05/07/2023,17:22:38,era,0xf2ebdff689571993c92b496a7ff16ada1f2e98d116f44d82ef12cd2e243d1fe8,https://era.zksync.network/tx/0xf2ebdff689571993c92b496a7ff16ada1f2e98d116f44d82ef12cd2e243d1fe8,swapExactTokensForTokens,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,USDC,token,95.354547,95.354547,no,1.01
,,,,,,,,BUSD,token,-95.07777482161036,-95.07777482161036,,
05/07/2023,17:22:05,era,0x813f4aa54d7e7c20196e23a03e742a7363601a3b369770888c66caa94a62542d,https://era.zksync.network/tx/0x813f4aa54d7e7c20196e23a03e742a7363601a3b369770888c66caa94a62542d,approve,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,,,,,no,0.24
05/07/2023,17:21:17,era,0xa17ff19ce08d94b38dfae8838fbc394d1867ff0ef6973d98a03f2abd921ef9be,https://era.zksync.network/tx/0xa17ff19ce08d94b38dfae8838fbc394d1867ff0ef6973d98a03f2abd921ef9be,swapExactETHForTokens,0xd999e16e68476bc749a28fc14a0c3b6d7073f50c,Velocore,BUSD,token,95.07777482161036,95.07777482161036,no,2.18
,,,,,,,,ETH,token,-0.05,-95.518,,
26/06/2023,00:25:09,op,0x9c84cdfc037a526278045d78e1a3ddc0b9b960c8bc89da1ebcaa2f716375921c,https://optimistic.etherscan.io/tx/0x9c84cdfc037a526278045d78e1a3ddc0b9b960c8bc89da1ebcaa2f716375921c,receive,0xdecc0c09c3b5f6e92ef4184125d5648a66e35298,Stargate,USDC,token,2.856625,2.8554823500000004,no,
26/06/2023,00:05:05,matic,0xfb207ad2a21d7d9d9a2fd3300a1fb99f8d50a266a2c97c2d84c73deac6146a52,https://polygonscan.com/tx/0xfb207ad2a21d7d9d9a2fd3300a1fb99f8d50a266a2c97c2d84c73deac6146a52,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,MATIC,token,-1.1500946566729253,-0.7670395299428141,no,0.04
,,,,,,,,USDC,token,-2.858339,-2.8571956644000003,,
26/06/2023,00:04:35,matic,0xb6009854c34c9748b95795cf74d551faca6a20b942bb2ac22e29d5d2a3451663,https://polygonscan.com/tx/0xb6009854c34c9748b95795cf74d551faca6a20b942bb2ac22e29d5d2a3451663,approve,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,,,,,no,0.01
26/06/2023,00:03:53,matic,0xe2bbb680ea5a3b754428236d1e9d926e0e3bbea3a372e4f27039017a4d8b6957,https://polygonscan.com/tx/0xe2bbb680ea5a3b754428236d1e9d926e0e3bbea3a372e4f27039017a4d8b6957,simpleSwap,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,ParaSwap,MATIC,token,4.499317638779053,3.0007569087367467,no,0.02
,,,,,,,,USDC,token,-3,-2.9988,,
26/06/2023,00:03:17,matic,0x1b15593c12b04d3f8565ffafd8c792ffd561bb681c0d8d065d0b89d84a5c4c72,https://polygonscan.com/tx/0x1b15593c12b04d3f8565ffafd8c792ffd561bb681c0d8d065d0b89d84a5c4c72,approve,0x216b4b4ba9f3e719726886d34a177484278bfcae,ParaSwap,,,,,no,0.01
26/06/2023,00:02:53,matic,0x74f293de71563205eb4ba58328305b12ed425b74a92a788bec95410cabd02774,https://polygonscan.com/tx/0x74f293de71563205eb4ba58328305b12ed425b74a92a788bec95410cabd02774,receive,0x1205f31718499dbf1fca446663b532ef87481fe1,Stargate,USDC,token,5.725784,5.7234936864,no,
26/06/2023,00:01:47,op,0x8aa04566f0a0164773eb3f788daf6a9a46ddf9235cf6ff966a34268c69a1f3b7,https://optimistic.etherscan.io/tx/0x8aa04566f0a0164773eb3f788daf6a9a46ddf9235cf6ff966a34268c69a1f3b7,swap,0xb0d502e938ed5f4df2e681fe6e419ff29631d62b,Stargate,ETH,token,-0.000194067132990861,-0.3684946721230469,no,0.08
,,,,,,,,USDC,token,-5.72922,-5.726928312,,
26/06/2023,00:01:27,op,0x0cc5de7ca186437aaa4961ed3f7d7896e306b90784453f383d47607cedaaa79b,https://optimistic.etherscan.io/tx/0x0cc5de7ca186437aaa4961ed3f7d7896e306b90784453f383d47607cedaaa79b,approve,0xb0d502e938ed5f4df2e681fe6e419ff29631d62b,Stargate,,,,,no,0.04
