Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
03/10/2023,23:09:39,matic,0x87f7c516cdbe2f90102ab8c66f6308bf56da4fc7199f48a30529c3c4f6902dc0,https://polygonscan.com/tx/0x87f7c516cdbe2f90102ab8c66f6308bf56da4fc7199f48a30529c3c4f6902dc0,receive,0x0000000000000000000000000000000000000000,,UltraRunner,token,1,0,no,
03/10/2023,23:09:37,zora,0xf8a9125e5182eb7300866f7568351376369bde538a235392ee41328f334d9f2f,https://explorer.zora.energy/tx/0xf8a9125e5182eb7300866f7568351376369bde538a235392ee41328f334d9f2f,receive,0x0000000000000000000000000000000000000000,,UltraRunner,token,1,0,no,
03/10/2023,23:09:36,loot,0xce0dff0ee4ee267f35e5bc082e43e302e65fbe6995d50ad86eb5391e8e8573b5,https://explorer.lootchain.com/tx/0xce0dff0ee4ee267f35e5bc082e43e302e65fbe6995d50ad86eb5391e8e8573b5,receive,0x0000000000000000000000000000000000000000,,UltraRunner,token,1,0,no,
03/10/2023,23:09:36,bsc,0xfd10752bd6781d5c7f63aee4f92038686f4361be141ed9eefb772be80f59833f,https://bscscan.com/tx/0xfd10752bd6781d5c7f63aee4f92038686f4361be141ed9eefb772be80f59833f,receive,0x0000000000000000000000000000000000000000,,UltraRunner,token,1,0,no,
03/10/2023,23:09:35,base,0xec9678411610ed73a1262dce4b4c03e871efcd5e7f2170674dfd533a8fdf3fe1,https://www.basescan.org/tx/0xec9678411610ed73a1262dce4b4c03e871efcd5e7f2170674dfd533a8fdf3fe1,receive,0x0000000000000000000000000000000000000000,,UltraRunner,token,1,0,no,
03/10/2023,23:09:35,xdai,0x42dc4fc89591186782be70cb4e66e03ed1458ddf9db983350302daf8dbfd2ad3,https://gnosisscan.io/tx/0x42dc4fc89591186782be70cb4e66e03ed1458ddf9db983350302daf8dbfd2ad3,receive,0x0000000000000000000000000000000000000000,,UltraRunner,token,1,0,no,
03/10/2023,23:09:34,mnt,0x197e98d8828a9d3f48ee7093126f8baaefe071fd6e0123c7ddfb7def7e3d7328,https://mantlescan.xyz/tx/0x197e98d8828a9d3f48ee7093126f8baaefe071fd6e0123c7ddfb7def7e3d7328,receive,0x0000000000000000000000000000000000000000,,UltraRunner,token,1,0,no,
03/10/2023,23:08:33,op,0xd991818dd1192c8b062037c143b76f9c495031026eba839e639ee91d377bb10a,https://optimistic.etherscan.io/tx/0xd991818dd1192c8b062037c143b76f9c495031026eba839e639ee91d377bb10a,ultraRun,0x841ce2611371e2db9eb49dda783ec67654f6818a,,ETH,token,-0.0019408852781226589,-3.2158334084686526,no,0.72
,,,,,,,,UltraRunner,token,-1,0,,
,,,,,,,,UltraRunner,token,-1,0,,
,,,,,,,,UltraRunner,token,-1,0,,
,,,,,,,,UltraRunner,token,-1,0,,
,,,,,,,,UltraRunner,token,-1,0,,
,,,,,,,,UltraRunner,token,-1,0,,
,,,,,,,,UltraRunner,token,-1,0,,
,,,,,,,,UltraRunner,token,-1,0,,
,,,,,,,,UltraRunner,token,-1,0,,
,,,,,,,,UltraRunner,token,-1,0,,
,,,,,,,,UltraRunner,token,-1,0,,
,,,,,,,,UltraRunner,token,-1,0,,
,,,,,,,,UltraRunner,token,-1,0,,
,,,,,,,,UltraRunner,token,-1,0,,
,,,,,,,,UltraRunner,token,-1,0,,
,,,,,,,,UltraRunner,token,-1,0,,
,,,,,,,,UltraRunner,token,-1,0,,
,,,,,,,,UltraRunner,token,-1,0,,
,,,,,,,,UltraRunner,token,-1,0,,
,,,,,,,,UltraRunner,token,-1,0,,
03/10/2023,23:08:19,op,0x094a11b19be81e926a5d91792d091b0b12ebb78076f5cc46edec23f756644e38,https://optimistic.etherscan.io/tx/0x094a11b19be81e926a5d91792d091b0b12ebb78076f5cc46edec23f756644e38,ultraMint,0x841ce2611371e2db9eb49dda783ec67654f6818a,,UltraRunner,token,1,0,no,0.08
,,,,,,,,UltraRunner,token,1,0,,
,,,,,,,,UltraRunner,token,1,0,,
,,,,,,,,UltraRunner,token,1,0,,
,,,,,,,,UltraRunner,token,1,0,,
,,,,,,,,UltraRunner,token,1,0,,
,,,,,,,,UltraRunner,token,1,0,,
,,,,,,,,UltraRunner,token,1,0,,
,,,,,,,,UltraRunner,token,1,0,,
,,,,,,,,UltraRunner,token,1,0,,
,,,,,,,,UltraRunner,token,1,0,,
,,,,,,,,UltraRunner,token,1,0,,
