Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
06/08/2023,23:12:15,era,0x5c44a6f409ad8a7605719622262618043244dec987256f468dd2eee898d536f6,https://era.zksync.network/tx/0x5c44a6f409ad8a7605719622262618043244dec987256f468dd2eee898d536f6,multicall,0x39e098a153ad69834a9dac32f0fca92066ad03f4,Maverick,USDC,token,-0.146951,-0.14715673140000002,no,0.36
06/08/2023,23:12:10,ftm,0xbe22167c01a23f285edf3139a6a39bb01b8944cabf1d47259ad3ee329a4eb23e,https://ftmscan.com/tx/0xbe22167c01a23f285edf3139a6a39bb01b8944cabf1d47259ad3ee329a4eb23e,Contract Interaction,0x52eea5c490fb89c7a0084b32feab854eeff07c82,LayerZero Labs,USDC,token,802.697511,805.3030219086517,no,
,,,,,,,,FTM,token,7,1.6611,,
06/08/2023,23:11:45,arb,0xac221869a3ef9399a5e29ff26874f6b2d7ce16567d654d577c54ad134a64d369,https://arbiscan.io/tx/0xac221869a3ef9399a5e29ff26874f6b2d7ce16567d654d577c54ad134a64d369,swap,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,Stargate,ETH,token,-0.001700891507244267,-3.113107707879037,no,0.21
,,,,,,,,USDC,token,-803.53367,-804.6586171380001,,
06/08/2023,23:09:45,arb,0x3b58c0d42ecb1607d62c54ce9b72c305a9b4d28f39b70e75505292a05048c184,https://arbiscan.io/tx/0x3b58c0d42ecb1607d62c54ce9b72c305a9b4d28f39b70e75505292a05048c184,approve,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,Stargate,,,,,no,0.06
06/08/2023,23:09:17,arb,0x55f4cc9b3863dde5811221a91924f518ddab07c34dc6e8de3f1be910bf543e45,https://arbiscan.io/tx/0x55f4cc9b3863dde5811221a91924f518ddab07c34dc6e8de3f1be910bf543e45,instantRedeemLocal,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,Stargate,USDC,token,803.53367,804.6586171380001,no,0.08
,,,,,,,,S*USDC,token,-802.23162,-804.6595440540162,,
06/08/2023,23:08:59,arb,0x032c712ebd0c49fe403d2f8003b9ad4ebe8bfdd4b2ceb31361d1d6b536d2adee,https://arbiscan.io/tx/0x032c712ebd0c49fe403d2f8003b9ad4ebe8bfdd4b2ceb31361d1d6b536d2adee,withdraw,0xea8dfee1898a7e0a59f7527f076106d7e44c2176,Stargate,S*USDC,token,802.23162,804.6595440540162,no,0.08
,,,,,,,,STG,token,3.714217185769241,2.3447853093761215,,
19/07/2023,22:15:42,arb,0x696d449dbb86088a44f9545405c5eca9332b39828655a75791f147b2acd5ef95,https://arbiscan.io/tx/0x696d449dbb86088a44f9545405c5eca9332b39828655a75791f147b2acd5ef95,receive,0x82cbecf39bee528b5476fe6d1550af59a9db6fc0,Stargate,ETH,token,0.0099997,18.885833408,no,
19/07/2023,22:14:39,op,0x54496d72bd4d3e6498fce7d1c2f48c578d86813f72a56e7d47031f2cb55f2f01,https://optimistic.etherscan.io/tx/0x54496d72bd4d3e6498fce7d1c2f48c578d86813f72a56e7d47031f2cb55f2f01,swapETH,0xb49c4e680174e331cb0a7ff3ab58afc9738d5f8b,Stargate,ETH,token,-0.010443950664498705,-19.724862982998836,no,0.16
07/07/2023,22:09:08,arb,0x4af83d97ab7f6ea2b564fb85163fefe4d17efacbbe54431a3878a6870e05a4ee,https://arbiscan.io/tx/0x4af83d97ab7f6ea2b564fb85163fefe4d17efacbbe54431a3878a6870e05a4ee,deposit,0xea8dfee1898a7e0a59f7527f076106d7e44c2176,Stargate,S*USDC,token,-802.23162,-803.5226512503436,no,0.21
07/07/2023,22:08:59,arb,0xe0501fe7ddf4f92173b3d95d403bcac3d8e16ae4bc0daad4a3417eaeab1ca1d2,https://arbiscan.io/tx/0xe0501fe7ddf4f92173b3d95d403bcac3d8e16ae4bc0daad4a3417eaeab1ca1d2,approve,0xea8dfee1898a7e0a59f7527f076106d7e44c2176,Stargate,,,,,no,0.2
07/07/2023,22:08:48,arb,0x21f2402284bc0b708ad4e19874a73fd874162eabe9dbf33ef494b3b7a038a263,https://arbiscan.io/tx/0x21f2402284bc0b708ad4e19874a73fd874162eabe9dbf33ef494b3b7a038a263,addLiquidity,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,Stargate,S*USDC,token,802.23162,803.5226512503436,no,0.29
,,,,,,,,USDC,token,-803.522652,-803.522652,,
07/07/2023,22:08:45,arb,0x4b0fdb59e51721120f879259576c94c292cf8e7f4b0c34f1f7d18207a5813dba,https://arbiscan.io/tx/0x4b0fdb59e51721120f879259576c94c292cf8e7f4b0c34f1f7d18207a5813dba,approve,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,Stargate,,,,,no,0.2
07/07/2023,22:08:06,arb,0x4e68b1cbec4f1b07988c1a75c31b3787ac89c2965a8393aa4a4f3baf66d1e016,https://arbiscan.io/tx/0x4e68b1cbec4f1b07988c1a75c31b3787ac89c2965a8393aa4a4f3baf66d1e016,receive,0x892785f33cdee22a30aef750f285e18c18040c3e,Stargate,USDC,token,803.5176,803.5176,no,
